ABSENTEE SHAWNEE LITTLE AXE SOUTH CASINO,062001458,OK,,,06,NTNCWS,775,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=062001458
ABSENTEE SHAWNEE TRIBAL YOUTH CAMP,062001459,OK,,,06,TNCWS,155,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=062001459
ACOMA MAIN,063501001,NM,,,06,CWS,2374,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=063501001
ACOMA PUEBLO (ACOMITA),063501107,NM,,,06,CWS,1899,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=063501107
ACOMA PUEBLO (ANZAC),063502107,NM,,,06,CWS,100,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=063502107
ACOMA SKY CITY CASINO,063504107,NM,,,06,NTNCWS,1950,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=063504107
ACOMA SKY CITY CULTURAL CENTER,063503107,NM,,,06,NTNCWS,1612,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=063503107
ACOMA SKY CITY TRAVEL CENTER EXPRESS,063506107,NM,,,06,TNCWS,508,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=063506107
ACOMA SPRING,063505107,NM,,,06,NTNCWS,60,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=063505107
ALABAMA COUSHATTA #1 (EASTSIDE),061870043,TX,,,06,CWS,991,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=061870043
ALABAMA COUSHATTA #2 (WESTSIDE),061870124,TX,,,06,CWS,329,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=061870124
ALABAMA COUSHATTA #3,061870123,TX,,,06,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=061870123
CHEROKEE KENWOOD WATER DISTRICT,062002156,OK,,,06,CWS,487,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=062002156
CHEYENNE-ARAPAHO CONCHO,062000905,OK,,,06,CWS,2900,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=062000905
CHICKASAW WINSTAR,062004336,OK,,,06,CWS,7642,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=062004336
COCHITI  LAKE,063568423,NM,,,06,CWS,450,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=063568423
COCHITI PUEBLO,063500108,NM,,,06,CWS,1200,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=063500108
DREAMCATCHER CINEMA,063506166,NM,,,06,NTNCWS,654,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=063506166
