101 BUILDING,105300126,WA,,,10,TNCWS,150,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=105300126
5 CEDARS,105300028,WA,,,10,CWS,150,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=105300028
7 CEDARS CASINO,105300108,WA,,,10,NTNCWS,450,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=105300108
7 Feathers RV,104121118,OR,,,10,NTNCWS,6800,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=104121118
ADAMS VIEW,105300042,WA,,,10,CWS,790,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=105300042
AGATE PASS BUSINESS PARK,105300154,WA,,,10,TNCWS,120,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=105300154
ANGEL OF THE WINDS,105311105,WA,,,10,NTNCWS,2303,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=105311105
ARROWHEAD RV,101612114,ID,,,10,NTNCWS,23,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=101612114
ASPEN ESTATES,105300140,WA,,,10,CWS,592,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=105300140
Annette,100211203,AK,,,10,CWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=100211203
B & D MOBILE COURT,105300073,WA,,,10,CWS,100,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=105300073
BANNOCK PEAK STORE,101600005,ID,,,10,TNCWS,309,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=101600005
BARNEY'S JUNCTION,105300122,WA,,,10,TNCWS,150,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=105300122
BEACH,105300109,WA,,,10,CWS,45,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=105300109
BIA  Chemawa AG Well #4,104101131,OR,,,10,CWS,10,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=104101131
BIA CELILO VILLAGE,104101133,SD,,,10,CWS,75,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=104101133
BIA CHEMAWA INDIAN SCHOOL,104101132,OR,,,10,CWS,650,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=104101132
BIA NORTH IDAHO,101612108,ID,,,10,CWS,240,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=101612108
BIA Warm Springs Agency,104101135,OR,,,10,CWS,10,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=104101135
BIA-INCHELIUM SUB-AGCY WTR STM,105300034,WA,,,10,CWS,60,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=105300034
BIG SKY N. SUBDIVISION,101600010,ID,,,10,CWS,300,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=101600010
BLYN,105300083,WA,,,10,NTNCWS,100,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=105300083
BURNS PAIUTE,104101100,OR,,,10,CWS,155,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=104101100
Barr,105300054,WA,,,10,CWS,10,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=105300054
CELILO TFAS,104121125,OR,,,10,TNCWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=104121125
CHEHALIS TRIBAL HOUSING,105300027,WA,,,10,CWS,350,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=105300027
CHEWELAH CASINO,105300134,WA,,,10,NTNCWS,370,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=105300134
CIPV,105300110,WA,,,10,CWS,10,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=105300110
CLEARWATER CASINO,105300080,WA,,,10,NTNCWS,900,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=105300080
CLEARWATER RIVER CASINO & RESORT,101600016,ID,,,10,NTNCWS,650,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=101600016
COEUR D'ALENE CASINO,101600015,ID,,,10,NTNCWS,3250,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=101600015
COEUR D'ALENE SUB-AGENCY,101600002,ID,,,10,CWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=101600002
COOKS IN-LIEU TFAS,105338113,WA,,,10,NTNCWS,70,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=105338113
CREEKSIDE DEVELOPMENT,104121120,OR,,,10,NTNCWS,3154,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=104121120
CTUIR PWD/MISSION,104111101,OR,,,10,CWS,1200,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=104111101
CUYAMUCA,105300089,WA,,,10,CWS,300,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=105300089
Camp Chaparral,105300043,WA,,,10,CWS,10,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=105300043
Camp WY WUH,100211204,AK,,,10,NTNCWS,70,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=100211204
Chehalis Tribal Center,105300079,WA,,,10,CWS,10,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=105300079
Courville,105300057,WA,,,10,CWS,10,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=105300057
Coyote Coffee  Drive Thru,105300114,WA,,,10,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=105300114
DA STOR AT LILLIE'S CORNER,105338106,WA,,,10,TNCWS,305,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=105338106
DELIA JIMICUM WATER DISTRICT,105300135,WA,,,10,CWS,42,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=105300135
DESMET,101600001,ID,,,10,CWS,300,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=101600001
DUNGENESS RIVER AUDUBON CENTER,105300130,WA,,,10,TNCWS,75,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=105300130
Disautel,105300004,WA,,,10,CWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=105300004
