10 MILE STEAK HOUSE,AK2110538,AK,Haines Borough,,10,NTNCWS,52,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AK2110538
12 MILE ROADHOUSE,AK2314124,AK,Fairbanks North Star Borough,,10,TNCWS,24,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AK2314124
1260 INN,AK2380701,AK,Southeast Fairbanks Census Area,,10,TNCWS,29,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AK2380701
1ST INTERSTATE BANK WASILLA,AK2220252,AK,Matanuska-Susitna Borough,,10,NTNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AK2220252
229 PARKS HIGHWAY RESTAURANT,AK2391922,AK,Denali Borough,,10,TNCWS,62,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AK2391922
2490 MISSION / FAITH LANE LLC,AK2311998,AK,Fairbanks North Star Borough,,10,CWS,24,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AK2311998
3104 EIDE STREET APARTMENTS,AK2212209,AK,,,10,CWS,24,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AK2212209
"3152 WYATT / FAITH LANE, LLC",AK2311980,AK,Fairbanks North Star Borough,,10,CWS,24,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AK2311980
33 MILE ROADHOUSE,AK2113536,AK,Haines Borough,,10,TNCWS,24,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AK2113536
4-LANDS BAR & LIQUOR STORE,AK2240634,AK,Kenai Peninsula Borough,,10,TNCWS,100,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AK2240634
40 MI OIL CO INC/10-20 CB,AK2380117,AK,Southeast Fairbanks Census Area,,10,NTNCWS,32,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AK2380117
40 MILE ROADHOUSE,AK2380874,AK,Southeast Fairbanks Census Area,,10,TNCWS,31,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AK2380874
49ER RESTAURANT,AK2370196,AK,Fairbanks North Star Borough,,10,TNCWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AK2370196
49TH STATE BREWING COMPANY,AK2391786,AK,Denali Borough,,10,TNCWS,524,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AK2391786
7-11 #114,AK2312033,AK,Fairbanks North Star Borough,,10,TNCWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AK2312033
A & W WINDBREAK CAFE,AK2226876,AK,Matanuska-Susitna Borough,,10,TNCWS,125,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AK2226876
A - FRAME SERVICE,AK2391265,AK,Yukon-Koyukuk Census Area,,10,TNCWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AK2391265
A BITE OF BLISS,AK2391320,AK,Yukon-Koyukuk Census Area,,10,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AK2391320
A TOUCH OF HOME CHILDCARE,AK2220165,AK,Matanuska-Susitna Borough,,10,NTNCWS,30,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AK2220165
A WILDERNESS STORE,AK2248577,AK,,,10,TNCWS,32,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AK2248577
AAA APARTMENTS,AK2226826,AK,Matanuska-Susitna Borough,,10,CWS,0,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AK2226826
AAC CO.,AK2380450,AK,Anchorage Municipality,,10,TNCWS,70,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AK2380450
AAI TERMINAL,AK2293409,AK,Valdez-Cordova Census Area,,10,NTNCWS,30,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AK2293409
ABBOTT LOOP COMMUNITY CHAPEL,AK2212380,AK,Anchorage Municipality,,10,NTNCWS,0,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AK2212380
ABC COMMUNITY WATER SYSTEM,AK2123456,AK,,,10,CWS,75,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AK2123456
ABUNDANT LIFE ASSEMBLY OF GOD,AK2245024,AK,Kenai Peninsula Borough,,10,TNCWS,154,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AK2245024
AC ALASKA COMMERCIAL STORE,AK2270427,AK,Bethel Census Area,,10,NTNCWS,475,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AK2270427
