1ST ENCOUNTER CLUB,AL0000330,AL,Choctaw,,04,TNCWS,30,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0000330
231 BAR-B-QUE,AL0000444,AL,Dale,,04,TNCWS,100,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0000444
231 TRUCK STOP,AL0000449,AL,Dale,,04,TNCWS,100,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0000449
331 CAFE,AL0000401,AL,Covington,,04,TNCWS,30,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0000401
82 SNACK BAR,AL0000222,AL,Chilton,,04,TNCWS,35,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0000222
A & G DAIRY BARN,AL0000291,AL,Cleburne,,04,TNCWS,100,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0000291
ABBEVILLE WATER WORKS & SEWER BOARD,AL0000657,AL,Henry,,04,CWS,3828,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0000657
ABBIE CREEK-LAKE G. W. ANDREW,AL0001550,AL,Henry,,04,TNCWS,32,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0001550
AD&G TRAILER PARK,AL0000130,AL,Calhoun,,04,CWS,69,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0000130
ADDISON WATER WORKS,AL0001402,AL,Winston,,04,CWS,2490,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0001402
"AIR ENGINEERS, INC.",AL0001256,AL,Shelby,,04,NTNCWS,30,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0001256
AKRON WATER DEPARTMENT,AL0000644,AL,Hale,,04,CWS,564,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0000644
AKRON WATER SYSTEM,AL0001767,AL,Hale,,04,CWS,570,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0001767
AKZO CHEMIE AMERICAL,AL0001020,AL,Mobile,,04,NTNCWS,250,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0001020
AL SHERIFF'S BOYS RANCH,AL0001083,AL,Morgan,,04,CWS,36,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0001083
AL SHERIFF'S GIRLS RANCH,AL0001264,AL,Tallapoosa,,04,CWS,70,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0001264
ALA  POWER CO/SELMA WAREHOUSE,AL0000466,AL,Dallas,,04,TNCWS,27,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0000466
ALA. WAREHOUSE/LOWER POOL #2,AL0001555,AL,Henry,,04,NTNCWS,45,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0001555
ALABAMA DEPARTMENT OF TRANSPORTATION,AL0000475,AL,Dallas,,04,NTNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0000475
ALABAMA DOT/I-10 AL/FL WELCOME CENTER,AL0000004,AL,Baldwin,,04,TNCWS,500,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0000004
ALABAMA GULF UTILITIES,AL0000024,AL,Baldwin,,04,CWS,3300,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0000024
ALABAMA METALLURGICAL CORP,AL0000485,AL,Dallas,,04,TNCWS,106,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0000485
ALABAMA POWER CO. - GASTON STEAM PLANT,AL0001154,AL,Shelby,,04,NTNCWS,411,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0001154
ALABAMA RIVER NEWSPRINT COMPANY,AL0001694,AL,Monroe,,04,TNCWS,200,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0001694
ALABAMA RIVER PULP CO.,AL0000966,AL,Monroe,,04,NTNCWS,350,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0000966
ALABAMA SHERIFFS BOYS RANCH,AL0000450,AL,Dallas,,04,CWS,100,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0000450
ALABAMA SHERIFFS BOYS RANCH,AL0000018,AL,Baldwin,,04,TNCWS,32,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0000018
ALABAMA TRUCK STOP,AL0001355,AL,Washington,,04,TNCWS,32,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0001355
ALABAMA TRUCK STOP,AL0001096,AL,Perry,,04,TNCWS,75,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0001096
ALABASTER WATER BOARD,AL0001148,AL,Shelby,,04,CWS,39684,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0001148
ALADDIN MOBILE ESTATES,AL0001082,AL,Morgan,,04,CWS,93,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0001082
ALBERTVILLE UTILITIES BOARD,AL0000933,AL,Marshall,,04,CWS,29991,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0000933
ALDRIDGE WATER WORKS,AL0001316,AL,Walker,,04,CWS,255,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0001316
ALEX FOOD,AL0000336,AL,Conecuh,,04,TNCWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0000336
ALEXANDER CITY WATER DEPARTMENT,AL0001265,AL,Tallapoosa,,04,CWS,27000,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0001265
ALICEVILLE WATER & SEWER BOARD,AL0001102,AL,Pickens,,04,CWS,3855,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0001102
ALLEN AAF,AL0001628,AL,Houston,,04,TNCWS,30,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0001628
ALLGOOD WATER WORKS (TOWN OF),AL0000098,AL,Blount,,04,CWS,846,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0000098
ALLIGATOR CREEK PUA,AL0001558,AL,Chambers,,04,TNCWS,32,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0001558
ALOHA FOOD & GAS INC,AL0001627,AL,Baldwin,,04,TNCWS,150,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0001627
ALPINE BAY INN & COUNTRY CLUB,AL0001249,AL,Talladega,,04,NTNCWS,500,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0001249
ALTOONA WATER & SEWER BOARD,AL0000571,AL,Etowah,,04,CWS,1143,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0000571
"AMERICAN BRASS, INC.",AL0000668,AL,Henry,,04,NTNCWS,65,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0000668
AMERICAN LEGION POST 250,AL0001779,AL,Mobile,,04,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0001779
AMERICAN PARK CAFE,AL0000579,AL,Fayette,,04,TNCWS,32,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0000579
AMITY PARK PUA,AL0001557,AL,Chambers,,04,TNCWS,32,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0001557
AMMONS WATER SYSTEM,AL0001419,AL,Jefferson,,04,CWS,120,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0001419
ANDALUSIA (UTILITIES BOARD OF),AL0000356,AL,Covington,,04,CWS,15114,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0000356
ANDERSON CREEK SUBDIVISION,AL0000791,AL,Lauderdale,,04,TNCWS,500,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0000791
ANDERSON PARK PUA/CORPS. OF ENGINEERS,AL0001561,AL,Chambers,,04,TNCWS,32,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0001561
ANN JORDAN LODGE,AL0001567,AL,Coosa,,04,TNCWS,75,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0001567
ANNIE MANIE HIGH SCHOOL,AL0001390,AL,Wilcox,,04,TNCWS,200,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0001390
ANNISTON ARMY DEPOT,AL0001494,AL,Calhoun,,04,CWS,4500,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0001494
ANNISTON WATER & SEWER BOARD,AL0000133,AL,Calhoun,,04,CWS,59925,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0000133
AQUA-MATE PURE WATER SYSTEM,AL0001700,AL,Madison,,04,TNCWS,32,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0001700
ARAB WATER WORKS BOARD,AL0000934,AL,Marshall,,04,CWS,34800,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0000934
ARCTIC ICE CO. LTD,AL0000970,AL,Mobile,,04,TNCWS,32,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0000970
ARDMORE WATER SYSTEM,AL0001420,AL,Limestone,,04,CWS,3600,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0001420
AREA VOCATIONAL SCHOOL,AL0001133,AL,Russell,,04,TNCWS,2000,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0001133
ARGO WATER SYSTEM,AL0001431,AL,St. Clair,,04,CWS,1620,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0001431
ARITON WATER WORKS,AL0000416,AL,Dale,,04,CWS,1242,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0000416
ARLEY WATER WORKS,AL0001403,AL,Winston,,04,CWS,7872,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0001403
ARMISTEAD SELDEN LOCK/DAM,AL0001563,AL,Hale,,04,TNCWS,32,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0001563
ARROWHEAD GULF,AL0001057,AL,Montgomery,,04,TNCWS,32,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0001057
ARROWHEAD POINT,AL0001175,AL,St. Clair,,04,TNCWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0001175
ASBURY WATER SYSTEM,AL0000935,AL,Marshall,,04,CWS,7170,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0000935
ASHFORD TOWN HOMES,AL7380001,AL,Jefferson,,04,CWS,504,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL7380001
ASHFORD WATER WORKS,AL0000671,AL,Houston,,04,CWS,3768,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0000671
ASHLAND WATER & SEWER BOARD,AL0000264,AL,Clay,,04,CWS,2925,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0000264
ASHVILLE WATER AND SEWER,AL0001176,AL,St. Clair,,04,CWS,3984,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0001176
ASPEN RIDGE APARTMENTS,AL7380016,AL,Jefferson,,04,CWS,1926,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL7380016
ASPEN RUN APARTMENTS,AL7380017,AL,Jefferson,,04,CWS,1662,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL7380017
ASPEN TRAIL APARTMENTS,AL7380018,AL,Jefferson,,04,CWS,1932,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL7380018
ATHENS UTILITIES,AL0000824,AL,Limestone,,04,CWS,27534,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0000824
ATLAS TRUCKSTOP,AL0000119,AL,Butler,,04,TNCWS,100,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0000119
ATTALLA WATER WORKS BOARD,AL0000572,AL,Etowah,,04,CWS,8415,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0000572
AUBURN EXXON,AL0000809,AL,Lee,,04,TNCWS,32,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0000809
AUBURN WATER WORKS,AL0000804,AL,Lee,,04,CWS,64200,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0000804
AUTAUGA CO WATER AUTHORITY,AL0000001,AL,Autauga,,04,CWS,7218,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0000001
AUTAUGA HILLS WATER AUTHORITY,AL0001487,AL,Autauga,,04,CWS,1955,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0001487
