101 GREAT AMERICAN DINER,ART000323,AR,Baxter,,06,TNCWS,32,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ART000323
101 GROCERY,AR0001089,AR,Baxter,,06,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AR0001089
101 GROCERY,AR8000150,AR,Marion,,06,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AR8000150
1195 PRIMO WMSC0373 HUNTSVILLE,AR0001195,AR,Madison,,06,TNCWS,30,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AR0001195
1196 PRIMO WMNM7317 GREENBRIAR,AR0001196,AR,Faulkner,,06,TNCWS,30,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AR0001196
145TH STREET WATER SEWER,AR0000324,AR,Pulaski,,06,CWS,461,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AR0000324
17-79 CLUB,AR8000537,AR,Monroe,,06,TNCWS,200,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AR8000537
17-79 CLUB,AR8000509,AR,Saline,,06,TNCWS,200,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AR8000509
196 MOBILE HOME PARK,AR8001222,AR,Miller,,06,TNCWS,200,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AR8001222
201 XPRESS,ART001066,AR,Baxter,,06,TNCWS,30,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ART001066
237 GRO BAIT,ART000002,AR,Miller,,06,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ART000002
270 ONE STOP WEST,AR8000910,AR,Garland,,06,TNCWS,200,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AR8000910
270 RESTAURANT,AR8000909,AR,Garland,,06,TNCWS,200,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AR8000909
39TH SUPPORT BN CO A,ART000004,AR,Arkansas,,06,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ART000004
4-H CENTER,ART000005,AR,Pulaski,,06,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ART000005
4-H CENTER,ARN000180,AR,Pulaski,,06,NTNCWS,40,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ARN000180
4-SEASONS TRAILER PARK,AR8001424,AR,Pope,,06,TNCWS,200,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AR8001424
40 ACRE WATERSLIDE,AR8001430,AR,Pope,,06,TNCWS,200,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AR8001430
A E ROAD MART,ART000986,AR,Nevada,,06,TNCWS,100,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ART000986
ABBOTT'S DRIVE INN,AR8000945,AR,Garland,,06,TNCWS,200,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AR8000945
ABNEY FOOD MART,AR8002214,AR,Sevier,,06,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AR8002214
ACORN RURAL WATER ASSN,AR0000811,AR,Polk,,06,CWS,1975,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AR0000811
ACORN SCHOOL,ARN000001,AR,Polk,,06,NTNCWS,119,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ARN000001
ACROSS THE CREEK,ART000006,AR,Benton,,06,TNCWS,200,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ART000006
ADAM'S D X STATION,AR8000460,AR,Hempstead,,06,TNCWS,200,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AR8000460
ADC - CUMMINS UNIT MAINT,AR0000315,AR,Lincoln,,06,CWS,3800,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AR0000315
ADC - TUCKER UNIT MAINT,AR0000282,AR,Jefferson,,06,CWS,1850,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AR0000282
ADC EAST ARKANSAS REGIONAL,AR0000796,AR,Lee,,06,CWS,1793,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AR0000796
AGRICO CHEMICAL CO.,AR2900001,AR,Mississippi,,06,TNCWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AR2900001
AHTD HARRISON 9 HEADQUARTERS,ARN000103,AR,Boone,,06,NTNCWS,90,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ARN000103
AHTD MARION COUNTY,ARN000129,AR,Marion,,06,NTNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ARN000129
AHTD-CORNING REST AREA,ART000008,AR,Clay,,06,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ART000008
