114 BEST STOP CAFE,AZ0408334,AZ,Mohave,,09,NTNCWS,48,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AZ0408334
157TH PLACE WATER ASSOC,AZ0407901,AZ,Maricopa,,09,CWS,24,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AZ0407901
1ST BAPTIST CHURCH/GARDEN,AZ0407429,AZ,Maricopa,,09,NTNCWS,200,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AZ0407429
3 DREAMERS RV PARK LLC,AZ0415101,AZ,La Paz,,09,TNCWS,78,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AZ0415101
303 DWID,AZ0409053,AZ,Navajo,,09,TNCWS,75,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AZ0409053
387 WATER IMPROVEMENT DISTRICT,AZ0411247,AZ,Pinal,,09,CWS,0,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AZ0411247
4 PILLARS TRAINING CPG,AZ0402395,AZ,Cochise,,09,TNCWS,80,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AZ0402395
4 SEASONS RV PARK,AZ0408172,AZ,Mohave,,09,TNCWS,70,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AZ0408172
49ER WATER COMPANY,AZ0410053,AZ,Pima,,09,CWS,1050,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AZ0410053
5 SONS RANCH/MACCHIAROLI,AZ0407256,AZ,Gila,,09,CWS,40,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AZ0407256
"5450 HWY, 95 LTD",AZ0408118,AZ,Mohave,,09,TNCWS,32,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AZ0408118
67 AVE PROPERTY OWNERS ASSOCIATION,AZ0407280,AZ,Maricopa,,09,CWS,40,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AZ0407280
88 SHADES RV PARK,AZ0415435,AZ,La Paz,,09,TNCWS,488,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AZ0415435
89 ER CAFE,AZ0413335,AZ,Yavapai,,09,TNCWS,10,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AZ0413335
