1 DODGINGTOWN ROAD,CT0970184,CT,Fairfield,,01,TNCWS,38,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=CT0970184
1 FERRY ROAD,CT0750104,CT,New London,,01,TNCWS,35,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=CT0750104
1 GLEN ROAD,CT0979364,CT,Fairfield,,01,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=CT0979364
1 OF FEDERAL SAVINGS & LOAN,CT0380282,CT,Middlesex,,01,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=CT0380282
1 ORCHARD PARK INDUSTRIAL AREA,CT0769103,CT,New Haven,,01,NTNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=CT0769103
1 RIVERVIEW ROAD,CT0960214,CT,Litchfield,,01,TNCWS,0,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=CT0960214
1 SALMON BROOK STREET - GRANBY,CT0565073,CT,Hartford,,01,NTNCWS,80,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=CT0565073
1 SAWMILL RD,CT1270044,CT,Fairfield,,01,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=CT1270044
10 PUTNAM ROAD,CT1099234,CT,Windham,,01,TNCWS,36,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=CT1099234
10 ROUTE 32 - FRANKLIN,CT0530294,CT,New London,,01,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=CT0530294
100 CHURCH HILL ROAD,CT0970014,CT,Fairfield,,01,TNCWS,0,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=CT0970014
100 CHURCH RD.,CT0979213,CT,Fairfield,,01,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=CT0979213
100 OXFORD ROAD,CT1080504,CT,New Haven,,01,TNCWS,0,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=CT1080504
