BOLLING - JOINT BASE ANACOSTIA-BOLLING,DC0000007,DC,District of Columbia,,03,CWS,12499,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=DC0000007
CHILDRENS NATIONAL MEDICAL CENTER (CNMC),DC0000008,DC,,,03,NTNCWS,5000,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=DC0000008
D.C. WATER AND SEWER AUTHORITY,DC0000002,DC,District of Columbia,,03,CWS,632323,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=DC0000002
HUBERT H. HUMPHREY BUILDING,DC0000011,DC,District of Columbia,,03,NTNCWS,1400,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=DC0000011
JOINT BASE ANACOSTIA - BOLLING,DC0000004,DC,District of Columbia,,03,CWS,16559,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=DC0000004
MANDARIN ORIENTAL HOTEL,DC0000010,DC,District of Columbia,,03,NTNCWS,780,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=DC0000010
NAVAL OBSERVATORY,DC0000005,DC,District of Columbia,,03,NTNCWS,250,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=DC0000005
NAVAL STATION WASHINGTON - WNY,DC0000003,DC,District of Columbia,,03,CWS,15690,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=DC0000003
NEBRASKA AVENUE COMPLEX NAV (DIST WASH),DC0000006,DC,District of Columbia,,03,NTNCWS,1176,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=DC0000006
WASHINGTON AQUEDUCT DIVISION,DC0000001,DC,District of Columbia,,03,CWS,0,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=DC0000001
