BAY LIFE CHURCH OF BRANDON,FL6292152,FL,Hillsborough,,04,TNCWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=FL6292152
MCINNIS ELEMENTARY SCHOOL,FL3644115,FL,Volusia,,04,NTNCWS,480,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=FL3644115
MIKE'S CORNER,FL3644326,FL,Volusia,,04,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=FL3644326
 THE FISH HOUSE ,FL3054133,FL,Brevard,,04,TNCWS,62,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=FL3054133
1 QUICKSTOP,FL2104404,FL,Clay,,04,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=FL2104404
1-75 REST AREA MM 63 NORTHSIDE,FL5114166,FL,Collier,,04,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=FL5114166
103RD STREET PLAZA,FL6424726,FL,Marion,,04,NTNCWS,200,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=FL6424726
103RD STREET SPORT COMPLEX,FL2160001,FL,Duval,,04,TNCWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=FL2160001
121 CLUB,FL2024889,FL,Baker,,04,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=FL2024889
15-A MOBILE HOME PARK,FL3480001,FL,Orange,,04,CWS,16,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=FL3480001
1660 SOUTHERN PLAZA,FL4504505,FL,Palm Beach,,04,TNCWS,29,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=FL4504505
1665 CITGO,FL6295425,FL,Hillsborough,,04,TNCWS,120,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=FL6295425
17 LOUNGE,FL5080014,FL,Charlotte,,04,TNCWS,35,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=FL5080014
1774 WATER COOPERATIVE INC.,FL6084076,FL,Charlotte,,04,CWS,184,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=FL6084076
1872 S TAMIAMI TRAIL,FL6584905,FL,Sarasota,,04,NTNCWS,100,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=FL6584905
1890 PLAZA,FL6588118,FL,Sarasota,,04,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=FL6588118
1ST BAP. CH. BAYOU GEO. DAY CR,FL1034064,FL,Bay,,04,NTNCWS,75,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=FL1034064
1ST BAPTIST CHURCH OF HOMESTEAD,FL4134522,FL,Miami-Dade,,04,TNCWS,300,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=FL4134522
1ST BAPTIST CHURCH OF NOKOMIS,FL6584902,FL,Sarasota,,04,TNCWS,100,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=FL6584902
1ST NATIONAL BANK OF HOMESTEAD,FL4134466,FL,,,04,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=FL4134466
1ST SECURITY SELF STORAGE,FL6535128,FL,Polk,,04,TNCWS,10,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=FL6535128
1ST SOUTHERN METHODIST CHURCH,FL6296021,FL,Hillsborough,,04,TNCWS,40,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=FL6296021
2001 TAMPA ODESSEY,FL6294917,FL,Hillsborough,,04,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=FL6294917
2003 RESTAURANT;%JEAN O'ROURKE,FL3314120,FL,Indian River,,04,TNCWS,35,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=FL3314120
21 PALMS RV RESORT,FL3494320,FL,Osceola,,04,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=FL3494320
221 GAS AND GRILL,FL2624175,FL,Taylor,,04,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=FL2624175
231 PLAZA,FL1034069,FL,Bay,,04,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=FL1034069
242 VILLAGE SUBDIVISION,FL2124295,FL,Columbia,,04,CWS,161,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=FL2124295
2600 PLAZA,FL2554459,FL,St. Johns,,04,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=FL2554459
2611 BUILDING COMPANY,FL4504410,FL,Palm Beach,,04,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=FL4504410
27 CLUB,FL3350002,FL,Lake,,04,TNCWS,60,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=FL3350002
27 TRUCK STOP,FL6284112,FL,Highlands,,04,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=FL6284112
27 TRUCKSTOP,FL6530003,FL,Polk,,04,TNCWS,71,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=FL6530003
279 EXPRESS CONVENIENCE STORE,FL1670763,FL,Washington,,04,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=FL1670763
3-H ACRES,FL6530006,FL,Polk,,04,CWS,33,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=FL6530006
3-H ACRES MBL HOME PARK SUBD,FL6530005,FL,Polk,,04,CWS,40,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=FL6530005
301 BUSINESS PARK NORTH,FL6295402,FL,Hillsborough,,04,NTNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=FL6295402
301 CUSTOM MEAT-CUT ; WRAP,FL3424218,FL,,,04,TNCWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=FL3424218
301 DRIVE IN,FL2041428,FL,Bradford,,04,TNCWS,150,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=FL2041428
301 GRILL/WAGON WHEEL TR PK,FL6294879,FL,Hillsborough,,04,TNCWS,27,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=FL6294879
301 HOUSE INCORPORATED,FL6293068,FL,Hillsborough,,04,TNCWS,30,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=FL6293068
301 LIQUORS,FL2040003,FL,Bradford,,04,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=FL2040003
301 PLAZA,FL3424878,FL,Marion,,04,TNCWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=FL3424878
301 TAVERN,FL2040004,FL,Bradford,,04,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=FL2040004
333 COMPLEX,FL3644220,FL,Volusia,,04,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=FL3644220
3939 CONGRESS BUILDING,FL4504543,FL,Palm Beach,,04,TNCWS,32,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=FL4504543
39TH CIRCLE TRAILER PARK,FL4474429,FL,Okeechobee,,04,TNCWS,56,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=FL4474429
4 BAYS PLAZA,FL6584898,FL,Sarasota,,04,TNCWS,112,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=FL6584898
4 LAKES CAMPGROUND,FL2554500,FL,St. Johns,,04,TNCWS,52,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=FL2554500
4 POINTS COMMERCIAL MALL,FL4501174,FL,Palm Beach,,04,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=FL4501174
4-H CAMP DOE LAKE,FL3420003,FL,Marion,,04,TNCWS,150,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=FL3420003
40 FATHOM GROTTO,FL3425154,FL,Marion,,04,TNCWS,45,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=FL3425154
40TH STREET BAPTIST CHURCH,FL6530007,FL,Polk,,04,TNCWS,100,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=FL6530007
41 TAVERN MOTOR COURT,FL6510008,FL,Pasco,,04,TNCWS,30,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=FL6510008
41 TRUSS,FL6515264,FL,Pasco,,04,TNCWS,45,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=FL6515264
42ND STREET APARTMENTS,FL6292080,FL,Hillsborough,,04,CWS,160,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=FL6292080
441 TRUCK STOP,FL4490003,FL,Osceola,,04,TNCWS,35,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=FL4490003
441 TRUCK STOP,FL3490003,FL,Osceola,,04,TNCWS,35,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=FL3490003
46TH AVENUE VILLAS,FL4474430,FL,Okeechobee,,04,CWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=FL4474430
484 TRUCK STOP,FL6422538,FL,Marion,,04,TNCWS,250,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=FL6422538
48FORTY,FL6534798,FL,Polk,,04,NTNCWS,55,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=FL6534798
