1,GA1090005,GA,Evans,,04,TNCWS,27,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=GA1090005
257 TRUCK PLAZA,GA1750115,GA,Laurens,,04,CWS,31,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=GA1750115
2925 LEDO ROAD WATER SYSTEM,GA1770070,GA,Lee,,04,NTNCWS,60,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=GA1770070
301 TRAILER PARK,GA0310018,GA,Bulloch,,04,CWS,45,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=GA0310018
341 PLAZA SHOPPING CENTER X,GA1270090,GA,Glynn,,04,TNCWS,302,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=GA1270090
4 C'S TRAILER PARK,GA1690014,GA,Jones,,04,CWS,48,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=GA1690014
"50-50 FOODS, INC.",GA2890026,GA,Twiggs,,04,TNCWS,175,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=GA2890026
"515 PROPERTIES, LLC",GA1230087,GA,Gilmer,,04,TNCWS,67,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=GA1230087
53 TRUCK STOP,GA1570036,GA,Fulton,,04,TNCWS,75,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=GA1570036
A & A MOBILE HOME PARK,GA0330038,GA,Burke,,04,CWS,125,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=GA0330038
A B C MOBILE HOME PARK,GA2610011,GA,Sumter,,04,CWS,81,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=GA2610011
A BIG WHEEL RV PARK,GA0390054,GA,Camden,,04,TNCWS,93,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=GA0390054
A CHILDS PLACE,GA0510212,GA,Chatham,,04,TNCWS,30,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=GA0510212
A TASTE OF COUNTRY RESTAURANT,GA1170157,GA,Forsyth,,04,TNCWS,200,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=GA1170157
A&M PROPERTIES OF GEORGIA WATER SYSTEM,GA3050084,GA,Wayne,,04,NTNCWS,95,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=GA3050084
AARON MOBILE HOME PARK,GA1830006,GA,Long,,04,CWS,112,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=GA1830006
ABBEVILLE,GA3150000,GA,Wilcox,,04,CWS,2960,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=GA3150000
ABITIBI SOUTHERN CORP.,GA2450020,GA,Fulton,,04,TNCWS,26,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=GA2450020
ABRAHAM BALDWIN AGRI. COLLEGE,GA2770004,GA,Tift,,04,CWS,4000,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=GA2770004
ACADEMY ACRES SUBDIVISION,GA1850009,GA,Lowndes,,04,CWS,325,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=GA1850009
ACE POLE COMPANY,GA2290034,GA,Pierce,,04,NTNCWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=GA2290034
ACRES OF SHADE MOBILE HOME PK,GA1450036,GA,,,04,CWS,55,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=GA1450036
ACTION INC.HEAD START,GA2210005,GA,Oglethorpe,,04,NTNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=GA2210005
ACTION MOVEMENT RESTAURANT,GA2530016,GA,Seminole,,04,TNCWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=GA2530016
ACTION STATION,GA0930016,GA,Houston,,04,TNCWS,300,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=GA0930016
