ALIAMANU,HI0000337,HI,Honolulu,,09,CWS,6630,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=HI0000337
ANAHOLA,HI0000401,HI,Kauai,,09,CWS,2408,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=HI0000401
ANAHOLA FARM LOTS,HI0000432,HI,Kauai,,09,CWS,385,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=HI0000432
ANINI,HI0000402,HI,Kauai,,09,CWS,169,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=HI0000402
BARBERS POINT,HI0000355,HI,Honolulu,,09,CWS,5256,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=HI0000355
BOARD OF WATER SUPPLY,HI0000336,HI,Honolulu,,09,CWS,47500,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=HI0000336
C&H SUGAR,HI0000305,HI,Honolulu,,09,NTNCWS,75,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=HI0000305
CAMP ERDMAN YMCA,HI0000329,HI,Honolulu,,09,TNCWS,500,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=HI0000329
CAMP MALUHIA,HI0000221,HI,Maui,,09,TNCWS,175,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=HI0000221
CAMP STOVER,HI0000354,HI,Honolulu,,09,CWS,595,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=HI0000354
CONSOLIDATED BASEYARDS,HI0000258,HI,Maui,,09,NTNCWS,90,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=HI0000258
DAVIES-HAMAKUA SUGAR CO,HI0000136,HI,Hawaii,,09,CWS,200,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=HI0000136
DAVIES-HAMAKUA SUGAR CO,HI0000121,HI,Hawaii,,09,CWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=HI0000121
