100 ACRE WOOD B AND B,ID7300141,ID,Lemhi,,10,TNCWS,0,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ID7300141
"11 LABELLE 3 RIGBY 2,3",ID7260074,ID,Jefferson,,10,TNCWS,884,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ID7260074
1ST FEDERAL SAVINGS & LOAN,ID3730401,ID,Bannock,,10,CWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ID3730401
2 SISTERS COUNTRY STORE,ID4430094,ID,Valley,,10,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ID4430094
3 GS CONVENIENCE STORE,ID6060091,ID,Bingham,,10,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ID6060091
3 QUARTER CIRCLE Y,ID4200012,ID,Elmore,,10,CWS,60,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ID4200012
3D WATER ASSOCIATION,ID7100201,ID,Bonneville,,10,CWS,642,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ID7100201
3K RANCH,ID3140259,ID,Canyon,,10,TNCWS,0,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ID3140259
4 S RANCH,ID1280336,ID,Kootenai,,10,CWS,23,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ID1280336
44 QUICK STOP,ID3140216,ID,Canyon,,10,TNCWS,200,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ID3140216
44 TRAILER CT,ID2401810,ID,Ada,,10,CWS,75,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ID2401810
5TH WEST MEETINGHOUSE LDS CHURCH,ID7100164,ID,Bonneville,,10,TNCWS,471,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ID7100164
7 M COUNTRY DINNER,ID6040014,ID,Bear Lake,,10,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ID6040014
7 RIVERS LIVESTOCK COMMISSION,ID3230055,ID,Gem,,10,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ID3230055
7-11 STORE #18225,ID2401812,ID,Ada,,10,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ID2401812
7N RANCH,ID7260059,ID,Jefferson,,10,TNCWS,56,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ID7260059
93 CLUB,ID7300063,ID,Lemhi,,10,TNCWS,30,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ID7300063
A 1 GAS AND OIL,ID6030001,ID,Bannock,,10,TNCWS,200,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ID6030001
A A A MOBILE PARK,ID4010001,ID,Ada,,10,CWS,100,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ID4010001
A BAR,ID7220001,ID,Fremont,,10,TNCWS,0,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ID7220001
A OK CAMPGROUND,ID5420052,ID,Twin Falls,,10,TNCWS,1,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ID5420052
A W JOHNSON ELEMENTARY SCHOOL,ID6060017,ID,Bingham,,10,NTNCWS,330,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ID6060017
A.D. YOUNG,ID3730797,ID,Lemhi,,10,TNCWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ID3730797
ABERDEEN CITY OF,ID6060001,ID,Bingham,,10,CWS,1994,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ID6060001
ACEQUIA SCHOOL,ID5340037,ID,Minidoka,,10,NTNCWS,300,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ID5340037
ADA COUNTY HIGHWAY DIST,ID4010224,ID,Ada,,10,NTNCWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ID4010224
