02 THERAPY,IL3096495,IL,Winnebago,,05,TNCWS,20,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IL3096495
02 THERAPY,IL0096495,IL,Winnebago,,05,TNCWS,20,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IL0096495
1 NORMAL PLAZA,IL3116285,IL,McLean,,05,NTNCWS,70,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IL3116285
1-STOP GAS & GROCERY MART,IL3038471,IL,Bureau,,05,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IL3038471
1007 FRONT ST APTS,IL0083063,IL,DuPage,,05,TNCWS,72,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IL0083063
1007 FRONT ST APTS,IL3083063,IL,DuPage,,05,TNCWS,72,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IL3083063
101 RANCH SUPPER CLUB,IL0049197,IL,Rock Island,,05,TNCWS,250,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IL0049197
1040 MILWAUKEE AVE,IL0088195,IL,Cook,,05,TNCWS,100,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IL0088195
1098 MILWAUKEE AV,IL0087874,IL,Cook,,05,TNCWS,100,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IL0087874
1098 MILWAUKEE AV,IL3087874,IL,Cook,,05,TNCWS,60,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IL3087874
114 TOWNCREST DR APTS,IL1970120,IL,Will,,05,CWS,52,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IL1970120
11TH STREET A WELL,IL1617726,IL,Rock Island,,05,CWS,0,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IL1617726
11TH STREET DINER,IL3045690,IL,Winnebago,,05,TNCWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IL3045690
121 CLUB,IL3055616,IL,Tazewell,,05,TNCWS,100,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IL3055616
15TH STR B WTR CORP,IL1617736,IL,Rock Island,,05,CWS,32,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IL1617736
161 STORE IT,IL3161588,IL,Clinton,,05,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IL3161588
176TH AVE W CMNTY WTR SYS,IL1617436,IL,Rock Island,,05,CWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IL1617436
1890 CLUB,IL0013573,IL,Ogle,,05,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IL0013573
189TH EAST INDUSTRIAL PARK,IL0082909,IL,Will,,05,TNCWS,150,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IL0082909
189TH EAST INDUSTRIAL PARK,IL3082909,IL,Will,,05,TNCWS,150,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IL3082909
1910 WORKING FARM,IL3034728,IL,Henry,,05,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IL3034728
1910 WORKING FARM,IL0034728,IL,Henry,,05,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IL0034728
1ST ASSEMBLY CHURCH OF GOD,IL3025445,IL,Will,,05,TNCWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IL3025445
1ST AVENUE NORTH APTS,IL1617188,IL,Rock Island,,05,CWS,32,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IL1617188
1ST BAPTIST CHURCH OF NEW LENO,IL0025452,IL,Will,,05,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IL0025452
1ST BAPTIST CHURCH OF NEW LENO,IL3025452,IL,Will,,05,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IL3025452
1ST CHURCH OF OPEN BIBLE,IL0051250,IL,Stephenson,,05,TNCWS,90,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IL0051250
1ST CHURCH OF THE NAZARENE,IL3119859,IL,Cook,,05,TNCWS,30,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IL3119859
1ST CHURCH OF THE NAZARENE,IL0019349,IL,Lake,,05,TNCWS,150,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IL0019349
1ST CHURCH OF THE OPEN BIBLE,IL3051250,IL,Stephenson,,05,NTNCWS,75,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IL3051250
1ST INNING,IL3105379,IL,Lake,,05,TNCWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IL3105379
1ST LUTHERAN CHURCH OF JORDAN,IL3030213,IL,Whiteside,,05,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IL3030213
1ST LUTHERAN OF JORDON,IL0030213,IL,Whiteside,,05,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IL0030213
1ST PRESBYTERIAN CHURCH/DUPAGE,IL3032037,IL,Will,,05,TNCWS,200,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IL3032037
2 RIVERS HEAD START DAY CARE,IL3068866,IL,Kane,,05,NTNCWS,44,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IL3068866
200 N MICHIGAN BLDG,IL3012906,IL,Cook,,05,TNCWS,560,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IL3012906
200 N MICHIGAN BLDG,IL0012906,IL,Cook,,05,TNCWS,560,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IL0012906
2022 FOODMART INC,IL3130872,IL,McHenry,,05,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IL3130872
230 N MICHIGAN BLDG,IL3012880,IL,Cook,,05,TNCWS,1250,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IL3012880
230 N MICHIGAN BLDG,IL0012880,IL,Cook,,05,TNCWS,1250,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IL0012880
24 7 ICE PONTIAC,IL3158071,IL,Livingston,,05,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IL3158071
