(FORMERLY) SUBWAY #13317,IN2200079,IN,Elkhart,,05,TNCWS,155,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IN2200079
101 EAGLES NEST,IN2020181,IN,Allen,,05,TNCWS,200,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IN2020181
13 CENTER - SYRACUSE,IN2430068,IN,Kosciusko,,05,TNCWS,72,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IN2430068
181ST T.A.C. CLINIC/S.G.P.B.,IN2840852,IN,Vigo,,05,NTNCWS,75,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IN2840852
1ST BAPTIST CHURCH OF DEMOTTE,IN2370124,IN,Jasper,,05,TNCWS,51,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IN2370124
1ST BAPTST CHURCH OF AMO,IN2320151,IN,Hendricks,,05,TNCWS,35,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IN2320151
1ST CHRISTOPHER EPISCOPAL,IN2290247,IN,Hamilton,,05,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IN2290247
200 EXPRESS,IN2760845,IN,Steuben,,05,TNCWS,154,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IN2760845
20TH CENTURY FIBERGLASS INC,IN2201006,IN,,,05,NTNCWS,45,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IN2201006
20TH CENTURY RESTAURANT,IN2201011,IN,Elkhart,,05,TNCWS,115,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IN2201011
29-MARAMART,IN2080012,IN,Carroll,,05,TNCWS,800,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IN2080012
3 - D CAMPGROUND,IN2750869,IN,Starke,,05,TNCWS,109,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IN2750869
3 AMIGOS,IN2520023,IN,Miami,,05,TNCWS,75,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IN2520023
3 CROSS MINISTRIES,IN2200174,IN,Elkhart,,05,TNCWS,43,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IN2200174
"31 MARA-MART, INC.",IN2520856,IN,Miami,,05,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IN2520856
4 - H FAIRGROUNDS,IN2270824,IN,Grant,,05,TNCWS,300,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IN2270824
40 MOTEL,IN2320002,IN,Marion,,05,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IN2320002
49ER DRIVE IN THEATRE,IN2640060,IN,Porter,,05,TNCWS,659,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IN2640060
5 & 20 COUNTRY RESTAURANT,IN2440021,IN,LaGrange,,05,TNCWS,264,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IN2440021
5050 NORTH 13TH,IN2840019,IN,Vigo,,05,TNCWS,51,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IN2840019
6 & 15 CONVENIENCE STORE INC.,IN2200816,IN,Elkhart,,05,TNCWS,100,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IN2200816
6 AUTUMNS RESTAURANT,IN2760115,IN,Steuben,,05,TNCWS,120,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IN2760115
67 INN MOTEL,IN2280001,IN,Greene,,05,TNCWS,27,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IN2280001
7-MILE MINI MART,IN2850007,IN,Wabash,,05,TNCWS,99,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IN2850007
84 LUMBER,IN2890830,IN,Wayne,,05,TNCWS,68,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IN2890830
