205 FOOD MART,KY1193239,KY,Wolfe,,04,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY1193239
24-KARAT,KY0562294,KY,Jefferson,,04,TNCWS,13,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0562294
4 STAR VILLAGE APARTMENTS,KY0603287,KY,Knott,,04,TNCWS,0,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0603287
41 MOTEL,KY1102829,KY,Todd,,04,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY1102829
41-A BAR-B-QUE,KY0243153,KY,Christian,,04,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0243153
519 FOODMART,KY0883364,KY,Morgan,,04,TNCWS,30,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0883364
76 FALLS ROADSIDE PARK,KY1042548,KY,Russell,,04,TNCWS,200,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY1042548
A AND R DAIRY FREEZE,KY0472912,KY,Hardin,,04,TNCWS,24,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0472912
A K P COAL CO INC/ANCO MINES,KY0602599,KY,Knott,,04,TNCWS,34,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0602599
ABBEY OF GETHSEMANI WATER DEPT,KY0900647,KY,Nelson,,04,CWS,100,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0900647
ABBOTT/LITTLE PAINT WATER DIST,KY0360930,KY,Floyd,,04,CWS,561,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0360930
ABNER MOTEL & RESTAURANT,KY0990679,KY,Powell,,04,TNCWS,100,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0990679
ABNERS BRANCH,KY0662182,KY,Leslie,,04,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0662182
ABRAHAM LINCOLN BIRTHPLACE,KY0622104,KY,Larue,,04,TNCWS,300,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0622104
ACADEMY HEIGHTS,KY1190584,KY,Wolfe,,04,TNCWS,9,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY1190584
ACTION MART #6,KY0132565,KY,Breathitt,,04,TNCWS,200,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0132565
ADAIRVILLE WATER WORKS,KY0710001,KY,Logan,,04,CWS,787,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0710001
ADDISON WELL,KY0142571,KY,Breckinridge,,04,TNCWS,14,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0142571
ADENA SPRINGS FARM,KY1203110,KY,Woodford,,04,TNCWS,12,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY1203110
ADKINS TRAILER PARK,KY0980578,KY,Pike,,04,CWS,19,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0980578
AFLEX WATER SYSTEM,KY0980002,KY,Pike,,04,CWS,200,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0980002
AGES KCEOC HEADSTART,KY0482970,KY,Harlan,,04,NTNCWS,0,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0482970
ALBANY WATER WORKS,KY0270003,KY,Clinton,,04,CWS,14702,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0270003
ALBERT F TURNER TRAILER COURT,KY0530053,KY,Hickman,,04,CWS,10,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0530053
ALBERTA KING'S PIZZA HOUSE,KY0982930,KY,Pike,,04,TNCWS,100,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0982930
ALDERSON TRAILER COURTS,KY0040627,KY,Ballard,,04,TNCWS,20,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0040627
ALERIS ROLLED PRODUCTS INC,KY0462024,KY,Hancock,,04,NTNCWS,850,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0462024
ALEXANDER WATER HAULING,KY0390925,KY,Gallatin,,04,CWS,500,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0390925
ALICE RITCHIE REST Y GROCERY,KY0602616,KY,Knott,,04,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0602616
ALL SAINTS EPISCOPAL CAMP,KY0432096,KY,Grayson,,04,TNCWS,179,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0432096
ALLEGRE ELEM SCHOOL,KY1102479,KY,Todd,,04,TNCWS,100,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY1102479
ALLEN COUNTY WATER DISTRICT,KY0020956,KY,Allen,,04,CWS,14999,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0020956
ALLEN MOBILE HOME PARK,KY0470620,KY,Hardin,,04,CWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0470620
ALLEN TRAILER PARK,KY0480101,KY,Harlan,,04,TNCWS,23,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0480101
ALLEN WATER COMMISSION,KY0360005,KY,Floyd,,04,CWS,1749,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0360005
ALLENSVILLE WATER WORKS,KY1100006,KY,Todd,,04,CWS,40,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY1100006
ALPIKE MOBILE HOME PARK,KY0360742,KY,Floyd,,04,CWS,75,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0360742
ALSIP MOBILE HOME PARK,KY0730912,KY,McCracken,,04,CWS,30,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0730912
ALSTON SURFACE MINE,KY0922303,KY,Ohio,,04,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0922303
ALTON WATER DISTRICT,KY0030007,KY,Anderson,,04,CWS,3164,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0030007
"ALUMAX MILL PRODUCTS, INC",KY0462384,KY,Hancock,,04,NTNCWS,146,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0462384
AMAX COAL CO/AYRGEM MINE,KY0892469,KY,Muhlenberg,,04,TNCWS,159,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0892469
AMERICAN SYNTHETIC RUBBER,KY0562411,KY,Jefferson,,04,TNCWS,200,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0562411
"AMERIFORM MANUFACTURING, INC",KY0213072,KY,Carroll,,04,NTNCWS,0,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0213072
ANDERSON'S MARKET,KY0022238,KY,Allen,,04,TNCWS,1,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0022238
ANITA SPRING WATER CO,KY0930919,KY,Oldham,,04,CWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0930919
ANNS COUNTRY KITCHEN,KY0672260,KY,Letcher,,04,TNCWS,40,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0672260
ANNVILLE INSTITUTE,KY0550785,KY,Jackson,,04,CWS,125,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0550785
ANTON ELEM SCHOOL,KY0542684,KY,Hopkins,,04,TNCWS,310,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0542684
APACHE TRAILER PARK,KY0060695,KY,Bath,,04,TNCWS,20,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0060695
APPALACHIAN MOTEL,KY0772188,KY,Magoffin,,04,TNCWS,70,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0772188
APPLE VALLEY TOWNHOUSE ASSOC,KY1042601,KY,Russell,,04,NTNCWS,337,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY1042601
ARLENES BAKERY,KY0603237,KY,Knott,,04,TNCWS,12,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0603237
ARLIE BOGG ELEMENTARY SCHOOL,KY0672292,KY,Letcher,,04,NTNCWS,200,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0672292
ARLINGHAUS PROPERTY,KY0080928,KY,Boone,,04,CWS,49,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0080928
ARLINGTON WATER DEPARTMENT,KY0200009,KY,Carlisle,,04,CWS,588,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0200009
ARMORED ACRES MHP,KY0560634,KY,Jefferson,,04,CWS,99,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0560634
ASHERS RESTAURANT,KY0972191,KY,Perry,,04,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0972191
ASHLAND WATER WORKS,KY0100011,KY,Boyd,,04,CWS,44402,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0100011
ASHLAND WATER WORKS/CATLETTSBG,KY0100068,KY,Boyd,,04,CWS,4000,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0100068
ASHLEY POINT MOBILE HOME PARK,KY0560609,KY,Jefferson,,04,CWS,0,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0560609
ASTHMA & ALLERGY CENTER,KY0673508,KY,,,04,TNCWS,24,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0673508
AUBURN MUN WATER WORKS,KY0710012,KY,Logan,,04,CWS,1931,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0710012
AUGUSTA REGIONAL WTP,KY0120013,KY,Bracken,,04,CWS,1690,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0120013
AUXIER WATER COMPANY,KY0360014,KY,Floyd,,04,CWS,0,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0360014
B AND B FOOD MART,KY0322817,KY,Elliott,,04,TNCWS,20,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0322817
B R CAMPBELL AND SON INC,KY0742459,KY,McCreary,,04,TNCWS,172,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0742459
B W LYONS PARKWAY SERV STATION,KY0432262,KY,Grayson,,04,TNCWS,20,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0432262
B&W DAIRY BAR,KY0672664,KY,Letcher,,04,TNCWS,30,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0672664
BABI & BB DAIRY BAR,KY0452910,KY,Greenup,,04,TNCWS,30,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0452910
BAILEY HILL COAL CO INC,KY0072579,KY,Bell,,04,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0072579
BAILEY MINING CO/PRICE #2,KY0362585,KY,Floyd,,04,TNCWS,88,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0362585
BAILEY MINING CO/WHEELWRIGHT 3,KY0362584,KY,Floyd,,04,TNCWS,32,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0362584
BAILEY'S BOAT REPAIR/B&J REST,KY0432618,KY,Grayson,,04,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0432618
BAILEYS SUPERETTE,KY0883194,KY,Morgan,,04,TNCWS,150,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0883194
BAKER'S DAIRY BAR,KY0972928,KY,Perry,,04,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0972928
BAKERS DAIRY DELITE,KY0973155,KY,Perry,,04,TNCWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0973155
BAKERS TRUCK STOP,KY0982945,KY,Pike,,04,TNCWS,60,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0982945
BALLARD MEMORIAL HIGH SCHOOL,KY0042000,KY,Ballard,,04,TNCWS,837,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0042000
BALLARD WILDLIFE AREA,KY0042720,KY,Ballard,,04,TNCWS,21,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0042720
BAMBI COURT APTS,KY1180577,KY,Whitley,,04,CWS,36,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY1180577
BANDANA WATER DISTRICT,KY0040015,KY,Ballard,,04,CWS,0,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0040015
BANKS ENTERPRISES INC,KY0672424,KY,Letcher,,04,TNCWS,20,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0672424
BAR X TRAILER PARK,KY0720553,KY,Lyon,,04,CWS,97,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0720553
BARBOURVILLE UTILITIES,KY0610016,KY,Knox,,04,CWS,16420,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0610016
BARDSTOWN JUNCTION BAPTIST CHU,KY0152114,KY,Bullitt,,04,TNCWS,150,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0152114
BARDSTOWN MUNICIPAL WATER DEPT,KY0900017,KY,Nelson,,04,CWS,31185,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0900017
BARDWELL CITY UTILITIES,KY0200018,KY,Carlisle,,04,CWS,1227,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0200018
BARKLEY DAM TRAILER PARK,KY0720555,KY,Lyon,,04,CWS,30,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0720555
BARKLEY LAKE WATER DISTRICT,KY1110019,KY,Trigg,,04,CWS,14284,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY1110019
BARLOW WATER SYSTEM,KY0040020,KY,Ballard,,04,CWS,1040,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0040020
BARNETT'S GROCERY,KY0773150,KY,Magoffin,,04,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0773150
BATH COUNTY WATER DISTRICT,KY0060022,KY,Bath,,04,CWS,8955,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0060022
BATTLETOWN ELEM SCHOOL,KY0822021,KY,Meade,,04,NTNCWS,91,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0822021
BATTLETOWN GENERAL STORE,KY0823624,KY,Meade,,04,CWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0823624
BAXTER HOUSE BED & BREAKFAST,KY0843485,KY,Mercer,,04,TNCWS,17,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0843485
BAY AREA CAMPING RESORT,KY0722033,KY,Lyon,,04,TNCWS,186,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0722033
BEADLES WATER SYSTEM,KY0420536,KY,Graves,,04,CWS,94,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0420536
BEAR BRANCH SENIOR CITIZENS,KY0662350,KY,Leslie,,04,TNCWS,29,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0662350
BEARVILLE MARKET,KY0603267,KY,Knott,,04,TNCWS,0,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0603267
BEATTYVILLE WATER WORKS,KY0650024,KY,Lee,,04,CWS,8428,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0650024
BEAVER CREEK ELEMENTARY SCHOOL,KY0602174,KY,Knott,,04,NTNCWS,0,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0602174
BEAVER DAM MUNICIPAL WATER & SEWER,KY0920025,KY,Ohio,,04,CWS,3901,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0920025
BECKHAM BATES ELEMENTARY,KY0672290,KY,Letcher,,04,NTNCWS,100,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0672290
BECKHAM COMBS ELEMENTARY SCHOOL,KY0602286,KY,Knott,,04,NTNCWS,250,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0602286
BEE SPRING LODGE,KY0792760,KY,Marshall,,04,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0792760
BEECH FORK ELEM SCHOOL,KY0662707,KY,Leslie,,04,NTNCWS,200,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0662707
BEECH FORK WATER COMMISSION,KY0990281,KY,Powell,,04,CWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0990281
BEECH GROVE WATER SYSTEM,KY0750529,KY,McLean,,04,CWS,1461,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=KY0750529
