% CLYDE GUILLORY,LA2019064,LA,Calcasieu Parish,,06,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=LA2019064
% JEFFREY DESHOTEL,LA2019067,LA,Calcasieu Parish,,06,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=LA2019067
% LYNN GREENE,LA1077014,LA,Pointe Coupee Parish,,06,CWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=LA1077014
% WBR RECREATION AND PARKS COM,LA2121005,LA,West Baton Rouge Parish,,06,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=LA2121005
(LP&L) ENTERGY CORP.,LA2073028,LA,Ouachita Parish,,06,NTNCWS,82,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=LA2073028
"103 TRUCK STOP, INC.W.S.",LA2073023,LA,Ouachita Parish,,06,TNCWS,1700,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=LA2073023
167 TRUCK STOP WATER SYSTEM,LA2097046,LA,St. Landry Parish,,06,TNCWS,100,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=LA2097046
29 PALMS TRAILER PARK,LA1117023,LA,Washington Parish,,06,CWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=LA1117023
4 OAKS MHP,LA1105069,LA,Tangipahoa Parish,,06,CWS,168,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=LA1105069
4TH WARD WATER DIST LOBDELL,LA1121007,LA,West Baton Rouge Parish,,06,CWS,550,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=LA1121007
4TH WARD WATER DIST SUNRISE,LA1121009,LA,West Baton Rouge Parish,,06,CWS,550,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=LA1121009
4TH WARD WATER DIST TOMBSTONE,LA1121010,LA,West Baton Rouge Parish,,06,CWS,300,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=LA1121010
4TH WARD WATER DISTRICT,LA1121006,LA,West Baton Rouge Parish,,06,CWS,350,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=LA1121006
550-15 SUBDIVISION W.S.,LA1111006,LA,Union Parish,,06,CWS,75,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=LA1111006
59 SHELL SERVICE STATION,LA2103366,LA,St. Tammany Parish,,06,TNCWS,1050,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=LA2103366
7 OAKS WATER SUPPLY,LA1005178,LA,Ascension Parish,,06,CWS,108,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=LA1005178
7-11 GROCERY,LA2103190,LA,St. Tammany Parish,,06,TNCWS,3,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=LA2103190
700 WATER WELL,LA2073033,LA,Ouachita Parish,,06,TNCWS,24,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=LA2073033
76 TRUCK STOP,LA2103191,LA,St. Tammany Parish,,06,TNCWS,200,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=LA2103191
84 LUMBER SUPPLY,LA2005272,LA,,,06,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=LA2005272
A & L M.H.P.,LA1063095,LA,Livingston Parish,,06,CWS,76,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=LA1063095
A & M CAMPGROUND,LA2001021,LA,Acadia Parish,,06,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=LA2001021
A A MHP WATER SYSTEM,LA1085001,LA,Sabine Parish,,06,CWS,0,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=LA1085001
A C INDUSTRIAL PARK,LA2019123,LA,Calcasieu Parish,,06,TNCWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=LA2019123
A CHILD'S WONDERLAND,LA2103321,LA,St. Tammany Parish,,06,TNCWS,1,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=LA2103321
A F U 102 LOCAL,LA2005043,LA,Ascension Parish,,06,TNCWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=LA2005043
A G SPARACINO,LA1063034,LA,Livingston Parish,,06,TNCWS,8,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=LA1063034
A J LEBLEU,LA1019090,LA,Calcasieu Parish,,06,CWS,96,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=LA1019090
A L SCOTT,LA2115065,LA,Vernon Parish,,06,TNCWS,15,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=LA2115065
A M LEARY,LA1017013,LA,Caddo Parish,,06,CWS,300,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=LA1017013
A T AND T,LA2103459,LA,St. Tammany Parish,,06,NTNCWS,55,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=LA2103459
A TO Z DAYCARE CENTER,LA2103320,LA,St. Tammany Parish,,06,NTNCWS,40,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=LA2103320
A VERNON,LA2071091,LA,Caddo Parish,,06,TNCWS,5,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=LA2071091
A&C SEAFOOD,LA2097037,LA,St. Landry Parish,,06,TNCWS,20,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=LA2097037
A&D MOBILE HOME PARK,LA1063084,LA,Livingston Parish,,06,CWS,132,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=LA1063084
A-1 CAMPGROUND WATER SYSTEM,LA2085067,LA,Sabine Parish,,06,TNCWS,18,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=LA2085067
A-1 TRAILER PARK,LA1085002,LA,Sabine Parish,,06,CWS,200,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=LA1085002
A-ASSOCIATES,LA1017024,LA,Caddo Parish,,06,CWS,111,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=LA1017024
A.B STARKEY,LA2033104,LA,East Baton Rouge Parish,,06,TNCWS,4,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=LA2033104
A.WILBERT AND SON TP,LA1047021,LA,Iberville Parish,,06,CWS,328,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=LA1047021
ABBEVILLE CHRISTIAN CENTER,LA2113123,LA,Vermilion Parish,,06,TNCWS,80,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=LA2113123
ABBEVILLE COUNTRY CLUB W,LA2113001,LA,Vermilion Parish,,06,NTNCWS,150,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=LA2113001
ABELE DUTREIL,LA2095019,LA,St. John the Baptist Parish,,06,TNCWS,15,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=LA2095019
ABITA BAR B Q,LA2103469,LA,St. Tammany Parish,,06,TNCWS,101,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=LA2103469
ABITA EAST APARTMENTS,LA1103140,LA,St. Tammany Parish,,06,CWS,100,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=LA1103140
ABITA PETRO PLUS,LA2103531,LA,St. Tammany Parish,,06,TNCWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=LA2103531
ABITA QUAIL FARM,LA2103435,LA,St. Tammany Parish,,06,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=LA2103435
ABITA QUAIL FARM,LA2103020,LA,St. Tammany Parish,,06,TNCWS,6,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=LA2103020
ABITA RV PARK,LA2103512,LA,St. Tammany Parish,,06,TNCWS,279,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=LA2103512
ABITA SPRINGS AIRPORT,LA2103021,LA,St. Tammany Parish,,06,TNCWS,2,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=LA2103021
ABITA SPRINGS GOLF CLUB W S,LA2103294,LA,St. Tammany Parish,,06,TNCWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=LA2103294
ABITA SPRINGS RV PARK,LA1103187,LA,St. Tammany Parish,,06,CWS,372,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=LA1103187
ABITA SPRINGS RV PARK - DUPLICATE ENTRY,LA1103188,LA,,,06,CWS,279,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=LA1103188
ABITA SPRINGS WATER SYSTEM,LA1103002,LA,St. Tammany Parish,,06,CWS,3000,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=LA1103002
ABLE-BEKINS MOVING & STORAGE,LA2033110,LA,East Baton Rouge Parish,,06,TNCWS,20,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=LA2033110
ACA WATER SYSTEMS INC,LA1005125,LA,Ascension Parish,,06,CWS,26,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=LA1005125
ACADEMY OF THE SACRED HEART,LA2097001,LA,St. Landry Parish,,06,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=LA2097001
ACADIA POWER PLANT WATER SYSTEM,LA2001064,LA,Acadia Parish,,06,NTNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=LA2001064
ACADIAN ACRES #2,LA1055102,LA,Lafayette Parish,,06,CWS,100,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=LA1055102
ACADIAN ACRES M H P WATER SYSTEM,LA1019107,LA,Calcasieu Parish,,06,CWS,462,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=LA1019107
ACADIAN ACRES TRAILER PARK,LA1055073,LA,Lafayette Parish,,06,CWS,75,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=LA1055073
ACADIAN CAMPGROUND,LA2097023,LA,St. Landry Parish,,06,TNCWS,75,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=LA2097023
ACADIAN HEALTH SERVICE WATER SYSTEM,LA2055094,LA,Lafayette Parish,,06,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=LA2055094
ACADIAN HILLS COUNTRY CLUB,LA2055001,LA,Lafayette Parish,,06,TNCWS,280,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=LA2055001
ACADIAN OAKS TRAILER PARK,LA2001055,LA,Acadia Parish,,06,TNCWS,16,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=LA2001055
ACADIAN OAKS TRAILER PARK,LA1001012,LA,Acadia Parish,,06,CWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=LA1001012
ACADIAN SEAFOOD PROCESSING,LA2113148,LA,Vermilion Parish,,06,TNCWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=LA2113148
ACADIAN SHORES,LA2085003,LA,Sabine Parish,,06,TNCWS,100,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=LA2085003
