1-7-10  BOWLING & ENTERTAINMENT CENTER,ME0094451,ME,Kennebec,,01,TNCWS,221,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ME0094451
10TH MOUNTAIN SKI CENTER,ME0094739,ME,Aroostook,,01,TNCWS,30,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ME0094739
"1125 CROSSING, INC.",ME0009675,ME,York,,01,TNCWS,245,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ME0009675
122 CORSON,ME0092615,ME,Somerset,,01,TNCWS,144,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ME0092615
15 MILE STREAM LODGE & OUTFITTERS,ME0004596,ME,Somerset,,01,TNCWS,114,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ME0004596
1ST BAPTIST CHURCH OF WALDOBORO,ME0094746,ME,Lincoln,,01,TNCWS,49,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ME0094746
1ST STOP COUNTY ROAD STORE,ME0009604,ME,Cumberland,,01,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ME0009604
2 KRAZY LADYS,ME0026842,ME,Sagadahoc,,01,TNCWS,62,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ME0026842
2 SISTERS,ME0017185,ME,Washington,,01,TNCWS,260,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ME0017185
202 CLUB,ME0009348,ME,Kennebec,,01,TNCWS,300,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ME0009348
3 SPRINGS WATER,ME0093498,ME,,,01,CWS,24,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ME0093498
323 NAPLES ROOSEVELT TRAIL LLC,ME0018522,ME,Cumberland,,01,TNCWS,400,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ME0018522
4 CORNERS SHOP & SAVE,ME0092410,ME,Washington,,01,NTNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ME0092410
45TH PARELLEL DINER,ME0006586,ME,Penobscot,,01,TNCWS,282,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ME0006586
5K PIZZA 2,ME0012066,ME,Oxford,,01,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ME0012066
6 TS FUN PARK,ME0094805,ME,Waldo,,01,TNCWS,26,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ME0094805
7 LAKES ALLIANCE,ME0095014,ME,Kennebec,,01,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ME0095014
9TH WAVE LODGE,ME0023969,ME,Hancock,,01,TNCWS,227,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ME0023969
A & A SERVICE CENTER,ME0094046,ME,Penobscot,,01,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ME0094046
A & M'S SUBS & SWEETS,ME0016881,ME,Cumberland,,01,TNCWS,28,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ME0016881
A E ROBINSON MOBILE MART,ME0094660,ME,Penobscot,,01,TNCWS,75,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ME0094660
