#5 HILLS TEE BOYNE HIGHLANDS,MI2420373,MI,Emmet,49740,05,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MI2420373
#5 ROSS TEE BOYNE HIGHLANDS,MI2420374,MI,Emmet,49740,05,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MI2420374
0VIDON MANUFACTURING,MI4720517,MI,Livingston,,05,TNCWS,45,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MI4720517
1 KAMA MOMMA'S,MI5120219,MI,Manistee,49675,05,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MI5120219
10 AND 66 CAMPGROUND,MI6720147,MI,Osceola,,05,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MI6720147
10063 DIXIE,MI6320799,MI,Oakland,48348,05,TNCWS,100,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MI6320799
10TH TEE MOORE COURSE SNACKBAR,MI2420241,MI,Emmet,49740,05,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MI2420241
10TH TEE ROSS COURSE SNACKBAR,MI2420242,MI,Emmet,49740,05,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MI2420242
115 TRUCK STOP,MI1320305,MI,Calhoun,49068,05,NTNCWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MI1320305
12 Corners Vineyards,MI1120720,MI,Berrien,49022,05,TNCWS,26,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MI1120720
1239 COMSTOCK LLC.,MI7020435,MI,Ottawa,49435,05,NTNCWS,35,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MI7020435
12TH STREET MISSIONARY BAPTIST,MI3920415,MI,Kalamazoo,,05,TNCWS,100,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MI3920415
1449 S MILFORD ROAD PLAZA LLC,MI6321807,MI,Oakland,48357,05,TNCWS,600,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MI6321807
"1460 CLUB, INC.",MI7120144,MI,Presque Isle,,05,TNCWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MI7120144
15 OAK SQUARE MALL,MI6321986,MI,Oakland,48462,05,NTNCWS,300,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MI6321986
18 Taps LLC,MI2620462,MI,,,05,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MI2620462
1950 YATES CIDER MILL,MI6321077,MI,Oakland,,05,TNCWS,30,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MI6321077
1ST & MAIN LLC,MI3220262,MI,Huron,48720,05,TNCWS,200,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MI3220262
1ST ALLENDALE CHRIST REF CH,MI7020296,MI,Ottawa,,05,TNCWS,250,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MI7020296
1ST BAPTIST CHURCH,MI5920357,MI,Montcalm,48811,05,NTNCWS,110,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MI5920357
1ST CHURCH OF NAZARENE & HALL,MI1320246,MI,Calhoun,,05,TNCWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MI1320246
1ST NATIONAL BANK OF HOWELL,MI4720600,MI,Livingston,,05,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MI4720600
1ST TEE DRIVING RANGE,MI6120312,MI,Muskegon,,05,TNCWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MI6120312
20TH CENTURY BUILDING CO - BLDG #11 & 12,MI4720465,MI,Livingston,48189,05,NTNCWS,80,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MI4720465
