 71  Mart,MN5040340,MN,Beltrami,,05,TNCWS,100,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MN5040340
 Y  Knot Quick Stop,MN5360187,MN,Koochiching,,05,TNCWS,500,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MN5360187
 Y  Mart,MN5110536,MN,Cass,,05,TNCWS,500,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MN5110536
1 AND 44 LIQUOR CENTER,MN5700080,MN,Scott,,05,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MN5700080
1 STOP AUTO-TRUCK MART,MN5310702,MN,Itasca,,05,TNCWS,75,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MN5310702
1-NORTH CABIN RENTALS,MN5310703,MN,Itasca,,05,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MN5310703
10 Mile Tavern,MN5610451,MN,Pope,,05,TNCWS,60,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MN5610451
10-50 CLUB,MN5270122,MN,Hennepin,,05,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MN5270122
10-50 Club,MN5271081,MN,Hennepin,,05,TNCWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MN5271081
10-HI AUTO,MN5710097,MN,Sherburne,,05,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MN5710097
101 AND 5 DRIVE IN,MN5270013,MN,Hennepin,,05,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MN5270013
101 CLUB,MN5270123,MN,Hennepin,,05,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MN5270123
101 Market,MN5860429,MN,Wright,,05,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MN5860429
12 Hi Mobile Home Park,MN1860017,MN,Wright,,05,CWS,300,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MN1860017
12 MILE TAVERN,MN5490152,MN,Morrison,,05,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MN5490152
12 WEST SHOPPING CENTER,MN5270569,MN,Hennepin,,05,NTNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MN5270569
13-30 A AND W DRIVE INN,MN5810034,MN,Waseca,,05,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MN5810034
13TH AVENUE WELL,MN5380003,MN,Lake,,05,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MN5380003
14 Lakes Craft Brewing Co.,MN5181081,MN,Crow Wing,,05,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MN5181081
17 UNIT APT BLDG,MN5620344,MN,Ramsey,,05,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MN5620344
180 Degrees Hayward Group Home,MN5240237,MN,Freeborn,,05,TNCWS,30,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MN5240237
1975 Filling Station & Restaurant,MN5410023,MN,Lincoln,,05,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MN5410023
1ST BAPTIST CHURCH,MN5620351,MN,Ramsey,,05,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MN5620351
1ST MTKA CITY ST BANK,MN5270590,MN,Hennepin,,05,NTNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MN5270590
1ST PRESBYTERIAN CHURCH,MN5210161,MN,Douglas,,05,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MN5210161
2 Tall Tavern,MN5490297,MN,Morrison,,05,TNCWS,100,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MN5490297
2 West Express,MN5040734,MN,Beltrami,,05,TNCWS,90,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MN5040734
20 Rifle & Pistol Club,MN5740241,MN,Steele,,05,TNCWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MN5740241
210 Bar and Grill,MN5840016,MN,Wilkin,,05,TNCWS,30,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MN5840016
210 EAST RIVER PARKWAY APARTMENTS,MN1270072,MN,Hennepin,,05,CWS,45,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MN1270072
210 MARINE,MN5560550,MN,Otter Tail,,05,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MN5560550
21st Century Bank,MN5020197,MN,Anoka,,05,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MN5020197
232 BAR AND GRILL,MN5010164,MN,Aitkin,,05,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MN5010164
29 PINES MOBILE HOME COMMUNITY,MN5820463,MN,Washington,,05,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MN5820463
29 Pines Golf Course,MN5090170,MN,Carlton,,05,TNCWS,35,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MN5090170
2Annes Lakeside RV Park,MN5600217,MN,Polk,,05,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MN5600217
3 SISTERS CAFE AND BAR,MN5010142,MN,Aitkin,,05,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MN5010142
3 T REPAIR,MN5700187,MN,Scott,,05,TNCWS,30,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MN5700187
340 INCORPORATED,MN5620162,MN,Ramsey,,05,NTNCWS,500,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MN5620162
37 Acres RV and Campground,MN5490384,MN,Morrison,,05,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MN5490384
371 LIQUORS,MN5180074,MN,Crow Wing,,05,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MN5180074
"38 Outpost, Inc.",MN5310874,MN,Itasca,,05,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MN5310874
3B Rentals,MN5040738,MN,Beltrami,,05,TNCWS,120,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MN5040738
3M CHEMOLITE BLDG 2,MN5190404,MN,Dakota,,05,NTNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MN5190404
3M CHEMOLITE PLANT,MN5820104,MN,Washington,,05,NTNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MN5820104
3M CHEMOLITE WELL #2,MN5190405,MN,Dakota,,05,NTNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MN5190405
3M CHEMOLITE WELL #4,MN5190406,MN,Dakota,,05,NTNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MN5190406
3M CHEMOLITE WELL #5,MN5190407,MN,Dakota,,05,NTNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MN5190407
3M Cottage Grove,MN5820415,MN,Washington,,05,NTNCWS,740,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MN5820415
