10 4 WATER SYSTEM,MO5031436,MO,Morgan,,07,CWS,150,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MO5031436
101 LOUNGE,MO5211826,MO,Ozark,,07,TNCWS,40,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MO5211826
11 WEST CONDOMINIUM,MO3238020,MO,Camden,,07,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MO3238020
160 CAFE,MO5211163,MO,Taney,,07,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MO5211163
17 EAGLE STOP,MO3292542,MO,Cole,,07,TNCWS,200,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MO3292542
21 AUCTION,MO4283192,MO,Washington,,07,TNCWS,45,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MO4283192
21 EXPRESS,MO4292490,MO,Iron,,07,TNCWS,100,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MO4292490
265 RIDGE WATER ASSOCIATION,MO5031078,MO,Stone,,07,CWS,82,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MO5031078
28 TRUCK PORT,MO3218218,MO,Pulaski,,07,TNCWS,250,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MO3218218
3 D SALES LLC,MO1212952,MO,Benton,,07,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MO1212952
3M CORPORATION,MO3181514,MO,Boone,,07,NTNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MO3181514
3V CORP,MO5231809,MO,Lawrence,,07,NTNCWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MO5231809
4-H CLUB CAMP,MO4242028,MO,Wayne,,07,TNCWS,60,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MO4242028
4-J LAND & CATTLE COMPANY,MO3202607,MO,Pulaski,,07,TNCWS,900,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MO3202607
5 81 MOTEL & CAMPGROUND,MO3190771,MO,Camden,,07,CWS,75,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MO3190771
51 CLUB,MO6211057,MO,"Franklin, Stoddard",,07,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MO6211057
54 DINER,MO3211098,MO,Camden,,07,TNCWS,150,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MO3211098
6 MILE HOUSE RESTAURANT,MO4192599,MO,Reynolds,,07,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MO4192599
66 DRIVE IN THEATRE,MO5283199,MO,Jasper,,07,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MO5283199
7 ACRES MOTEL & APT'S,MO6192041,MO,St. Charles,,07,TNCWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MO6192041
7 EXPRESS,MO5292984,MO,Camden,,07,TNCWS,100,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MO5292984
71 TRUCK STOP,MO5211769,MO,Newton,,07,TNCWS,250,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MO5211769
71 TRUCK STOP,MO5218167,MO,Newton,,07,TNCWS,319,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MO5218167
A FREINDLY PLACE,MO3212548,MO,Benton,,07,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MO3212548
A LITTLE OFF BASE,MO1041099,MO,Johnson,,07,TNCWS,30,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MO1041099
A&H COUNTRY ESTATES,MO6048200,MO,Jefferson,,07,CWS,80,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MO6048200
ABC WATER ASSN,MO5252577,MO,Barry,,07,NTNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MO5252577
ABERDEEN GOLF CLUB,MO6202688,MO,St. Louis,,07,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MO6202688
ABUNDANT LIFE CHRISTIAN CHURCH,MO1272844,MO,Benton,,07,TNCWS,300,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MO1272844
ACE PLAZA,MO3048029,MO,Pulaski,,07,CWS,175,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MO3048029
ACKIN BACK RESORT,MO5190898,MO,Barry,,07,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MO5190898
ACRES OF SHADE MHP,MO5048082,MO,Greene,,07,CWS,125,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MO5048082
ACROSS THE RIVER REST   AND BA,MO1211038,MO,Platte,,07,TNCWS,200,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MO1211038
ADAIR COUNTY PWSD 1,MO2024000,MO,Adair,,07,CWS,7500,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MO2024000
ADAMS ALE RESORT,MO3191747,MO,Camden,,07,TNCWS,57,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MO3191747
ADRIAN PWS,MO1010001,MO,Bates,,07,CWS,1635,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MO1010001
ADVANCE PWS,MO4010002,MO,Stoddard,,07,CWS,1347,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MO4010002
"ADVENTURE ZONE, INC.",MO3218241,MO,Camden,,07,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MO3218241
AFFILIATED ACCEPTANCE CORP,MO3182481,MO,Camden,,07,NTNCWS,100,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MO3182481
AGAPE BOARDING SCHOOL,MO5172802,MO,Cedar,,07,CWS,250,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MO5172802
AGAPE LIFE FELLOWSHIP,MO5272441,MO,Greene,,07,TNCWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MO5272441
AIRPARK BEACH,MO5031627,MO,Barry,,07,TNCWS,42,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MO5031627
AIRPORT DINER,MO5212509,MO,Lawrence,,07,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MO5212509
AIRPORT HOMEOWNERS ASSN INC,MO5031435,MO,Barry,,07,CWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MO5031435
AIRPORT VILLAGE MHP,MO5238288,MO,Cedar,,07,TNCWS,26,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MO5238288
