4 H CLUB CAMP,MS0540044,MS,Panola,,04,TNCWS,75,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0540044
45 STEAKHOUSE & LOUNGE,MS0440052,MS,Lowndes,,04,TNCWS,40,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0440052
5 COUNTY CHILD DEVELOPMENT CTR,MS0390009,MS,Lawrence,,04,TNCWS,35,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0390009
51-55 WATER ASSOCIATION,MS0490001,MS,Montgomery,,04,CWS,486,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0490001
53 QUICK STOP,MS0240280,MS,Harrison,,04,TNCWS,65,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0240280
A & B STORE,MS0470108,MS,Marshall,,04,TNCWS,30,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0470108
A B E TULA WATER SYSTEM,MS0360033,MS,Lafayette,,04,CWS,180,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0360033
A MCLEMORE,MS0440048,MS,Lowndes,,04,TNCWS,100,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0440048
A PLACE TO GROW,MS0240226,MS,Harrison,,04,NTNCWS,45,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0240226
A TO Z TRADING POST,MS0380109,MS,Lauderdale,,04,TNCWS,100,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0380109
A W JONES JR,MS0030011,MS,Amite,,04,TNCWS,30,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0030011
A Z CLEVELAND,MS0030016,MS,Amite,,04,TNCWS,300,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0030016
ABF FRT. SYSTEM INC.,MS0250064,MS,Hinds,,04,NTNCWS,30,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0250064
ABLE STORE,MS0050013,MS,Amite,,04,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0050013
ACL WATER ASSOCIATION #1,MS0610001,MS,Rankin,,04,CWS,1584,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0610001
ACL WATER ASSOCIATION #2,MS0610041,MS,Rankin,,04,CWS,1420,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0610041
ACONA WATER ASSOCIATION #1,MS0260001,MS,Holmes,,04,CWS,1560,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0260001
ACONA WATER ASSOCIATION #2,MS0260002,MS,Holmes,,04,CWS,1128,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0260002
ADAMS CO W/A #2-SOUTH,MS0010009,MS,Adams,,04,CWS,8532,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0010009
ADAMS CO W/A #3-PROVIDENCE,MS0010013,MS,Adams,,04,CWS,84,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0010013
ADAMS CO W/A #4-KAISER LAKE,MS0010015,MS,Adams,,04,CWS,8598,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0010015
ADAMS CO WTR ASSN NO 1 NORTH,MS0010008,MS,Adams,,04,CWS,2193,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0010008
ADAMS CO WTR ASSN- FORESITE SY,MS0010004,MS,Adams,,04,CWS,441,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0010004
ADAMS HOG FARM,MS0250085,MS,Hinds,,04,TNCWS,20,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0250085
ADATON W/A #1-JOSEY CREEK,MS0530001,MS,Oktibbeha,,04,CWS,2064,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0530001
ADATON W/A #3-SELF CREEK,MS0530028,MS,Oktibbeha,,04,CWS,285,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0530028
ADTON W/A #2-HIGHWAY 82,MS0530027,MS,Oktibbeha,,04,CWS,1060,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0530027
"AFFILIATED INVESTMENTS, INC.",MS0250036,MS,Harrison,,04,CWS,177,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0250036
AGRICOLA ELEMENTARY SCHOOL,MS0200008,MS,George,,04,NTNCWS,225,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0200008
AIMCOR-APPLIED IND. MAT. CORP.,MS0700018,MS,Tippah,,04,NTNCWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0700018
AIRBASE TRAILER PARK,MS0440013,MS,Lowndes,,04,CWS,105,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0440013
AIRBASE VILLAGE,MS0440014,MS,Lowndes,,04,CWS,52,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0440014
AIRPORT WATER DISTRICT,MS0220010,MS,Grenada,,04,CWS,975,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0220010
"AJINOMOTO FOODS NORTH AMERICA, INC",MS0810036,MS,Yalobusha,,04,NTNCWS,300,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0810036
"AL RUSHING, EXECUTIVE DIRECTOR",MS0240087,MS,Harrison,,04,CWS,680,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0240087
ALAMO PLAZA HOTEL COURT,MS0240153,MS,Harrison,,04,TNCWS,92,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0240153
ALCORN COUNTY BOARD OF EDUCAT,MS0020016,MS,Alcorn,,04,TNCWS,215,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0020016
ALCORN STATE UNIVERSITY,MS0110013,MS,Claiborne,,04,CWS,3824,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0110013
ALCORN W/A #1-INDIAN SPRINGS,MS0020006,MS,Alcorn,,04,CWS,6989,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0020006
ALCORN W/A #2-BIGGERSVILLE,MS0020001,MS,Alcorn,,04,CWS,1725,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0020001
ALEX MEMORIAL CHURCH,MS0760060,MS,Washington,,04,TNCWS,100,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0760060
ALGOMA WATER ASSOCIATION,MS0580001,MS,Pontotoc,,04,CWS,6000,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0580001
ALGOMA WATER ASSOCIATION #2,MS0580011,MS,Pontotoc,,04,CWS,2001,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0580011
ALL AMERICAN DINER,MS0740093,MS,Walthall,,04,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0740093
ALLEN CANNING PLANT,MS0670039,MS,Sunflower,,04,NTNCWS,125,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0670039
ALLEN HURST,MS0340012,MS,Jones,,04,CWS,960,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0340012
ALPINE TRAILER PARK,MS0610088,MS,Rankin,,04,CWS,90,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0610088
ALPINE TRAILER PARK-FLOWOOD,MS0610098,MS,,,04,CWS,63,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0610098
ALPINE WATER ASSOCIATION,MS0730001,MS,Union,,04,CWS,845,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0730001
AMANDA ELZY SCHOOL,MS0420034,MS,Leflore,,04,TNCWS,900,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0420034
AMERADA HESS CORP,MS0370013,MS,Lamar,,04,NTNCWS,175,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0370013
AMERICA'S CATCH CATFISH PLANT,MS0420043,MS,Leflore,,04,NTNCWS,300,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0420043
AMERICAN BOX CO,MS0570028,MS,Perry,,04,NTNCWS,195,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0570028
AMERICAS CATCH THE FARM,MS0420045,MS,Leflore,,04,CWS,185,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0420045
AMPCO WATER SYSTEM,MS0060033,MS,Bolivar,,04,NTNCWS,95,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0060033
ANCHOR GLASS CONTAINER,MS0240199,MS,Harrison,,04,NTNCWS,75,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0240199
ANCHOR WATER ASSOCIATION,MS0360002,MS,Lafayette,,04,CWS,2000,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0360002
ANDREWS & BROWNE FORD,MS0740011,MS,Walthall,,04,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0740011
ANGEL PLAYGROUND,MS0380053,MS,Lauderdale,,04,TNCWS,34,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0380053
ANGOLA BAPTIST CHURCH,MS0790027,MS,Wilkinson,,04,TNCWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0790027
ANNUNCIATION SCHOOL,MS0230023,MS,Hancock,,04,TNCWS,116,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0230023
ANTIOCH CHURCH OF CHRIST,MS0690046,MS,Tate,,04,TNCWS,75,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0690046
ANTIOCH W/A,MS0700020,MS,Tippah,,04,CWS,480,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0700020
APPLE VALLEY TRAILER PARK,MS0240203,MS,Harrison,,04,CWS,60,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0240203
ARIZONA CHEMICAL,MS0240228,MS,Harrison,,04,NTNCWS,71,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0240228
ARIZONA CHEMICAL,MS0550056,MS,Pearl River,,04,NTNCWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0550056
ARKABUTLA LAKE,MS0690040,MS,Tate,,04,TNCWS,220,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0690040
ARKABUTLA LAKE #733,MS0690039,MS,Tate,,04,TNCWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0690039
ARKABUTLA LAKE #737,MS0690038,MS,Tate,,04,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0690038
ARKABUTLA LAKE #747,MS0690037,MS,Tate,,04,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0690037
ARKABUTLA LAKE SOUTH ABUNDMENT,MS0690043,MS,Tate,,04,TNCWS,30000,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0690043
ARKABUTLA NORTH CAMPGROUND,MS0170036,MS,DeSoto,,04,TNCWS,200,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0170036
ARKABUTLA SPILLWAY,MS0170038,MS,DeSoto,,04,TNCWS,200,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0170038
ARKABUTLA WATER ASSOCIATION,MS0690001,MS,Tate,,04,CWS,445,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0690001
ARLINGTON W/A,MS0560006,MS,Perry,,04,CWS,500,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0560006
ARLINGTON W/A-HINTONVILLE,MS0560014,MS,Perry,,04,CWS,500,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0560014
ARMY RESERVE TRAINING CENTER,MS0140040,MS,Coahoma,,04,TNCWS,180,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0140040
ARNOLD ACRES MOBILE HOME PARK,MS0110007,MS,Claiborne,,04,CWS,226,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0110007
ARNOLD LINE WATER ASSOCIATION,MS0370001,MS,Lamar,,04,CWS,6447,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0370001
ARTESIAN SPRINGS CAMP GROUND,MS0240200,MS,Harrison,,04,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0240200
ARTHUR CARPENTER,MS0050014,MS,Benton,,04,TNCWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0050014
ARTHUR TATE,MS0450031,MS,Madison,,04,CWS,634,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0450031
ASHLEY MANOR MOTEL AND RV PK,MS0230062,MS,Hancock,,04,TNCWS,10,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0230062
ASKEW LANDING CAMPGROUND,MS0250102,MS,Hinds,,04,TNCWS,100,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0250102
ASL WATER ASSOCIATION,MS0540001,MS,Panola,,04,CWS,819,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0540001
"ATLANTA WATER SYSTEM, INC.",MS0090001,MS,Chickasaw,,04,CWS,1195,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0090001
ATWOOD WATER PARK,MS0390014,MS,Lawrence,,04,TNCWS,100,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0390014
AVENT MILK PLANT,MS0360041,MS,Lafayette,,04,NTNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0360041
AYCOCK FARMS,MS0270016,MS,Humphreys,,04,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0270016
AZALEA TRAILER LODGE,MS0240015,MS,Harrison,,04,CWS,399,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0240015
B & B WATER SUPPLY,MS0250037,MS,Hinds,,04,CWS,51,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0250037
B C ROGERS AND SONS INC,MS0570046,MS,Itawamba,,04,NTNCWS,600,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0570046
B C ROGERS NO 1,MS0620020,MS,Scott,,04,NTNCWS,700,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0620020
B F KELLEY,MS0570037,MS,Pike,,04,TNCWS,100,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0570037
B J STEPHEN,MS0240083,MS,Harrison,,04,CWS,52,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0240083
B R GORDON,MS0240050,MS,Harrison,,04,CWS,140,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0240050
BACK ACRES,MS0690009,MS,Tate,,04,CWS,443,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0690009
BACK ACRES COUNTRY CLUB,MS0690027,MS,Tate,,04,TNCWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0690027
BACONIA PLANTATION,MS0630021,MS,Sharkey,,04,TNCWS,60,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0630021
BANK OF MERIDIAN-MONTE CARLO,MS0380046,MS,Lauderdale,,04,CWS,85,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0380046
BANK OF WIGGINS-SOUTH,MS0660015,MS,Stone,,04,TNCWS,100,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0660015
BAPTIST WOMENS MISSION UNION,MS0250057,MS,Hinds,,04,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0250057
BAR B-Q HOUSE,MS0230025,MS,Hancock,,04,TNCWS,30,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0230025
BARBARA DUFRENE,MS0740080,MS,Walthall,,04,TNCWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0740080
BARGE FOREST PRODUCTS,MS0520026,MS,Noxubee,,04,NTNCWS,92,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0520026
BARKLEY'S EAST SIDE GROCERY,MS0470102,MS,Marshall,,04,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0470102
BARNETT WATER ASSN.,MS0120001,MS,Clarke,,04,CWS,80,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0120001
BARRONTOWN W/A,MS0180001,MS,Forrest,,04,CWS,7115,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0180001
BARTS RESTAURANT,MS0740066,MS,Walthall,,04,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0740066
BASE CAMP I U S FOREST SERVICE,MS0620021,MS,Scott,,04,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0620021
BASF,MS0760058,MS,Washington,,04,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0760058
BATES GROCERY,MS0720015,MS,Tunica,,04,TNCWS,40,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0720015
BAXTER HEALTHCARE CORP,MS0060035,MS,Bolivar,,04,NTNCWS,637,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0060035
BAY SPRINGS CHURCH,MS0350017,MS,Kemper,,04,TNCWS,30,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0350017
BAY SPRINGS IND PARK,MS0310006,MS,Jasper,,04,CWS,650,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0310006
BAY SPRINGS LOCK & DAM,MS0710023,MS,Tishomingo,,04,TNCWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0710023
