10 A TRAILER COURT,MT0000665,MT,Deer Lodge,,08,TNCWS,8,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MT0000665
19TH HOLE AT VALLEY VIEW,MT0001261,MT,Gallatin,,08,TNCWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MT0001261
2 BAR LAZY H CAMPGROUND,MT0004255,MT,Silver Bow,,08,TNCWS,37,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MT0004255
2 BEES CAFE,MT0001433,MT,Lewis and Clark,,08,TNCWS,100,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MT0001433
20 GRAND CLUB,MT0002088,MT,Powder River,,08,TNCWS,37,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MT0002088
20 TAI LANE,MT0000469,MT,Gallatin,,08,CWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MT0000469
20 TAI LANE APARTMENTS,MT0002560,MT,Gallatin,,08,CWS,40,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MT0002560
22 TAI LANE,MT0000470,MT,Gallatin,,08,CWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MT0000470
22 TAI LANE APARTMENTS,MT0002561,MT,Gallatin,,08,CWS,40,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MT0002561
241 GRILL & TAVERN,MT0000720,MT,Blaine,,08,TNCWS,52,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MT0000720
2727 WEST CENTRAL DUPLEXES,MT0000829,MT,Missoula,,08,CWS,35,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MT0000829
27TH STREET DUPLEXES,MT0001863,MT,Missoula,,08,CWS,30,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MT0001863
3 - CHEERS MOTEL,MT0002061,MT,Gallatin,,08,TNCWS,15,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MT0002061
3 LAKES COMMUNITY BIBLE CHURCH,MT0002987,MT,Lincoln,,08,TNCWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MT0002987
3 NORTH BAR AND GRILL,MT0001711,MT,Yellowstone,,08,TNCWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MT0001711
320 RANCH,MT0001291,MT,Gallatin,,08,TNCWS,215,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MT0001291
350 TRUCK PARK,MT0004776,MT,Richland,,08,TNCWS,40,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MT0004776
4 J'S TRAILER COURT,MT0001875,MT,Cascade,,08,TNCWS,12,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MT0001875
44 BAR,MT0003752,MT,Lake,,08,TNCWS,77,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MT0003752
4B'S RESTAURANT DEER LODGE,MT0000696,MT,Powell,,08,TNCWS,900,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MT0000696
57 PONY ESPRESSO,MT0004413,MT,Cascade,,08,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MT0004413
7 POINT RANCH - UNAPPROVED,MT0003988,MT,Park,,08,TNCWS,210,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MT0003988
7 R GUEST RANCH,MT0004383,MT,Lewis and Clark,,08,TNCWS,108,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MT0004383
779 RADAR SQUADRON,MT0000500,MT,Valley,,08,CWS,350,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MT0000500
7TH DAY ADVENTIST/CHRISTIAN SCHOOL,MT0004650,MT,Ravalli,,08,TNCWS,88,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MT0004650
7TH RANCH RV CAMP,MT0003832,MT,Big Horn,,08,TNCWS,102,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MT0003832
7TH STREET DUPLEXES,MT0001862,MT,Missoula,,08,CWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MT0001862
87 CASINO BAR AND GRILL  THE,MT0001419,MT,Judith Basin,,08,TNCWS,27,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MT0001419
A & W DRIVE INN,MT0001081,MT,Ravalli,,08,TNCWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MT0001081
A & W INC (RANCHER REST),MT0002097,MT,Custer,,08,TNCWS,175,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MT0002097
A AND W RESTAURANT AND HELDSTAB,MT0000907,MT,Flathead,,08,TNCWS,419,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MT0000907
A BAR,MT0000993,MT,Lake,,08,TNCWS,77,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MT0000993
A&W ROOTBEER STAND,MT0001626,MT,Richland,,08,TNCWS,400,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MT0001626
ABBCO INC.,MT0000793,MT,Cascade,,08,TNCWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MT0000793
ABC DAYCARE CENTER,MT0002867,MT,Gallatin,,08,NTNCWS,100,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MT0002867
ABSALOKA MINE,MT0000417,MT,Big Horn,,08,NTNCWS,80,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MT0000417
ABSAROKEE WATER AND SEWER DIST,MT0000003,MT,Stillwater,,08,CWS,1100,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MT0000003
ABUNDANT LIFE CHURCH,MT0004488,MT,Gallatin,,08,TNCWS,125,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MT0004488
"AC, LLC",MT0000902,MT,Flathead,,08,TNCWS,106,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MT0000902
ACADEMY OF NATL NATIVE LEADERSHIP,MT0002995,MT,Sanders,,08,CWS,2,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MT0002995
ACES AND EIGHTS CASINO,MT0003321,MT,Valley,,08,TNCWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MT0003321
ACKLEY LAKE SRA,MT0003177,MT,Judith Basin,,08,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MT0003177
ACKLEY LAKE SRA  WESTSIDE NO 2,MT0043177,MT,Judith Basin,,08,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MT0043177
