" 2MAC, LLC BUILDING ",NC0150419,NC,Jackson,,04,TNCWS,75,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NC0150419
109 CURB MARKET,NC0362427,NC,Montgomery,,04,TNCWS,100,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NC0362427
109 GROCERY,NC0362443,NC,Montgomery,,04,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NC0362443
115 GAS AND GRILL,NC0197555,NC,Wilkes,,04,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NC0197555
130 GARAGE,NC0424652,NC,Columbus,,04,TNCWS,26,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NC0424652
17 TRUCK STOP,NC0425469,NC,Craven,,04,TNCWS,55,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NC0425469
18 WHEELER MOTEL,NC0229402,NC,Davidson,,04,TNCWS,150,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NC0229402
19 TRUCK STOP,NC0279525,NC,Rockingham,,04,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NC0279525
1ST ASSEMBLY OF GOD,NC0123499,NC,Cleveland,,04,TNCWS,80,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NC0123499
1ST ST PAUL`S BAPT CHURCH,NC0424697,NC,Columbus,,04,TNCWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NC0424697
21 GROCERIES,NC0103419,NC,Alleghany,,04,TNCWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NC0103419
210 GROCERY,NC0351742,NC,Johnston,,04,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NC0351742
210 MINI MART,NC0326955,NC,Cumberland,,04,TNCWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NC0326955
220 EXXON,NC0362479,NC,Montgomery,,04,TNCWS,100,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NC0362479
220 GIFT SHOP,NC0362472,NC,Montgomery,,04,TNCWS,40,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NC0362472
220 SEAFOOD,NC0498474,NC,Wilson,,04,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NC0498474
220 SEAFOOD,NC0241575,NC,Guilford,,04,TNCWS,500,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NC0241575
220 SHELL STATION,NC0362470,NC,Montgomery,,04,TNCWS,75,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NC0362470
220 SOUTH AMERICAN SER STAT,NC0241589,NC,Guilford,,04,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NC0241589
220 SPORTS BAR,NC0241566,NC,Guilford,,04,TNCWS,75,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NC0241566
220 SWEEPSTAKES,NC0279759,NC,Rockingham,,04,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NC0279759
221 GROCERY,NC0105471,NC,Ashe,,04,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NC0105471
24 FIT,NC7065068,NC,New Hanover,,04,TNCWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NC7065068
246 SPORTS,NC0407436,NC,Beaufort,,04,CWS,30,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NC0407436
264 QWIK STOP,NC0474441,NC,Pitt,,04,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NC0474441
268 FOOD MART INC,NC3086028,NC,Surry,,04,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NC3086028
286 GRILL,NC0286586,NC,Surry,,04,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NC0286586
3 POINTS GROCERY & GRILL,NC3017002,NC,Caswell,,04,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NC3017002
3 POINTS GROCERY & GRILL  NO 2,NC0217420,NC,Caswell,,04,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NC0217420
3 SISTERS CAFE,NC0279766,NC,Rockingham,,04,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NC0279766
3 TABERNACLE CHAPEL,NC0498539,NC,Wilson,,04,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NC0498539
3 TREES INC,NC0156466,NC,McDowell,,04,NTNCWS,150,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NC0156466
3 WAY GROCERY,NC0195549,NC,Watauga,,04,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NC0195549
3 WAY GROCERY,NC0195548,NC,Watauga,,04,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NC0195548
311 LANDS END RESTAURANT,NC0234446,NC,Forsyth,,04,TNCWS,100,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NC0234446
311 RADIATOR AND WRECKER SER.,NC0279439,NC,Rockingham,,04,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NC0279439
311 TAVERN,NC0279441,NC,Rockingham,,04,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NC0279441
