12 MILE LODGE,ND5311669,ND,Williams,,08,TNCWS,80,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ND5311669
13 MILE CENTER,ND5311738,ND,Williams,,08,NTNCWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ND5311738
313 CLUB,ND3610209,ND,Ramsey,,08,TNCWS,40,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ND3610209
4 BEARS BAR,ND3110862,ND,Mountrail,,08,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ND3110862
4T EMPLOYEE & SHOP,ND2711746,ND,McKenzie,,08,TNCWS,21,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ND2711746
52 HIGHWAY DRIVE-IN THEATRE,ND5210453,ND,Wells,,08,TNCWS,125,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ND5210453
76 LOUNGE,ND5110157,ND,Ward,,08,TNCWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ND5110157
785TH RADAR SQUADRON,ND4600349,ND,Steele,,08,CWS,52,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ND4600349
786 RADAR SQUADRON (ADC),ND5100624,ND,Ward,,08,CWS,120,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ND5100624
A & D BAR,ND2010925,ND,Griggs,,08,TNCWS,40,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ND2010925
A-FRAME BAR & GRILL,ND0511551,ND,Bottineau,,08,TNCWS,150,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ND0511551
ABERCROMBIE CITY OF,ND3900001,ND,Richland,,08,CWS,263,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ND3900001
ADAMS CITY OF,ND5000002,ND,Walsh,,08,CWS,248,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ND5000002
ADELE'S OASIS,ND2711722,ND,McKenzie,,08,TNCWS,3,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ND2711722
ADM CORN PROCESSING,ND3411308,ND,Pembina,,08,NTNCWS,81,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ND3411308
AGASSIZ WATER USERS DISTRICT,ND1801056,ND,Grand Forks,,08,CWS,3438,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ND1801056
ALAMO HIGH SCHOOL,ND5310005,ND,Williams,,08,TNCWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ND5310005
ALEXANDER CITY OF,ND2700006,ND,McKenzie,,08,CWS,1335,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ND2700006
ALEXANDER HILLVIEW ESTATES,ND2701733,ND,McKenzie,,08,CWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ND2701733
ALEXANDER LODGE,ND2711759,ND,McKenzie,,08,TNCWS,100,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ND2711759
ALEXANDER MOBILE HOME PARK,ND2711572,ND,McKenzie,,08,TNCWS,48,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ND2711572
ALEXANDER RV PARK,ND2711671,ND,McKenzie,,08,TNCWS,20,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ND2711671
ALEXANDER WATER SPRING,ND2711221,ND,McKenzie,,08,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ND2711221
ALICE CITY OF,ND0900008,ND,Cass,,08,CWS,83,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ND0900008
