101 BAR AND GRILL,NE3150522,NE,Pierce,,07,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NE3150522
133 ESTATES,NE3120574,NE,Washington,,07,CWS,60,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NE3120574
1733 ESTATES ASSOCIATES,NE3120018,NE,Buffalo,,07,CWS,90,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NE3120018
1ST INN GOLD,NE3150054,NE,Buffalo,,07,TNCWS,80,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NE3150054
1ST INTERSTATE INN (NORTH PLATTE),NE3150438,NE,Lincoln,,07,TNCWS,30,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NE3150438
21ST CENTURY EQUIPMENT - BRIDGEPORT,NE3121221,NE,Morrill,,07,TNCWS,47,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NE3121221
21ST CENTURY EQUIPMENT - OGALLALA,NE3121300,NE,Keith,,07,NTNCWS,40,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NE3121300
3RD BASE BAR AND GRILL,NE3120324,NE,Howard,,07,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NE3120324
7 MILE MINI MART,NE3150075,NE,Butler,,07,TNCWS,300,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NE3150075
7503 ESTABLISHMENT,NE3150420,NE,Lancaster,,07,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NE3150420
9 MILE CREEK WILDLIFE AREA,NE3150595,NE,Scotts Bluff,,07,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NE3150595
91 PINES,NE3121378,NE,Loup,,07,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NE3121378
A AND J COUNTRYSIDE CAFE,NE3120400,NE,Seward,,07,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NE3120400
A S C BUILDING,NE3150252,NE,Madison,,07,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NE3150252
"ABIE, VILLAGE OF",NE3102305,NE,Butler,,07,CWS,70,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NE3102305
ACCENT MOBILE HOME PARK,NE3102504,NE,Cass,,07,CWS,60,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NE3102504
ACKLEY VALLEY WATER SYSTEM,NE3120859,NE,Keith,,07,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NE3120859
ADAMS CO DIST 33 TRI-VIEW,NE3150012,NE,Adams,,07,NTNCWS,27,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NE3150012
ADAMS CO DIST 60 - WALLACE,NE3150007,NE,Adams,,07,NTNCWS,156,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NE3150007
ADAMS CO DIST 90,NE3150004,NE,Adams,,07,NTNCWS,588,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NE3150004
ADAMS CO DISTRICT 15,NE3150009,NE,Adams,,07,NTNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NE3150009
ADAMS CO DISTRICT 53 - AYR SCHOOL,NE3120379,NE,Adams,,07,NTNCWS,38,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NE3120379
ADAMS CO DISTRICT 75,NE3150005,NE,Adams,,07,NTNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NE3150005
ADAMS CO SID 1,NE3120345,NE,Adams,,07,CWS,326,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NE3120345
ADAMS LAND & CATTLE EAST LOT,NE3121369,NE,Custer,,07,NTNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NE3121369
