101 PLAZA,NH0196020,NH,Hillsborough,,01,NTNCWS,75,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH0196020
104 DINER,NH1698080,NH,Belknap,,01,TNCWS,350,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH1698080
106 MOTEL AND APARTMENTS,NH1408010,NH,Merrimack,,01,TNCWS,42,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH1408010
108 EXPRESS MINI MART,NH1758050,NH,Rockingham,,01,TNCWS,48,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH1758050
108 RESTAURANT,NH1758010,NH,Rockingham,,01,TNCWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH1758010
111 VILLAGE SQUARE RESTAURANT,NH1038030,NH,Rockingham,,01,TNCWS,150,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH1038030
115/119 EMERSON RD,NH1566040,NH,Hillsborough,,01,NTNCWS,32,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH1566040
124 BEDFORD CENTER RD,NH0196330,NH,Hillsborough,,01,NTNCWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH0196330
144 MAIN STREET,NH1936070,NH,Rockingham,,01,NTNCWS,135,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH1936070
149/151 PORTSMOUTH AVE,NH2236190,NH,Rockingham,,01,NTNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH2236190
15 RAILROAD AVENUE LLC,NH1936080,NH,Rockingham,,01,NTNCWS,35,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH1936080
153 LAFAYETTE RD WATER SYSTEM,NH1048120,NH,Rockingham,,01,TNCWS,30,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH1048120
175 ESTATES,NH2342010,NH,Grafton,,01,CWS,110,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH2342010
18 CLINTON DR BLDG,NH1176100,NH,Hillsborough,,01,NTNCWS,75,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH1176100
18 HUGHES LN/EFFINGHAM,NH0732040,NH,Carroll,,01,CWS,60,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH0732040
1808 RESTAURANT,NH1718070,NH,,,01,TNCWS,55,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH1718070
183 ROCKINGHAM ROAD,NH2546240,NH,Rockingham,,01,NTNCWS,40,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH2546240
183 SOLRAC 5,NH2052040,NH,Rockingham,,01,CWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH2052040
1830 HOUSE MOTEL,NH1148010,NH,Hillsborough,,01,TNCWS,35,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH1148010
198 LONDONDERRY TURNPIKE,NH1186010,NH,Merrimack,,01,NTNCWS,98,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH1186010
1ST CONGREGTNL CHR OF KINGSTON,NH1759010,NH,Rockingham,,01,TNCWS,150,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH1759010
20 JAFFREY RD,NH0823010,NH,Cheshire,,01,CWS,32,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH0823010
2211 REALTY,NH0766060,NH,Rockingham,,01,NTNCWS,48,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH0766060
26 CHANDLER AVE CONDOS,NH1932130,NH,Rockingham,,01,CWS,33,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH1932130
26 CLINTON DRIVE BLDG,NH1176020,NH,Hillsborough,,01,NTNCWS,150,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH1176020
266 ROUTE 125,NH1276020,NH,Rockingham,,01,NTNCWS,80,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH1276020
28 BUTTRICK RD PROPERTY,NH1395110,NH,Rockingham,,01,NTNCWS,83,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH1395110
288 ROUTE 101,NH0196210,NH,Hillsborough,,01,NTNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH0196210
292 ROUTE 101,NH0196280,NH,Hillsborough,,01,NTNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH0196280
3 / 11 PLAISTOW RD PLAZA,NH1936230,NH,Rockingham,,01,NTNCWS,500,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH1936230
32 CONSTITUTION DR,NH0196100,NH,Hillsborough,,01,NTNCWS,100,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH0196100
323 DERRY RD,NH1205080,NH,Hillsborough,,01,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH1205080
337 CALEF HIGHWAY,NH0768160,NH,Rockingham,,01,TNCWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH0768160
35 CONSTITUTION,NH0196090,NH,Hillsborough,,01,NTNCWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH0196090
3M TILTON,NH2356010,NH,Belknap,,01,NTNCWS,30,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH2356010
4 H YOUTH CENTER,NH1647040,NH,Hillsborough,,01,TNCWS,1150,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH1647040
470 MOBIL,NH0198120,NH,Hillsborough,,01,TNCWS,950,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH0198120
48 CONSTITUTION DRIVE,NH0196120,NH,Hillsborough,,01,NTNCWS,43,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH0196120
501 SOUTH STREET,NH0266220,NH,Merrimack,,01,NTNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH0266220
514 SOUTH ST,NH0269090,NH,Merrimack,,01,TNCWS,30,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH0269090
55 CONSTITUTION DRIVE,NH0196130,NH,Hillsborough,,01,NTNCWS,12,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH0196130
7 ELEVEN,NH1378040,NH,Hillsborough,,01,TNCWS,925,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH1378040
9 CONSTITUTION DRIVE BUILDING,NH0196200,NH,Hillsborough,,01,NTNCWS,15,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH0196200
98 AMESBURY RD,NH1258040,NH,Rockingham,,01,TNCWS,100,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH1258040
A AND M JUNCTION VARIETY,NH1758020,NH,Rockingham,,01,TNCWS,32,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH1758020
A AND M SANDOWN MARKET,NH2088020,NH,Rockingham,,01,TNCWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH2088020
A CHILDS PLACE,NH1615030,NH,Carroll,,01,NTNCWS,59,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH1615030
A FRESH START,NH0168410,NH,Carroll,,01,TNCWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH0168410
A FRESH START /MADISON,NH1468030,NH,Carroll,,01,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH1468030
A PLACE TO GROW,NH0285030,NH,Rockingham,,01,NTNCWS,35,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH0285030
A PLACE TO GROW,NH0285040,NH,Rockingham,,01,NTNCWS,45,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH0285040
ABBOTT/STAPLES GENERAL STORE,NH1848290,NH,Carroll,,01,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH1848290
ABENAKI WATER /LAKELAND,NH0202010,NH,Belknap,,01,CWS,395,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH0202010
ABENAKI WATER/WHITE ROCK WATER,NH0262020,NH,Merrimack,,01,CWS,238,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH0262020
ABERDEEN/WEST,NH2232150,NH,Rockingham,,01,CWS,46,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH2232150
ABIGAILS BAKERY,NH1648030,NH,,,01,TNCWS,1,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH1648030
ACCORDION CONNECTION,NH0895060,NH,Belknap,,01,NTNCWS,40,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH0895060
ACKERMAN RETIREMENT PARK,NH2053020,NH,Rockingham,,01,CWS,350,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH2053020
ACORN SCH,NH2235010,NH,Rockingham,,01,NTNCWS,54,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH2235010
ACORN TERRACE,NH2003020,NH,Strafford,,01,CWS,205,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH2003020
ACTION KIDS AT BRENTWOOD CMNS,NH0287030,NH,Rockingham,,01,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH0287030
ACWORTH PRIMARY SCH,NH0015010,NH,Sullivan,,01,NTNCWS,32,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH0015010
ADAIRS MOTOR INN,NH0578020,NH,Merrimack,,01,TNCWS,14,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH0578020
ADAMS MOBILE HOME PARK,NH2043010,NH,Rockingham,,01,CWS,158,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH2043010
ADVENTURER CAMPGROUND,NH1847010,NH,Carroll,,01,TNCWS,100,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH1847010
ADVENTURES IN LEARNING DAYCARE,NH1395130,NH,Rockingham,,01,NTNCWS,24,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH1395130
AFL TELECOMMUNICATIONS LLC,NH0206040,NH,Belknap,,01,NTNCWS,35,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH0206040
AGES AND STAGES HAMPSTEAD,NH1035020,NH,Rockingham,,01,NTNCWS,99,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH1035020
AIRPORT COUNTRY STORE,NH0888390,NH,Belknap,,01,TNCWS,400,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH0888390
ALAMO TEXAS BAR-B-CUE,NH0328030,NH,Hillsborough,,01,TNCWS,80,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH0328030
ALDWORTH MANOR,NH1084010,NH,Cheshire,,01,TNCWS,212,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH1084010
ALEXANDERS ITALIAN RESTAURANT,NH2018010,NH,Strafford,,01,TNCWS,100,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH2018010
ALEXANDRIA VILLAGE SCHOOL,NH0035010,NH,Grafton,,01,NTNCWS,16,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH0035010
ALL ABOARD PRESCH AND CHLDCARE,NH1805060,NH,Rockingham,,01,NTNCWS,86,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH1805060
ALL DAY CONVENIENCE,NH1618370,NH,Carroll,,01,TNCWS,70,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH1618370
ALL OUR CHILDRENS HOUSE,NH1035090,NH,Rockingham,,01,NTNCWS,24,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH1035090
ALL SEASONS CONDOS,NH2457030,NH,Hillsborough,,01,TNCWS,325,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH2457030
ALLEN A RESORT,NH2568030,NH,Carroll,,01,TNCWS,105,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH2568030
ALLSTATE INSURANCE CO,NH0196150,NH,Hillsborough,,01,NTNCWS,55,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH0196150
ALLTOWN,NH0268020,NH,Merrimack,,01,TNCWS,150,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH0268020
ALMOST THERE RESTAURANT,NH0028070,NH,Carroll,,01,TNCWS,65,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH0028070
ALPINE FOREST MOTEL/RESTAURANT,NH1238080,NH,Coos,,01,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH1238080
ALPINE GROVE BANQUET FACILITY,NH1177020,NH,Hillsborough,,01,TNCWS,300,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH1177020
ALPINE RIDGE,NH0887040,NH,,,01,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH0887040
ALPINE RIDGE GOLF CLUB,NH1177070,NH,Hillsborough,,01,TNCWS,80,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH1177070
ALSTEAD GENERAL STORE,NH0058030,NH,Cheshire,,01,TNCWS,40,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH0058030
ALSTEAD PRIMARY SCH,NH0055020,NH,Cheshire,,01,NTNCWS,177,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH0055020
ALSTEAD VILAS SCH,NH0055010,NH,Cheshire,,01,NTNCWS,190,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH0055010
ALTON SHORES DEVELOPMENT/NORTH,NH0067070,NH,Belknap,,01,TNCWS,83,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH0067070
ALTON SHORES DEVELOPMENT/SOUTH,NH0062020,NH,Belknap,,01,TNCWS,38,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH0062020
ALTON SHORES/NUTTER DR PH3,NH0067160,NH,Belknap,,01,TNCWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH0067160
ALTON WATER WORKS,NH0061010,NH,Belknap,,01,CWS,1750,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH0061010
ALVIRNE HIGH SCHOOL,NH1205010,NH,Hillsborough,,01,NTNCWS,1550,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH1205010
AMAZON PARK,NH2003070,NH,Strafford,,01,CWS,120,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH2003070
AMC CARDIGAN LODGE,NH0037040,NH,Grafton,,01,TNCWS,90,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH0037040
AMC CARTER NOTCH,NH0187020,NH,Coos,,01,TNCWS,42,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH0187020
AMC COLD RIVER CAMP,NH0427010,NH,Carroll,,01,TNCWS,75,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH0427010
AMC GALEHEAD HUT,NH0847060,NH,Grafton,,01,TNCWS,40,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH0847060
AMC GARFIELD,NH0847020,NH,Grafton,,01,TNCWS,1,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH0847020
AMC GREENLEAF HUT,NH0847010,NH,Grafton,,01,TNCWS,53,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH0847010
AMC HIGHLAND CENTER,NH0387090,NH,Coos,,01,TNCWS,138,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH0387090
AMC KINSMAN HUT,NH1357030,NH,Grafton,,01,TNCWS,1,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH1357030
AMC LAKES OF THE CLOUDS HUT,NH2107010,NH,Coos,,01,TNCWS,112,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH2107010
AMC LONESOME LAKE,NH1357020,NH,Grafton,,01,TNCWS,52,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH1357020
AMC MADISON SPRING HUT,NH2337010,NH,Coos,,01,TNCWS,55,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH2337010
AMC PINKHAM NOTCH CAMP,NH1897020,NH,Coos,,01,NTNCWS,78,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH1897020
AMC THREE MILE ISLAND,NH1527110,NH,Belknap,,01,TNCWS,120,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH1527110
AMC ZEALAND FALLS HUT,NH0247040,NH,Grafton,,01,TNCWS,41,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH0247040
