#45 SOUTH PLAZA PHASE #1,NJ1414409,NJ,Morris,,02,NTNCWS,199,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NJ1414409
0CH1A1 FUSAO/KOTO RESTRT,NJ0811330,NJ,,,02,TNCWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NJ0811330
1 MILL RIDGE LANE,NJ1406326,NJ,Morris,,02,NTNCWS,65,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NJ1406326
10 MILL POND DRIVE LLC,NJ1913324,NJ,Sussex,,02,TNCWS,174,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NJ1913324
10 WEST BAR & GRILL,NJ0111311,NJ,Atlantic,,02,TNCWS,54,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NJ0111311
10-31 INC,NJ2104342,NJ,Warren,,02,TNCWS,29,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NJ2104342
"100 JEFFERSON PROPERTIES, LLC",NJ1429302,NJ,Morris,,02,NTNCWS,470,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NJ1429302
100 ROUTE 70 ASSOCIATES,NJ1514308,NJ,Gloucester,,02,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NJ1514308
1152 ROUTE 10,NJ1432341,NJ,,,02,NTNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NJ1432341
1165 LAKEWOOD LLC,NJ1611310,NJ,Passaic,,02,TNCWS,143,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NJ1611310
1700 BLACK HORSE PIKE,NJ0811417,NJ,Gloucester,,02,TNCWS,45,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NJ0811417
1716 RT 206 SOUTH LLC/CO,NJ0333317,NJ,Burlington,,02,TNCWS,83,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NJ0333317
174 CORP,NJ2112202,NJ,Mercer,,02,TNCWS,725,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NJ2112202
177TH US AIR FORCE,NJ0108355,NJ,Atlantic,,02,TNCWS,30,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NJ0108355
180 GOLDMINE RD COMPLEX,NJ1427408,NJ,Morris,,02,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NJ1427408
180 GOLDMINE ROAD COMPLEX,NJ1427404,NJ,Morris,,02,TNCWS,80,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NJ1427404
186 GOLDMINE RD COMPLEX,NJ1427409,NJ,Morris,,02,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NJ1427409
186 GOLDMINE ROAD COMPLEX,NJ1427405,NJ,Morris,,02,TNCWS,89,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NJ1427405
19TH GREEN,NJ1605213,NJ,,,02,TNCWS,150,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NJ1605213
