410 COPE PLACE TRAILER PARK,NM3510213,NM,Lea,,06,CWS,31,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3510213
A A MICHAEL STORE & TRAILER PK,NM3510232,NM,Cibola,,06,CWS,35,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3510232
A A MICHAEL STORE & TRAILER PK,NM3580332,NM,Cibola,,06,TNCWS,35,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3580332
ABBEY DE CORRALES,NM3594923,NM,Sandoval,,06,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3594923
ABC PRESCHOOL,NM3503701,NM,Bernalillo,,06,NTNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3503701
ABCO ICEBERG BOTTLED WATER,NM3581732,NM,Valencia,,06,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3581732
ABIQUIU DAM,NM3591521,NM,Rio Arriba,,06,TNCWS,100,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3591521
ABIQUIU ELEMENTARY SCHOOL,NM3590121,NM,Rio Arriba,,06,NTNCWS,125,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3590121
ABIQUIU INN,NM3591821,NM,Rio Arriba,,06,TNCWS,191,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3591821
ABIQUIU MDWCA,NM3500221,NM,Rio Arriba,,06,CWS,420,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3500221
ABO RUINS SALINAS PUEBLO MISSIONS,NM3501030,NM,Torrance,,06,TNCWS,30,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3501030
ABUELITA'S,NM3502001,NM,Bernalillo,,06,TNCWS,400,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3502001
ACOMA MAIN,063501001,NM,,,06,CWS,2374,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=063501001
ACOMA PUEBLO (ACOMITA),063501107,NM,,,06,CWS,1899,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=063501107
ACOMA PUEBLO (ANZAC),063502107,NM,,,06,CWS,100,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=063502107
ACOMA SKY CITY CASINO,063504107,NM,,,06,NTNCWS,1950,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=063504107
ACOMA SKY CITY CULTURAL CENTER,063503107,NM,,,06,NTNCWS,1612,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=063503107
ACOMA SKY CITY TRAVEL CENTER EXPRESS,063506107,NM,,,06,TNCWS,508,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=063506107
ACOMA SPRING,063505107,NM,,,06,NTNCWS,60,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=063505107
ACOMITA REST AREA,NM3595733,NM,Cibola,,06,TNCWS,2501,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3595733
ACRES ESTATES WATER SYSTEM,NM3503826,NM,Santa Fe,,06,CWS,350,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3503826
ADAM ANTHONY & RUSTY CATER WATER HAULING,NM3500222,NM,,,06,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3500222
ADELINO HEADSTART SCHOOL,NM3590732,NM,Valencia,,06,NTNCWS,150,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3590732
ADMIRAL BEVERAGE CORPORATION,NM3591707,NM,Dona Ana,,06,NTNCWS,140,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3591707
ADOBE CAFE,NM3593119,NM,Otero,,06,TNCWS,100,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3593119
ADOBE DELI BAR,NM3594016,NM,Luna,,06,TNCWS,35,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3594016
ADOBE INN,NM3591026,NM,Santa Fe,,06,TNCWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3591026
AGUA DE TAOS,NM3581129,NM,Taos,,06,TNCWS,28,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3581129
AGUA FRESCA WATER TO GO,NM3500316,NM,Luna,,06,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3500316
AGUA FRIA ELEMENTARY SCHOOL,NM3590926,NM,Santa Fe,,06,NTNCWS,0,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3590926
AGUA FRIA WATER ASSOCIATION,NM3503926,NM,Santa Fe,,06,CWS,611,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3503926
AGUA FRIA WATER COMPANY,NM3546314,NM,Lincoln,,06,CWS,250,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3546314
AGUA NEGRA MDWCA,NM3515918,NM,Mora,,06,CWS,200,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3515918
AGUA PIEDRA CAMP GROUND USFS CARSON,NM3583329,NM,Taos,,06,TNCWS,124,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3583329
AGUA PURA MDWCA,NM3545618,NM,Mora,,06,CWS,357,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3545618
AGUA SANA WUA,NM3502421,NM,Rio Arriba,,06,CWS,1275,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3502421
AGUAMIO (WATER HAULER),NM3500322,NM,,,06,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3500322
AGUAS DE FERNANDEZ,NM3500630,NM,Torrance,,06,CWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3500630
AGUIRRE SPRINGS-BLM,NM3580807,NM,Dona Ana,,06,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3580807
AIRWAY TRAILER COURT,NM3547001,NM,,,06,CWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3547001
AKIN AND AKIN WATER SYSTEM,NM3580030,NM,Torrance,,06,TNCWS,100,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3580030
ALAMEDA ACRES MHP,NM3539307,NM,Dona Ana,,06,CWS,285,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3539307
ALAMEDA COMMUNITY CENTER,NM3586101,NM,Bernalillo,,06,TNCWS,100,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3586101
ALAMEDA ELEMENTARY SCHOOL,NM3593701,NM,Bernalillo,,06,TNCWS,500,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3593701
ALAMEDA MOBILE HOME PARK,NM3547101,NM,Bernalillo,,06,CWS,20,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3547101
ALAMO ACRES MOBILE HOME PARK,NM3547201,NM,Bernalillo,,06,CWS,176,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3547201
ALAMO HEIGHTS WUA,NM3568919,NM,Otero,,06,CWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3568919
ALAMOGORDO DOMESTIC WATER SYSTEM,NM3513319,NM,Otero,,06,CWS,35629,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3513319
ALB WASTEWATER TREATMNT PLT #2,NM3582501,NM,Bernalillo,,06,TNCWS,55,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3582501
ALBUQUERQUE 6 DRIVE-IN THEATER,NM3593101,NM,Bernalillo,,06,TNCWS,300,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3593101
ALBUQUERQUE CHRISTIAN CHILDR H,NM3593801,NM,Bernalillo,,06,TNCWS,29,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3593801
ALBUQUERQUE NORTH KOA,NM3510623,NM,Sandoval,,06,TNCWS,80,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3510623
ALBUQUERQUE SPORTSPLEX,NM3591001,NM,,,06,TNCWS,250,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3591001
ALBUQUERQUE TREE NURSERY,NM3590201,NM,Bernalillo,,06,TNCWS,200,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3590201
ALBUQUERQUE WATER SYSTEM,NM3510701,NM,Bernalillo,,06,CWS,601983,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3510701
ALCALDE MDWCA,NM3535021,NM,Rio Arriba,,06,CWS,904,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3535021
ALDERSHOT OF NEW MEXICO INC.,NM3501807,NM,Dona Ana,,06,NTNCWS,0,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3501807
ALEGRIA BAR AND LOUNGE,NM3596026,NM,Santa Fe,,06,TNCWS,30,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3596026
ALGODONES WUA,NM3535123,NM,Sandoval,,06,CWS,411,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3535123
ALL TRIBES SCHOOL,NM3510123,NM,Sandoval,,06,CWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3510123
ALLISON MOTEL,NM3590202,NM,Catron,,06,TNCWS,40,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3590202
ALLISON WATER ASSOCIATION,NM3508117,NM,McKinley,,06,CWS,100,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3508117
ALLSUP'S 149,NM3593901,NM,Bernalillo,,06,TNCWS,600,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3593901
ALLSUPS # 346,NM3580426,NM,Santa Fe,,06,TNCWS,0,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3580426
ALLSUPS #133,NM3585126,NM,Santa Fe,,06,TNCWS,100,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3585126
ALLSUPS #145,NM3599013,NM,Lea,,06,TNCWS,75,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3599013
ALLSUPS 130,NM3596514,NM,Lincoln,,06,TNCWS,350,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3596514
ALLSUPS 137,NM3599232,NM,Valencia,,06,TNCWS,395,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3599232
ALLSUPS 165,NM3586032,NM,Valencia,,06,TNCWS,450,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3586032
ALLSUPS 45,NM3580105,NM,Curry,,06,TNCWS,250,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3580105
ALMA STORE AND GRILL,NM3580302,NM,Catron,,06,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3580302
ALONG THE RIVER RV CAMP,NM3502414,NM,Lincoln,,06,TNCWS,120,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3502414
ALPINE VILLAGE W AND SD,NM3558014,NM,Lincoln,,06,CWS,120,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3558014
ALTAMONTE LITTLE LEAGUE,NM3503501,NM,Bernalillo,,06,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3503501
ALTO DE LAS FLORES MDWCA,NM3536907,NM,Dona Ana,,06,CWS,800,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3536907
ALTO LAKES WATER AND SANITATION DISTRICT,NM3558514,NM,Lincoln,,06,CWS,1603,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3558514
ALTO MOUNTAIN VILLAGE,NM3530414,NM,Lincoln,,06,CWS,172,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3530414
ALTO NORTH WATER COOP,NM3513414,NM,Lincoln,,06,CWS,200,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3513414
AMALIA  COSTILLA SENIOR CITIZENS CENTER,NM3592829,NM,Taos,,06,TNCWS,30,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3592829
AMERICAN GYPSUM COMPANY (BERNALILLO PLAN,NM3580423,NM,Sandoval,,06,NTNCWS,100,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3580423
AMERICAN GYPSUM COMPANY ABQ PLANT,NM3582101,NM,Bernalillo,,06,NTNCWS,150,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3582101
AMERICAN RV PARK,NM3583201,NM,Bernalillo,,06,TNCWS,125,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3583201
AMERICAN TRADING CO.,NM3590302,NM,Catron,,06,TNCWS,40,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3590302
