## THE BARN ##,NV0003063,NV,,,09,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NV0003063
4TH STREET BISTRO,NV0000735,NV,Washoe,,09,TNCWS,30,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NV0000735
A COWBOYS DREAM,NV0002563,NV,Lincoln,,09,TNCWS,26,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NV0002563
A&J MOBILE HOME PARK,NV0002038,NV,Churchill,,09,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NV0002038
A1 FUEL STOP,NV0000915,NV,Humboldt,,09,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NV0000915
AAA MOBILE HOME RENTAL,NV0000151,NV,Clark,,09,CWS,75,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NV0000151
ABELS EMERGENCY SUPPORT,NV0000859,NV,,,09,CWS,0,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NV0000859
ABELS FIRE EQUIPMENT 2,NV0000862,NV,,,09,CWS,0,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NV0000862
ACE APARTMENTS,NV0000702,NV,Washoe,,09,TNCWS,0,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NV0000702
AGRINAUTICS,NV0001052,NV,Clark,,09,TNCWS,18,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NV0001052
AIR BASE INN,NV0000703,NV,Washoe,,09,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NV0000703
AIR SAILING INC GLIDERPORT,NV0000866,NV,Washoe,,09,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NV0000866
AIRPORT SUBDIVISION,NV0000368,NV,Nye,,09,CWS,135,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NV0000368
AIRPORT TRAILER / NEV REFINING,NV0000367,NV,Nye,,09,CWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NV0000367
ALAMO SEWER AND WATER GID,NV0000005,NV,Lincoln,,09,CWS,900,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NV0000005
