1 - 3 NEW KING STREET,NY5930117,NY,Westchester,,02,NTNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NY5930117
1 BYRAM BROOK PL.,NY5930130,NY,Westchester,,02,NTNCWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NY5930130
1 COOK &  A WAITRESS COFFEE SHOP,NY1708165,NY,Fulton,,02,TNCWS,0,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NY1708165
1 FRONT STREET,NY3922610,NY,Putnam,,02,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NY3922610
10 CORPORATE PARK,NY1330513,NY,Dutchess,,02,NTNCWS,61,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NY1330513
10 NEW KING STREET ASSOCIATES,NY5930066,NY,Westchester,,02,NTNCWS,170,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NY5930066
1000 ACRES GOLF CLUB,NY5619948,NY,Warren,,02,TNCWS,300,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NY5619948
1000 ISLANDS BAIT STORE SERVICE STATION,NY2230031,NY,Jefferson,,02,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NY2230031
1000 ISLANDS CAMPGROUND,NY2213157,NY,Jefferson,,02,TNCWS,88,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NY2213157
1000 ISLANDS KOA,NY4420026,NY,St. Lawrence,,02,TNCWS,300,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NY4420026
1070-1072 ROUTE 9,NY1330752,NY,Dutchess,,02,NTNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NY1330752
10806 SISSON HIGHWAY (  R-BAR ),NY1443002,NY,Erie,,02,TNCWS,41,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NY1443002
"11 NORTH BAR & GRILL, LLC",NY3706696,NY,Oswego,,02,TNCWS,165,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NY3706696
111 CENTER,NY5120476,NY,,,02,NTNCWS,100,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NY5120476
112 EXXON SERVICE STATION,NY5130072,NY,Suffolk,,02,TNCWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NY5130072
1122 ROUTE 9D LLC,NY3913003,NY,Putnam,,02,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NY3913003
1133 TACONIC LLC,NY1320777,NY,Dutchess,,02,CWS,10,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NY1320777
12 NORTH SPORTS BAR,NY3220660,NY,Oneida,,02,TNCWS,100,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NY3220660
12 OZ CURL,NY3706769,NY,Oswego,,02,TNCWS,81,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NY3706769
120 TURKEY HILL RD. APTS.,NY5423010,NY,,,02,CWS,14,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NY5423010
121 RESTAURANT/BAR,NY5906566,NY,Westchester,,02,TNCWS,100,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NY5906566
12249 OLEAN ROAD,NY1418673,NY,Erie,,02,TNCWS,180,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NY1418673
123 P.L.A.Y. PRESCHOOL,NY5530325,NY,Ulster,,02,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NY5530325
1240 BETHEL ESTATES LLC,NY5207250,NY,Sullivan,,02,CWS,23,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NY5207250
1336 ENTERPRISE INC,NY1322594,NY,Dutchess,,02,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NY1322594
14 S HIGHLAND ROOMING HOUSE,NY4330039,NY,,,02,CWS,20,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NY4330039
15 COMMERCE STREET RESTAURANT CORP.,NY5906556,NY,Westchester,,02,TNCWS,60,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NY5906556
1528 PROFESSIONAL BUILDING,NY4120271,NY,,,02,NTNCWS,60,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NY4120271
"158 ROUTE 22, LLC",NY1322779,NY,Dutchess,,02,TNCWS,115,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NY1322779
"17 MILE VARAK, LLC",NY5730151,NY,Washington,,02,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NY5730151
17 RAILROAD STREET,NY5430003,NY,Tompkins,,02,TNCWS,60,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NY5430003
