116 MARKET SERVICE STATION,OR4190777,OR,Jackson,,10,TNCWS,400,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=OR4190777
18 WHEELER TRUCK STOP,OR4194052,OR,Klamath,,10,TNCWS,67,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=OR4194052
238TH ST WS-C/O RON D MILLER,OR4100380,OR,Washington,,10,CWS,60,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=OR4100380
240TH PL COMM WELL-SW MCKENZIE,OR4100007,OR,Multnomah,,10,CWS,26,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=OR4100007
3 ACRES STORE % TROY NEWELL,OR4190788,OR,Lake,,10,TNCWS,150,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=OR4190788
"3 J'S EXXON % WM HAMM,OWNER",OR4190789,OR,Lake,,10,TNCWS,150,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=OR4190789
3 JS BURNS JUNCTION CAFE,OR4194281,OR,Malheur,,10,TNCWS,30,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=OR4194281
"395 CAFE,% LYNN HILSABECK",OR4191139,OR,Lake,,10,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=OR4191139
45TH AVENUE NE WATER SYSTEM,OR4100737,OR,Marion,,10,CWS,116,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=OR4100737
5 ROCK RANCH,OR4195372,OR,Yamhill,,10,TNCWS,30,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=OR4195372
62 BURGERS AND BREW,OR4191555,OR,Jackson,,10,TNCWS,30,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=OR4191555
62ND COURT MUTUAL WATER CO,OR4101184,OR,Marion,,10,CWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=OR4101184
7 Feathers RV,104121118,OR,,,10,NTNCWS,6800,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=104121118
82ND ST. DRIVE-IN,OR4192071,OR,Columbia,,10,TNCWS,30,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=OR4192071
97 DELI MART,OR4190375,OR,Klamath,,10,TNCWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=OR4190375
97 TRAILER PARK,OR4100448,OR,Wheeler,,10,CWS,90,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=OR4100448
A & W DRIVE-IN % G.GULDAGER,OR4191766,OR,Lane,,10,TNCWS,200,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=OR4191766
A 1 MARKET #5,OR4195298,OR,Josephine,,10,TNCWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=OR4195298
A RIVER RUNS THROUGH,OR4195342,OR,Jackson,,10,CWS,28,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=OR4195342
A&W DRIVE IN,OR4193466,OR,Wasco,,10,TNCWS,28,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=OR4193466
A&W DRIVE-IN,OR4190465,OR,Umatilla,,10,TNCWS,28,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=OR4190465
A-1 BUDGET HOTEL,OR4194194,OR,Klamath,,10,TNCWS,40,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=OR4194194
A-FRAME RV PARK,OR4194825,OR,Baker,,10,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=OR4194825
A1 KENNEDY ALTERNATIVE 45J3,OR4191799,OR,Lane,,10,NTNCWS,100,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=OR4191799
ABIQUA BUSINESS PLAZA,OR4194582,OR,Marion,,10,TNCWS,200,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=OR4194582
ABIQUA LEARNING CENTER,OR4194876,OR,Marion,,10,NTNCWS,35,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=OR4194876
ABIQUA SCHOOL,OR4193768,OR,Marion,,10,NTNCWS,160,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=OR4193768
ACTION AUCTION,OR4194126,OR,Wasco,,10,TNCWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=OR4194126
ADA RESORT,OR4192091,OR,Douglas,,10,TNCWS,15,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=OR4192091
ADAIR VILLAGE WATER SYSTEM,OR4100003,OR,Benton,,10,CWS,875,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=OR4100003
ADAM'S RIB,OR4190033,OR,Columbia,,10,TNCWS,28,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=OR4190033
