38 ROAD HOUSE,SD4601073,SD,Lincoln,,08,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SD4601073
4-T GUEST RANCH,SD4600666,SD,Lawrence,,08,TNCWS,60,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SD4600666
76 RANCH ESTATES,SD4602259,SD,Lawrence,"57754, 57785",08,CWS,40,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SD4602259
A&W DRIVE INN,SD4600761,SD,Lawrence,,08,TNCWS,250,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SD4600761
ABERDEEN,SD4600020,SD,Brown,"57401, 57402",08,CWS,26091,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SD4600020
ABERDEEN LIVESTOCK CAFE,SD4600983,SD,Brown,,08,TNCWS,75,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SD4600983
AGAR,SD4600024,SD,Sully,,08,CWS,80,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SD4600024
ALCESTER,SD4600004,SD,Union,57001,08,CWS,885,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SD4600004
ALEXANDRIA,SD4600062,SD,Hanson,57311,08,CWS,615,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SD4600062
ALLEN WATER SYSTEM,084690481,SD,,,08,CWS,420,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=084690481
ALPENA,SD4600025,SD,Jerauld,"57312, 57362",08,CWS,286,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SD4600025
AMERICAN BUFFALO RESORT,SD4600615,SD,Pennington,57702,08,TNCWS,200,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SD4600615
AMERICAN HORSE CREEK,084690023,SD,,,08,CWS,365,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=084690023
AMERICAN HORSE SCHOOL,084690466,SD,,,08,CWS,300,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=084690466
AMERICAN PRESIDENTS MOTEL,SD4602183,SD,Custer,,08,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SD4602183
AMERICAN PRESIDENTS RESORT,SD4600588,SD,Custer,57730,08,TNCWS,250,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SD4600588
AMHERST WATER COMPANY,SD4600030,SD,Marshall,"57421, 57430",08,CWS,35,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SD4600030
ANDERSON CAFE,SD4600523,SD,Codington,,08,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SD4600523
ANDOVER,SD4600026,SD,Day,,08,CWS,139,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SD4600026
ANDY'S ACRES,SD4600305,SD,Lincoln,,08,CWS,60,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SD4600305
ANGOSTURA DEN,SD4602115,SD,Fall River,,08,TNCWS,102,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SD4602115
ANTELOPE(MISSION) WATER SYSTEM,084690506,SD,,,08,CWS,1500,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=084690506
ANTLERS AT BEAR BUTTE,SD4602317,SD,,,08,CWS,24,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SD4602317
APPLE SPRINGS SUBDIVISION,SD4602318,SD,Lawrence,"57702, 75027",08,CWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SD4602318
APPLE VALLEY MOBILE HOME PARK,SD4600879,SD,Lawrence,,08,CWS,40,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SD4600879
ARLINGTON,SD4600385,SD,Kingsbury,57212,08,CWS,915,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SD4600385
ARLINGTON BEACH RESORT,SD4600717,SD,Brookings,,08,TNCWS,204,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SD4600717
ARMOUR,SD4600028,SD,Douglas,57313,08,CWS,702,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SD4600028
ARTESIAN SCHOOL,SD4601083,SD,Sanborn,,08,NTNCWS,143,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SD4601083
ASHTON,SD4600029,SD,Spink,,08,CWS,154,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SD4600029
ASTORIA,SD4600005,SD,Deuel,57213,08,CWS,150,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SD4600005
ATLANTIC MOUNTAIN RANCH FORT SITE,SD4602184,SD,Custer,57730,08,TNCWS,10,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SD4602184
ATLANTIC MOUNTAIN RANCH MAIN SITE,SD4601011,SD,Custer,57730,08,TNCWS,10,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SD4601011
AURORA,SD4600058,SD,Brookings,57002,08,CWS,850,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SD4600058
AURORA PLAINS ACADEMY,SD4600056,SD,Aurora,57368,08,NTNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SD4600056
AURORA-BRULE RURAL WATER SYSTEM,SD4600621,SD,"Aurora, Brule, Buffalo, Davison, Douglas, Jerauld",57355,08,CWS,2600,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SD4600621
AUTUMN MEADOWS SANITARY DISTRICT,SD4602240,SD,Meade,"57718, 57769",08,CWS,68,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SD4602240
AVENTURE ESTATES,SD4602327,SD,,,08,CWS,24,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SD4602327
AVON,SD4600031,SD,Bon Homme,57315,08,CWS,590,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SD4600031
B & B TRAILER COURT,SD4607012,SD,Pennington,,08,CWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SD4607012
B & E CAFE,SD4600590,SD,Brown,,08,TNCWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SD4600590
B & J MOBILE HOME PARK,SD4602122,SD,Pennington,"57709, 57769",08,CWS,135,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SD4602122
BAD NATION WATER SYSTEM,084690518,SD,,,08,CWS,40,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=084690518
BAD RIVER RURAL WATER SYSTEM,SD4600869,SD,Haakon,57567,08,CWS,195,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SD4600869
BADGER,SD4600032,SD,Kingsbury,57214,08,CWS,140,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SD4600032
BADLANDS NAT MONUMENT,SD4600500,SD,Jackson,,08,CWS,100,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SD4600500
BADLANDS RANCH RESORT,084690522,SD,,,08,TNCWS,100,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=084690522
BADLANDS RANCH RV RESORT,SD4602161,SD,Jackson,57772,08,TNCWS,100,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SD4602161
BADLANDS TRUCK STOP INC,SD4601027,SD,Jackson,,08,TNCWS,225,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SD4601027
BADLANDS/WHITE RIVER KOA KAMPGROUND,SD4600646,SD,Jackson,57750,08,TNCWS,183,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SD4600646
BALTIC,SD4600034,SD,Minnehaha,57003,08,CWS,1177,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SD4600034
BALTIC CORNER,SD4600971,SD,Minnehaha,,08,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SD4600971
BANCROFT,SD4600035,SD,Kingsbury,,08,CWS,37,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SD4600035
BAR-N SILO,SD4600522,SD,Brown,,08,TNCWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SD4600522
