100 CAFE & SERVICE STATION,TN0001846,TN,Hardeman,,04,TNCWS,500,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TN0001846
11 W QUICK STOP,TN0004714,TN,Hawkins,,04,NTNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TN0004714
11-W TRAILER PARK,TN0000780,TN,Sullivan,,04,CWS,35,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TN0000780
11-W UTILITY DISTRICT,TN0000059,TN,Sullivan,,04,CWS,1106,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TN0000059
129 MOTORCYCLE PIT STOP,TN0005127,TN,Monroe,,04,TNCWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TN0005127
143 OFF ROAD WATER SYSTEM,TN0005100,TN,Humphreys,,04,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TN0005100
333 APARTMENTS,TN0008104,TN,Davidson,,04,CWS,166,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TN0008104
4 WAY STORE AND CAFE,TN0002471,TN,Bledsoe,,04,TNCWS,40,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TN0002471
4-MILE MARKET,TN0005174,TN,Wayne,,04,TNCWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TN0005174
411 RESTAURANT & MOTEL,TN0002472,TN,Polk,,04,TNCWS,788,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TN0002472
45 CLUB,TN0001038,TN,McNairy,,04,TNCWS,30,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TN0001038
48 CREEK FREEWILL BAPTIST CH,TN0001300,TN,Wayne,,04,TNCWS,37,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TN0001300
641 CLUB,TN0003466,TN,Henry,,04,TNCWS,200,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TN0003466
76 SERVICE STATION,TN0003770,TN,Humphreys,,04,TNCWS,35,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TN0003770
A & M HAMBURGER,TN0001745,TN,Hickman,,04,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TN0001745
ABBOTT GRAIN CO.,TN0001697,TN,Dyer,,04,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TN0001697
ABRAMS CREEK CAMPGROUND,TN0001261,TN,Blount,,04,TNCWS,68,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TN0001261
ABRAMS CREEK RANGER STATION,TN0004230,TN,Sevier,,04,TNCWS,100,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TN0004230
ACCURATE ENERGETIC SYSTEMS,TN0004910,TN,Hickman,,04,NTNCWS,90,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TN0004910
ACORN VILLAGE MHP,TN0000961,TN,Humphreys,,04,CWS,38,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TN0000961
ACRES CHAPEL CHURCH OF GOD,TN0001486,TN,Fentress,,04,TNCWS,61,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TN0001486
ACT MANUFACTURING,TN0001027,TN,Morgan,,04,NTNCWS,45,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TN0001027
ACTOONA BAPTIST CHURCH,TN0001487,TN,Monroe,,04,TNCWS,30,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TN0001487
ADAMSVILLE RECREATIONAL AREA,TN0001247,TN,Hardin,,04,TNCWS,200,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TN0001247
