1017 CAFE,TX2140030,TX,Starr,,06,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TX2140030
10402 AIRLINE DRIVE WATER SYSTEM,TX1012891,TX,Harris,,06,NTNCWS,120,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TX1012891
107 TP,TX1080073,TX,Stephens,,06,CWS,26,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TX1080073
109 TRAVEL H SPACES,TX0450044,TX,Gonzales,,06,CWS,28,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TX0450044
114TH STREET MOBILE HOME PARK,TX1520067,TX,Lubbock,,06,CWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TX1520067
130 REGIONAL WSC,TX0260049,TX,Burleson,,06,CWS,0,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TX0260049
1300 ALDINE MAIL ROUTE OFFICE PARK,TX1011354,TX,Harris,,06,TNCWS,100,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TX1011354
1350 HUGH ROAD WATER SYSTEM,TX1012765,TX,Harris,,06,NTNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TX1012765
14200 STUEBNER AIRLINE OFFICE WAREHOUSE,TX1012239,TX,Harris,,06,NTNCWS,48,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TX1012239
147TH T A N G,TX1013173,TX,Harris,,06,NTNCWS,450,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TX1013173
1485 LIMITED CRYSTAL SPRINGS WATER CO,TX1700580,TX,Montgomery,,06,CWS,48,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TX1700580
1585 & FRANKFORD DISCOUNT RV STORAGE,TX1520279,TX,Lubbock,,06,NTNCWS,192,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TX1520279
1604 DAY CARE CENTER,TX0150424,TX,Calhoun,,06,TNCWS,12,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TX0150424
1936 APARTMENTS,TX0680092,TX,Ector,,06,CWS,100,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TX0680092
1977 KINDRED II,TX1013100,TX,Harris,,06,NTNCWS,10,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TX1013100
1ST BAPT. CHUR. CHRISTIAN ACAD,TX1011707,TX,Rusk,,06,TNCWS,30,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TX1011707
2 COUSINS GAS AND GROCERY,TX1190012,TX,Jack,,06,TNCWS,24,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TX1190012
2 JS CAFE & MARINA,TX0200513,TX,Brazoria,,06,TNCWS,0,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TX0200513
2 K RESERVE,TX2370116,TX,Waller,,06,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TX2370116
2042 HIGHWAY 36 NORTH STRIP CENTER,TX0080044,TX,Austin,,06,TNCWS,1000,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TX0080044
2410 MOBILE HOME COURT,TX0140008,TX,Bell,,06,CWS,32,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TX0140008
242 EXPRESS MART,TX1700814,TX,Montgomery,,06,TNCWS,250,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TX1700814
2620 ESTATES,TX0930063,TX,Grimes,,06,CWS,116,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TX0930063
2854 COMMERCIAL CENTER,TX1700485,TX,Montgomery,,06,TNCWS,250,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TX1700485
290 W S C,TX1440004,TX,Lee,,06,CWS,275,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TX1440004
2920 FOOD MART,TX1013469,TX,Harris,,06,TNCWS,150,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TX1013469
2920 WEST SUBDIVISION,TX1012276,TX,Harris,,06,CWS,369,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TX1012276
2978 EXPRESS,TX1700863,TX,Montgomery,,06,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TX1700863
3 B'S MHP,TX0680113,TX,Ector,,06,TNCWS,8,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TX0680113
3 G WSC,TX1500006,TX,Llano,,06,CWS,391,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TX1500006
3 GS RECREATION INC,TX2150021,TX,Stephens,,06,TNCWS,100,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TX2150021
3-D MOBILE HOME AND RV PARK,TX0910072,TX,Grayson,,06,CWS,90,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TX0910072
3180 CONVENIENCE STORE & GAS,TX0360131,TX,Chambers,,06,TNCWS,200,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TX0360131
3411-5TH STREET TRAILER PARK,TX0790039,TX,Fort Bend,,06,CWS,51,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TX0790039
360 SHORT STOP,TX0790333,TX,,,06,TNCWS,350,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TX0790333
377 SUNSET STRIP,TX1110003,TX,Hood,,06,CWS,120,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TX1110003
3806 RAMSGATE W S,TX1011474,TX,Rusk,,06,CWS,30,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TX1011474
3D BUNKHOUSE PWS,TX0720059,TX,Erath,,06,CWS,72,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TX0720059
3H FARMS,TX1700835,TX,Montgomery,,06,NTNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TX1700835
3S SERVICES,TX0640055,TX,Dimmit,,06,TNCWS,56,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TX0640055
3S SERVICES MIDLAND,TX1650170,TX,Midland,,06,NTNCWS,35,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TX1650170
3STAR ICE,TX1700602,TX,Montgomery,,06,TNCWS,0,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TX1700602
4 CORNERS BAR B Q,TX1012822,TX,Harris,,06,TNCWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TX1012822
4 D MOBILE HOME PARK,TX1070229,TX,Henderson,,06,CWS,26,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TX1070229
4 D WATER,TX0460152,TX,Comal,,06,CWS,282,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TX0460152
4 J RIVER WAY,TX2320053,TX,Uvalde,,06,TNCWS,54,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TX2320053
4 R RANCH WATER 2,TX1160091,TX,Hunt,,06,CWS,214,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TX1160091
4 WAY BAR & GRILL,TX0100107,TX,Bandera,,06,TNCWS,85,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TX0100107
4 WAY STORE AND CAFE,TX1710030,TX,Moore,,06,TNCWS,0,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TX1710030
4.0 CELLARS,TX0860120,TX,Gillespie,,06,TNCWS,415,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TX0860120
