101 RANCHO,UTAH27031,UT,Washington,,08,NTNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=UTAH27031
3-D CHEESE,UTAH14058,UT,Millard,,08,NTNCWS,75,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=UTAH14058
ABBEY OF THE HOLY TRINITY,UTAH29039,UT,Weber,,08,TNCWS,34,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=UTAH29039
ACE RAYMOND CONSTRUCTION,UT4902018,UT,Cache,,08,TNCWS,30,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=UT4902018
ACME WATER COMPANY,UTAH02001,UT,Box Elder,,08,CWS,880,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=UTAH02001
ADELAIDE CAMPGROUND,UTAH14007,UT,Millard,,08,TNCWS,150,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=UTAH14007
ALBION BASIN CAMPGROUND,UTAH18062,UT,Salt Lake,,08,TNCWS,55,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=UTAH18062
ALEX PEREA,UTAH14022,UT,Millard,,08,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=UTAH14022
ALFS INN,UTAH18052,UT,Salt Lake,,08,TNCWS,340,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=UTAH18052
ALPENHOF DEVELOPMENT COMPANY,UTAH26082,UT,,,08,NTNCWS,1,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=UTAH26082
ALPINE CITY,UTAH25007,UT,Utah,,08,CWS,9500,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=UTAH25007
ALPINE COVE WATER SSD,UTAH25124,UT,Utah,,08,CWS,230,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=UTAH25124
ALTA TOWN WATER SYSTEM,UTAH18049,UT,Salt Lake,,08,CWS,1397,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=UTAH18049
ALTAMONT CAMPGROUND,UTAH25039,UT,Utah,,08,TNCWS,300,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=UTAH25039
ALTAMONT TOWN WATER SYSTEM,UTAH07008,UT,Duchesne,,08,NTNCWS,351,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=UTAH07008
