101 BUILDING,105300126,WA,,,10,TNCWS,150,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=105300126
109 RV PARK & CAMPGROUND,WA5389032,WA,Grays Harbor,,10,TNCWS,28,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WA5389032
141ST AVE KPN -661,WA5324781,WA,Pierce,,10,CWS,48,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WA5324781
142ND ST. WATER CO.,WA5310001,WA,Thurston,,10,CWS,87,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WA5310001
164TH ST ARTESIAN WELL,WA5301319,WA,Snohomish,,10,TNCWS,35,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WA5301319
166TH ST WELL,WA5307958,WA,Pierce,,10,NTNCWS,5,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WA5307958
168TH AVE SYSTEM,WA5322196,WA,Clark,,10,CWS,26,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WA5322196
1ST BAPTIST CHURCH OF RIVERVIEW,WA5372970,WA,Franklin,,10,NTNCWS,317,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WA5372970
1ST PRESBYTERIAN CHURCH BICKLETON,WA5325941,WA,Klickitat,,10,TNCWS,63,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WA5325941
22ND AVENUE ESTATES WATER SYSTEM,WA5324621,WA,Pierce,,10,CWS,51,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WA5324621
25 MILE FIRE CAMP,WA53FS975,WA,Chelan,,10,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WA53FS975
25 MILE FIRE CAMP,WA5314994,WA,Chelan,,10,TNCWS,120,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WA5314994
336TH #1 - 310,WA5352701,WA,Pierce,,10,CWS,46,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WA5352701
42ND AVE WATER SYSTEM,WA5308428,WA,Pierce,,10,NTNCWS,5,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WA5308428
5 CEDARS,105300028,WA,,,10,CWS,150,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=105300028
5-D DAIRY FARMS,WA5308097,WA,Franklin,,10,NTNCWS,6,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WA5308097
59ER DINER,WA5365071,WA,Chelan,,10,TNCWS,134,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WA5365071
60TH STREET WATER WORKS,WA5337925,WA,Snohomish,,10,CWS,35,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WA5337925
7 CEDARS CASINO,105300108,WA,,,10,NTNCWS,450,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=105300108
74TH AVE WATER SYSTEM,WA5357656,WA,Pierce,,10,CWS,63,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WA5357656
79th Ave Community Water Assoc,WA5302728,WA,Pierce,,10,TNCWS,128,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WA5302728
8 MILE CG EAST/L'WORTH RD.,WA53FS212,WA,Chelan,,10,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WA53FS212
8 SEDGWICK,WA5322588,WA,Kitsap,,10,CWS,57,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WA5322588
8-MILE CG. WEST/L'WORTH R.D.,WA53FS744,WA,Chelan,,10,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WA53FS744
800 FIFTH AVENUE WATER SYSTEM,WA5302462,WA,King,,10,NTNCWS,2804,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WA5302462
85 Acres,WA5322590,WA,King,,10,CWS,55,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WA5322590
93RD AVENUE PARK WEST,WA5307771,WA,Thurston,,10,NTNCWS,10,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WA5307771
97 Rock House WS,WA53AD315,WA,Chelan,,10,TNCWS,254,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WA53AD315
A & A FOODS,WA5300002,WA,Benton,,10,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WA5300002
A & P PHILLIP FRUIT ORCHARDS,WA5300026,WA,Douglas,,10,TNCWS,1,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WA5300026
A AND W WATER SYSTEM,WA5307807,WA,Pierce,,10,NTNCWS,4,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WA5307807
AAA MOBILE HOME & RV PARK,WA5335980,WA,Grant,,10,CWS,54,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WA5335980
ABBEY WATER,WA5307493,WA,Kitsap,,10,NTNCWS,16,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WA5307493
"ABELN, TREVOR",WA5307860,WA,Clark,,10,NTNCWS,6,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WA5307860
ABERDEEN CITY OF,WA5300050,WA,Grays Harbor,,10,CWS,17958,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WA5300050
ABERNATHY ASSEMBLY OF GOD,WA53AB005,WA,Cowlitz,,10,TNCWS,41,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WA53AB005
ABERNATHY FTC,WA53FW005,WA,Cowlitz,,10,NTNCWS,30,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WA53FW005
ABNER SUND SPRING,WA5385206,WA,Mason,,10,TNCWS,7,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WA5385206
ACALADI WATER ASSN,WA5300150,WA,Island,,10,CWS,33,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WA5300150
ACME MATERIALS & CONSTRUCTION CO.,WA5300235,WA,Benton,,10,NTNCWS,48,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WA5300235
ACME WATER DISTRICT NO 18,WA5300250,WA,Whatcom,,10,CWS,568,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WA5300250
ACORN MEADOWS TR CRT,WA5300272,WA,Pierce,,10,CWS,192,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WA5300272
ACRES MOBILE HOME PARK,WA5315794,WA,Clark,,10,CWS,150,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WA5315794
"ADAIR,L",WA5300275,WA,King,,10,TNCWS,32,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WA5300275
ADAMS CO FIRE DIST #6,WA5300278,WA,Adams,,10,CWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WA5300278
ADAMS COUNTY FAIR,WA5300008,WA,Adams,,10,TNCWS,503,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WA5300008
ADAMS COUNTY WATER DIST #1,WA5322525,WA,Adams,,10,CWS,740,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WA5322525
ADAMS FORK #5 HP,WA53FS007,WA,Skamania,,10,TNCWS,67,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WA53FS007
