17 MOTEL,WV9940019,WV,Putnam,,03,TNCWS,30,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WV9940019
17 MOTEL AND RESTAURANT,WV9940012,WV,Putnam,,03,TNCWS,250,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WV9940012
1ST AND TEN CONVENIENCE,WV9939158,WV,Preston,,03,TNCWS,0,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WV9939158
1ST PRIORITY MEDICAL CHOICE,WV9902044,WV,Berkeley,,03,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WV9902044
3047252066,WV3301925,WV,Jefferson,,03,CWS,53,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WV3301925
4 U RESTAURANT AND MOTEL,WV9936011,WV,Pendleton,,03,TNCWS,100,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WV9936011
4-H CAMP,WV9926007,WV,Mason,,03,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WV9926007
5 AND 20 MHP,WV3304015,WV,Putnam,,03,CWS,35,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WV3304015
5-A/NO 50 SOURCE/US STEEL,WV9955091,WV,Wyoming,,03,NTNCWS,300,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WV9955091
52 CLUB,WV9927024,WV,McDowell,,03,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WV9927024
52 DINER,WV9927090,WV,McDowell,,03,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WV9927090
7 ELEVEN,WV9955099,WV,Wyoming,,03,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WV9955099
92 DINER,WV9913125,WV,Greenbrier,,03,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WV9913125
9926035 CORNSTALK RESTAURANT,WV9926035,WV,Mason,,03,TNCWS,40,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WV9926035
A B ULLOM,WV9912025,WV,Grant,,03,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WV9912025
A BS DAIRY CONE SEE WV9921038,WV9921048,WV,,,03,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WV9921048
A J KIMBLE,WV9952015,WV,Wetzel,,03,TNCWS,250,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WV9952015
A M GRIFFITH,WV9920032,WV,Kanawha,,03,TNCWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WV9920032
A MINE,WV9955002,WV,Wyoming,,03,NTNCWS,88,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WV9955002
A T MILLER III MHP,WV3300319,WV,Boone,,03,CWS,63,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WV3300319
