FacDerivedStctyFIPS,SDWAFormalActionCount,FacDateLastPenalty,SDWISFlag,FacState,FacDerivedHuc,FacTotalPenalties,Score,SDWASystemTypes,SDWAInspections5yr,FacFIPSCode,FacLastPenaltyAmt,FacName,FacZip,FacEPARegion,FacMajorFlag,NC,FacFormalActionCount,ViolFlag,FacReferencePoint,FacCity,FacImpWaterFlg,FacPenaltyCount,SDWAIDs,SDWA3yrComplQtrsHistory,FacPercentMinority,FacDerivedWBD,FacLat,FacCollectionMethod,CurrVioFlag,FacStdCountyName,SDWAInformalCount,FacDerivedZip,RegistryID,FacStreet,FacAccuracyMeters,FacCounty,FacLong
,,,Y,AK,,$0,1,Transient non-community system,,,,229 PARKS HIGHWAY RESTAURANT,,10,,Y,0,1,,,,,AK2391922,V___VVVVVVVVU,,,63.346191,State Centroid,1,,1,,110051019027,,100000,DENALI,-152.837068
,,,Y,AK,,$0,1,Transient non-community system,,,,4-LANDS BAR & LIQUOR STORE,,10,,N,0,1,,,,,AK2240634,_VVVVVV_____U,,,63.346191,State Centroid,0,,,,110050932185,,100000,KENAI PENINSULA,-152.837068
,,,Y,AK,,$0,1,Transient non-community system,,,,ABUNDANT LIFE ASSEMBLY OF GOD,,10,,N,0,1,,,,,AK2245024,_VVVVVV_____U,,,63.346191,State Centroid,0,,,,110050982317,,100000,KENAI PENINSULA,-152.837068
02050,,,Y,AK,19030502,$0,1,Non-Transient non-community system,,02050,,AC ALASKA COMMERCIAL STORE,99559,10,,Y,0,1,ENTRANCE POINT OF A FACILITY OR STATION,BETHEL,,,AK2270427,VVVVSSSSSSSSU,77.683,,60.793924,ADDRESS MATCHING-HOUSE NUMBER,1,BETHEL CENSUS AREA,,99559,110051027866,135 RIDGECREST DR,50,BETHEL,-161.769046
,,,Y,AK,,$0,1,Transient non-community system,,,,AC SERVICE CENTER,,10,,Y,0,1,,,,,AK2250265,VVVVVVVVVVVVU,,,63.346191,State Centroid,1,,,,110050967156,,100000,KODIAK ISLAND,-152.837068
,,,Y,AK,,$0,1,Transient non-community system,,,,AFC / NANUQ HERC / WOLVERINE CAMP,,10,,Y,0,1,,,,,AK2330066,VVV_____VVVVU,,,69.449343,County Centroid,1,,,,110067059453,,30000,NORTH SLOPE BOROUGH,-153.47283
,,,Y,AK,,$0,1,Transient non-community system,,,,AFC POTABLE DELIVERY TRAILER 25-550,,10,,N,0,0,,,,,AK2330124,____________U,,,69.449343,County Centroid,0,,,,AK2330124,,30000,North Slope Borough,-153.47283
,,,Y,AK,,$0,1,Transient non-community system,,,,AFC POTABLE TRUCK 22-275,,10,,Y,0,1,,,,,AK2330063,_VVVVVVVVVVVU,,,63.346191,State Centroid,1,,,,110050907373,,100000,NORTH SLOPE,-152.837068
,,,Y,AK,,$0,1,Transient non-community system,,,,AFC POTABLE TRUCK 22-276,,10,,Y,0,1,,,,,AK2330064,__VVVVVVVVVVU,,,63.346191,State Centroid,1,,,,110050907391,,100000,NORTH SLOPE,-152.837068
02122,,06/08/1998,Y,AK,19020302,$0,1,Transient non-community system,,02122,"$550,000",AGRIUM KENAI NITROGEN OPERATIONS,99611,10,Y,N,0,0,CENTER OF FACILITY,KENAI,,,AK2240919,,15.224,,60.674444,INTERPOLATION-MAP,0,KENAI PENINSULA BOROUGH,,99611,110030488620,47901 KENAI SPUR HWY,100,KENAI PENINSULA,-151.379167
