FacDerivedStctyFIPS,SDWAFormalActionCount,FacDateLastPenalty,SDWISFlag,FacState,FacDerivedHuc,FacTotalPenalties,Score,SDWASystemTypes,SDWAInspections5yr,FacFIPSCode,FacLastPenaltyAmt,FacName,FacZip,FacEPARegion,FacMajorFlag,NC,FacFormalActionCount,ViolFlag,FacReferencePoint,FacCity,FacImpWaterFlg,FacPenaltyCount,SDWAIDs,SDWA3yrComplQtrsHistory,FacPercentMinority,FacDerivedWBD,FacLat,FacCollectionMethod,CurrVioFlag,FacStdCountyName,SDWAInformalCount,FacDerivedZip,RegistryID,FacStreet,FacAccuracyMeters,FacCounty,FacLong
01083,,,Y,AL,06030002,$0,1,Community water system,,01083,,2002 WATER SYSTEM IMPROVEMENTS,35611,04,,N,0,0,ENTRANCE POINT OF A FACILITY OR STATION,ATHENS,,,AL0000833,____________U,33.48,060300021103,34.79109,ADDRESS MATCHING-HOUSE NUMBER,0,LIMESTONE COUNTY,9,35611,110025368705,17218 US HIGHWAY 72,50,LIMESTONE,-87.01385
,,,Y,AL,,$0,1,Community water system,,,,ABBEVILLE WATER WORKS & SEWER BOARD,,04,,N,0,1,,ABBEVILLE,,,AL0000657,VV_V________U,,,31.564216,Place Name Centroid,0,,8,,110012979839,,20000,HENRY,-85.259634
,,,Y,AL,,$0,1,Community water system,,,,ADDISON WATER WORKS,,04,,N,0,0,,ADDISON,,,AL0001402,____________U,,,34.202689,Place Name Centroid,0,,,,110013245942,,20000,WINSTON,-87.177901
,,,Y,AL,,$0,1,Community water system,,,,AKRON WATER SYSTEM,,04,,N,0,1,,AKRON,,,AL0001767,VVV_________U,,,32.879417,Place Name Centroid,0,,18,,110012990923,,20000,HALE,-87.741757
01097,,09/17/2010,Y,AL,03160204,$0,1,Non-Transient non-community system,,01097,"$785,714",AKZO NOBEL FUNCTIONAL CHEMICALS,36505,04,Y,Y,0,1,,AXIS,Y,,AL0001020,,25.391,031602040105,30.969439,,1,MOBILE COUNTY,,36505,110000741243,13440 HWY 43 N,17452,MOBILE,-88.0175
,,,Y,AL,,$0,1,Non-Transient non-community system,,,,ALA. WAREHOUSE/LOWER POOL #2,,04,,N,0,0,,,,,AL0001555,____________U,,,31.516978,County Centroid,0,,,,110051121219,,30000,HENRY,-85.239971
,,,Y,AL,,$0,1,Transient non-community system,,,,ALABAMA DOT/I-10 AL/FL WELCOME CENTER,,04,,N,0,0,,,,,AL0000004,____________U,,,30.659218,County Centroid,0,,,,110051019232,,30000,BALDWIN,-87.746067
,,,Y,AL,,$0,1,Transient non-community system,,,,ALABAMA PICK AND TRADE LLC,,04,,N,0,0,,,,,AL0001161,____________U,,,33.262937,County Centroid,0,,,,110050941585,,30000,SHELBY,-86.678104
01117,,08/24/2015,Y,AL,03150107,"$200,000",1,Non-Transient non-community system,,01117,"$200,000",ALABAMA POWER CO EC GASTON STEAM PLANT,35186,04,Y,Y,1,1,CENTER OF A FACILITY OR STATION,WILSONVILLE,Y,1,AL0001154,,11.382,031501070304,33.243803,,1,SHELBY COUNTY,,35186,110000589097,31972 HIGHWAY 25,17600,SHELBY,-86.459093
01097,,08/24/2015,Y,AL,03160204,"$200,000",1,Transient non-community system,,01097,"$200,000",ALABAMA POWER COMPANY,36512,04,Y,Y,1,1,CENTER OF A FACILITY OR STATION,BUCKS,,1,AL0001465,,41.463,031602040106,31.0043,INTERPOLATION-PHOTO,1,MOBILE COUNTY,,36560,110000741270,15300 HWY 43,18700,MOBILE,-88.0141
01073,,08/24/2015,Y,AL,03160111,"$200,000",1,Non-Transient non-community system,,01073,"$200,000",ALABAMA POWER COMPANY - JH MILLER STEAM PL,35130,04,Y,Y,1,1,CENTER OF A FACILITY OR STATION,QUINTON,Y,1,AL0000735,,4.375,031601110409,33.6331,INTERPOLATION-MAP,1,JEFFERSON COUNTY,,35005,110043792651,4250 PORTER RD,64328,WALKER,-87.0597
01117,,,Y,AL,03150202,$0,1,Community water system,,01117,,ALABASTER WATER BOARD,35007,04,,N,0,0,ENTRANCE POINT OF A FACILITY OR STATION,ALABASTER,,,AL0001148,____________U,23.733,031502020203,33.24615,ADDRESS MATCHING-HOUSE NUMBER,0,SHELBY COUNTY,,35007,110012985591,213 1ST ST N,50,SHELBY,-86.815721
01123,,,Y,AL,03150109,$0,1,Community water system,,01123,,ALEXANDER CITY WATER DEPARTMENT,35010,04,,N,0,0,ENTRANCE POINT OF A FACILITY OR STATION,ALEXANDER CITY,,,AL0001265,____________U,45.411,031501090803,32.936758,ADDRESS MATCHING-HOUSE NUMBER,0,TALLAPOOSA COUNTY,,35010,110012991352,77 RUSSELL RD,50,TALLAPOOSA,-85.955989
,,,Y,AL,,$0,1,Community water system,,,,ALICEVILLE WATER & SEWER BOARD,,04,,N,0,0,,ALICEVILLE,,,AL0001102,____________U,,,33.123744,Place Name Centroid,0,,,,110013246102,,20000,PICKENS,-88.159445
,,,Y,AL,,$0,1,Transient non-community system,,,,ALLEN AAF,,04,,N,0,0,,,,,AL0001628,____________U,,,31.158193,County Centroid,0,,,,110051070005,,30000,HOUSTON,-85.296398
,,,Y,AL,,$0,1,Community water system,,,,ALLGOOD WATER WORKS,,04,,N,0,0,,,,,AL0000098,____________U,,,33.977448,County Centroid,0,,,,110012973005,,30000,BLOUNT,-86.567246
01055,,,Y,AL,03160111,$0,1,Community water system,,01055,,ALTOONA WATER & SEWER SERVICE,,04,,N,0,0,ENTRANCE POINT OF A FACILITY OR STATION,,,,AL0000571,____________U,5.966,031601110102,34.030067,ADDRESS MATCHING-HOUSE NUMBER,0,ETOWAH COUNTY,,35952,110012973700,,50,ETOWAH,-86.314177
,,,Y,AL,,$0,1,Community water system,,12113,,ANDALUSIA WATER WORKS,36420,04,,N,0,0,,ANDALUSIA,,,AL0000356,____________U,,,31.274791,Zip Code Centroid,0,SANTA ROSA COUNTY,,,110013242936,COUNTY ROAD 56,10000,COVINGTON,-86.463443
