FacDerivedStctyFIPS,SDWAFormalActionCount,FacDateLastPenalty,SDWISFlag,FacState,FacDerivedHuc,FacTotalPenalties,Score,SDWASystemTypes,SDWAInspections5yr,FacFIPSCode,FacLastPenaltyAmt,FacName,FacZip,FacEPARegion,FacMajorFlag,NC,FacFormalActionCount,ViolFlag,FacReferencePoint,FacCity,FacImpWaterFlg,FacPenaltyCount,SDWAIDs,SDWA3yrComplQtrsHistory,FacPercentMinority,FacDerivedWBD,FacLat,FacCollectionMethod,CurrVioFlag,FacStdCountyName,SDWAInformalCount,FacDerivedZip,RegistryID,FacStreet,FacAccuracyMeters,FacCounty,FacLong
,,,Y,AR,,$0,1,Transient non-community system,,,,101 GROCERY,,06,,N,0,1,,,,,AR0001089,VVVVVVVVV_VV,,,36.28071,County Centroid,0,,4,,110051020499,,30000,BAXTER,-92.330438
,1,,Y,AR,,$0,1,Transient non-community system,,,,101 NORTH RESORT LLC,,06,,Y,1,1,,,,,ART001092,_____VVV_VVVV,,,36.28071,County Centroid,1,,21,,110051162941,,30000,BAXTER,-92.330438
,,,Y,AR,,$0,1,Transient non-community system,,,,1195 PRIMO WMSC0373 HUNTSVILLE,,06,,N,0,1,,,,,AR0001195,________VV___,,,36.012545,County Centroid,0,,1,,110063366110,,30000,MADISON,-93.724053
,,,Y,AR,,$0,1,Transient non-community system,,,,1196 PRIMO WMNM7317 GREENBRIAR,,06,,N,0,1,,,,,AR0001196,______VVVVV__,,,35.146356,County Centroid,0,,4,,110064357093,,30000,FAULKNER,-92.324654
,,,Y,AR,,$0,1,Non-Transient non-community system,,,,4-H CENTER,,06,,N,0,0,,,,,ARN000180,_____________,,,34.773988,County Centroid,0,,,,110051185766,,30000,PULASKI,-92.316515
05113,,,Y,AR,08040101,$0,1,Community water system,,05113,,ACORN RURAL WATER ASSN,,06,,N,0,0,ENTRANCE POINT OF A FACILITY OR STATION,,,,AR0000811,_____________,9.705,080401010101,34.642055,ADDRESS MATCHING-HOUSE NUMBER,0,POLK COUNTY,,71953,110013021452,,50,POLK,-94.203841
,,,Y,AR,,$0,1,Community water system,,05069,,ADC - CUMMINS UNIT MAINT,,06,,N,0,1,,,,,AR0000315,___VV________,,,34.277696,County Centroid,0,JEFFERSON COUNTY,11,,110013248912,,30000,LINCOLN,-91.930701
,2,,Y,AR,,$0,1,Community water system,,05069,,ADC - TUCKER UNIT MAINT,,06,,Y,2,1,,,,,AR0000282,VVVVVVVVVVVVV,,,34.277696,County Centroid,1,JEFFERSON COUNTY,9,,110013003579,,30000,JEFFERSON,-91.930701
05069,1,,Y,AR,08040205,$0,1,Community water system,,05069,,ADC EAST ARKANSAS REGIONAL,,06,,Y,1,1,ENTRANCE POINT OF A FACILITY OR STATION,,,,AR0000796,___VVV_VVVVVV,88.459,080402050301,34.21312,ADDRESS MATCHING-HOUSE NUMBER,1,JEFFERSON COUNTY,9,71601,110013019250,,50,LEE,-91.978128
,,,Y,AR,,$0,1,Non-Transient non-community system,,,,AHTD HARRISON 9 HEADQUARTERS,,06,,N,0,0,,,,,ARN000103,_____________,,,36.304308,County Centroid,0,,,,110051181886,,30000,BOONE,-93.079204
,,,Y,AR,,$0,1,Non-Transient non-community system,,,,AHTD MARION COUNTY,,06,,N,0,0,,,,,ARN000129,_____________,,,36.266656,County Centroid,0,,2,,110051068688,,30000,MARION,-92.678588
,,,Y,AR,,$0,1,Transient non-community system,,,,AHTD-LONSDALE REST AREA,,06,,Y,0,1,,,,,ART000015,_______VVVVVV,,,34.578861,County Centroid,1,,,,110051149324,,30000,GARLAND,-93.146915
,,,Y,AR,,$0,1,Community water system,,05017,,AIRPORT ROAD WATER ASSOCIATION,,06,,N,0,0,,,,,AR0000663,_____________,,,33.267139,County Centroid,0,CHICOT COUNTY,,,110013014102,,30000,CHICOT,-91.297158
,,,Y,AR,,$0,1,Non-Transient non-community system,,,,ALBEMARLE CORPORATION SOUTH,,06,,N,0,0,,,,,ARN000022,_____________,,,33.21507,County Centroid,0,,,,110051037178,,30000,COLUMBIA,-93.226901
,,,Y,AR,,$0,1,Non-Transient non-community system,,,,ALBEMARLE CORPORATION WEST,,06,,N,0,0,,,,,ARN000021,_____________,,,33.21507,County Centroid,0,,,,110051037150,,30000,COLUMBIA,-93.226901
,2,,Y,AR,,$0,1,Transient non-community system,,,,ALEXA SPRINGS WATER COMPANY,,06,,Y,2,1,,,,,ARN000235,SVVVVVVVVVVVV,,,34.545652,County Centroid,1,,21,,110051141251,,30000,MONTGOMERY,-93.664147
05075,,,Y,AR,11010013,$0,1,Community water system,,05075,,"ALICIA, CITY OF",72410,06,,Y,0,1,ENTRANCE POINT OF A FACILITY OR STATION,ALICIA,,,AR0000303,__VVVV_______,2.532,110100130102,35.8908,GPS CODE (PSEUDO RANGE) PRECISE POSITION,1,LAWRENCE COUNTY,,72410,110025050370,PO BOX 32,10,LAWRENCE,-91.0797
05033,,,Y,AR,11110201,$0,1,Community water system,,05033,,ALMA WATERWORKS,,06,,N,0,0,CENTER OF A FACILITY OR STATION,,,,AR0000144,_____________,9.329,111102010504,35.47657,ADDRESS MATCHING-HOUSE NUMBER,0,CRAWFORD COUNTY,4,72921,110012999559,,30,CRAWFORD,-94.22122
05001,,,Y,AR,08020303,$0,1,Community water system,,05001,,ALMYRA WATERWORKS,,06,,Y,0,1,ENTRANCE POINT OF A FACILITY OR STATION,,,,AR0000006,_____VVVVVVVV,1.891,080203030102,34.406172,ADDRESS MATCHING-HOUSE NUMBER,1,ARKANSAS COUNTY,10,72003,110012995072,,50,ARKANSAS,-91.410077
