FacDerivedStctyFIPS,SDWAFormalActionCount,FacDateLastPenalty,SDWISFlag,FacState,FacDerivedHuc,FacTotalPenalties,Score,SDWASystemTypes,SDWAInspections5yr,FacFIPSCode,FacLastPenaltyAmt,FacName,FacZip,FacEPARegion,FacMajorFlag,NC,FacFormalActionCount,ViolFlag,FacReferencePoint,FacCity,FacImpWaterFlg,FacPenaltyCount,SDWAIDs,SDWA3yrComplQtrsHistory,FacPercentMinority,FacDerivedWBD,FacLat,FacCollectionMethod,CurrVioFlag,FacStdCountyName,SDWAInformalCount,FacDerivedZip,RegistryID,FacStreet,FacAccuracyMeters,FacCounty,FacLong
,,,Y,AS,,$0,1,Transient non-community system,,,,4 Seasons - Nuuuli,,09,,N,0,0,,,,,AS9900141,_____________,,,-14.263817,State Centroid,0,,,,AS9900141,,100000,,-170.66209
,,,Y,AS,,$0,1,Transient non-community system,,,,AB MART & WHOLESALE - MALAEIMI,,09,,N,0,0,,,,,AS9900084,_____________,,,-14.263817,State Centroid,0,,,,110063336741,,100000,,-170.66209
,,,Y,AS,,$0,1,Transient non-community system,,,,ABC FAX STORE - FAGATOGO,,09,,N,0,0,,,,,AS9900089,_____________,,,-14.263817,State Centroid,0,,,,110063351411,,100000,,-170.66209
,,,Y,AS,,$0,1,Transient non-community system,,,,ADD ONE STORE - ILIILI,,09,,N,0,0,,,,,AS9900041,_____________,,,-14.263817,State Centroid,0,,,,110063353204,,100000,,-170.66209
,,,Y,AS,,$0,1,Transient non-community system,,,,AETO MART - PAGO PAGO,,09,,N,0,0,,,,,AS9900110,_____________,,,-14.263817,State Centroid,0,,,,110063333352,,100000,,-170.66209
60050,,,Y,AS,,$0,1,Community water system,,60050,,AFONO VILLAGE WATER SYSTEM,96799,09,,Y,0,1,CENTER OF FACILITY,PAGO PAGO,,,AS0000002 AS9710820 AS9710858,SSSSSSSSSSSSV,0,220300000001,-14.26046,INTERPOLATION-PHOTO,1,,,96799,110013024002,AFONO VILLAGE,52,AMERICAN SAMOA,-170.651149
60050,,,Y,AS,,$0,1,Community water system,,60050,,ALAO VILLAGE WATER SYSTEM,96799,09,,Y,0,1,CENTER OF FACILITY,PAGO PAGO,,,AS0000036 AS9710603 AS9710650 AS9710654 AS9710754,VVVVVVSSSSSSV,0,220300000001,-14.263538,INTERPOLATION-PHOTO,1,,,96799,110048473610,ALAO VILLAGE,52,AMERICAN SAMOA,-170.565061
,,,Y,AS,,$0,1,Transient non-community system,,,,AMALUIA MART - AMALUIA,,09,,N,0,0,,,,,AS9900050,_____________,,,-14.263817,State Centroid,0,,,,110063333361,,100000,,-170.66209
,,,Y,AS,,$0,1,Transient non-community system,,,,AMYS SEWING SHOP - NUUULI,,09,,N,0,0,,,,,AS9900017,_____________,,,-14.263817,State Centroid,0,,,,110063356611,,100000,,-170.66209
,,,Y,AS,,$0,1,Transient non-community system,,,,AMYS STORE - PETESA,,09,,N,0,0,,,,,AS9900034,_____________,,,-14.263817,State Centroid,0,,,,110063356602,,100000,,-170.66209
,,,Y,AS,,$0,1,Transient non-community system,,,,Atu'u Mart,,09,,N,0,0,,,,,AS9900157,_____________,,,-14.263817,State Centroid,0,,,,AS9900157,,100000,,-170.66209
,,,Y,AS,,$0,1,Transient non-community system,,,,BELL MART - FALENIU,,09,,N,0,0,,,,,AS9900058,_____________,,,-14.263817,State Centroid,0,,,,110063351224,,100000,,-170.66209
,,,Y,AS,,$0,1,Transient non-community system,,,,C&J Mart,,09,,N,0,0,,,,,AS9900161,_____________,,,-14.263817,State Centroid,0,,,,AS9900161,,100000,,-170.66209
,,,Y,AS,,$0,1,Transient non-community system,,,,CALIFORNIA STORE INC. 1 (R ) - LEONE,,09,,N,0,0,,,,,AS9900053,_____________,,,-14.263817,State Centroid,0,,,,110063351260,,100000,,-170.66209
,,,Y,AS,,$0,1,Transient non-community system,,,,CALIFORNIA STORE INC. 2 (L) - LEONE,,09,,N,0,0,,,,,AS9900054,_____________,,,-14.263817,State Centroid,0,,,,110063351251,,100000,,-170.66209
,,,Y,AS,,$0,1,Transient non-community system,,,,CANTON MART - PUAPUA,,09,,N,0,0,,,,,AS9900047,_____________,,,-14.263817,State Centroid,0,,,,110063332488,,100000,,-170.66209
,,,Y,AS,,$0,1,Community water system,,,,CENTRAL ASG PWS,96799,09,,Y,0,1,,PAGO PAGO,,,AS9711948,SVSSSSSSSSSSV,,,-14.2812,Zip Code Centroid,1,,,,110013024137,CENTRAL ASG PWS,10000,AMERICAN SAMOA,170.701
,,,Y,AS,,$0,1,Transient non-community system,,,,COCONUT POINT STORE - NUUULI,,09,,N,0,0,,,,,AS9900016,_____________,,,-14.263817,State Centroid,0,,,,110063351304,,100000,,-170.66209
,,,Y,AS,,$0,1,Transient non-community system,,,,COST-U-LESS - TAFUNA,,09,,N,0,0,,,,,AS9900037,_____________,,,-14.263817,State Centroid,0,,,,110063351484,,100000,,-170.66209
,,,Y,AS,,$0,1,Transient non-community system,,,,CS MART - VAITOGI,,09,,N,0,0,,,,,AS9900069,_____________,,,-14.263817,State Centroid,0,,,,110063353106,,100000,,-170.66209
,,,Y,AS,,$0,1,Transient non-community system,,,,Divine Laundromat,,09,,N,0,0,,,,,AS9900158,_____________,,,-14.263817,State Centroid,0,,,,AS9900158,,100000,,-170.66209
,,,Y,AS,,$0,1,Transient non-community system,,,,EMP LAUNDROMAT - ILIILI,,09,,N,0,0,,,,,AS9900074,_____________,,,-14.263817,State Centroid,0,,,,110063353080,,100000,,-170.66209
,,,Y,AS,,$0,1,Transient non-community system,,,,EMP STORE - VAITOGI,,09,,N,0,1,,,,,AS9900113,____SSSSSS___,,,-14.263817,State Centroid,0,,,,110063353133,,100000,,-170.66209
60050,,,Y,AS,,$0,1,Community water system,,60050,,FAGALII VILLAGE WATER SYSTEM,96799,09,,Y,0,1,CENTER OF FACILITY,PAGO PAGO,,,AS0000041 AS9721042 AS9727042,SSSSSSSSSSSSV,0,220300000001,-14.310054,INTERPOLATION-PHOTO,1,,,96799,110013020024,FAGALII VILLAGE,26,AMERICAN SAMOA,-170.827403
60050,,,Y,AS,,$0,1,Community water system,,60050,,FAGAMALO VILLAGE WATER SYSTEM,96799,09,,Y,0,1,CENTER OF FACILITY,PAGO PAGO,,,AS0000030 AS9721040,SSSSSSSSSSSSV,0,220300000001,-14.298806,INTERPOLATION-PHOTO,1,,,96799,110013255850,FAGAMALO VILLAGE,52,AMERICAN SAMOA,-170.807361
60050,,,Y,AS,,$0,1,Community water system,,60050,,FAGASA ASG PWS,96799,09,,Y,0,1,CENTER OF FACILITY,PAGO PAGO,,,AS0000013 AS9711322 AS9711356,SSSSVVVVVVVVV,0,220300000001,-14.286246,INTERPOLATION-PHOTO,1,,,96799,110013024020,FAGASA,52,AMERICAN SAMOA,-170.718784
,,,Y,AS,,$0,1,Transient non-community system,,,,FAMILY MART - NUUULI,,09,,N,0,0,,,,,AS9900109,_____________,,,-14.263817,State Centroid,0,,,,110063339757,,100000,,-170.66209
,,,Y,AS,,$0,1,Community water system,,,,FITIUTA ASG PWS,96799,09,,Y,0,1,,PAGO PAGO,,,AS9630145,VVVVVVVSSSSSV,,,-14.2812,Zip Code Centroid,1,,,,110013023405,FITIUTA - MANUA,10000,AMERICAN SAMOA,170.701
,,,Y,AS,,$0,1,Transient non-community system,,,,Faleniu Store,,09,,N,0,0,,,,,AS9900163,_____________,,,-14.263817,State Centroid,0,,,,AS9900163,,100000,,-170.66209
,,,Y,AS,,$0,1,Transient non-community system,,,,Golf Course's Corner (GCC),,09,,N,0,0,,,,,AS9900159,_____________,,,-14.263817,State Centroid,0,,,,AS9900159,,100000,,-170.66209
,,,Y,AS,,$0,1,Transient non-community system,,,,HQH STORE - OTTOVILLE,,09,,N,0,1,,,,,AS9900067,_______SSS___,,,-14.263817,State Centroid,0,,,,110063333334,,100000,,-170.66209
,,,Y,AS,,$0,1,Transient non-community system,,,,Happy Mart ( R ) - Nuuuli,,09,,N,0,0,,,,,AS9900143,_____________,,,-14.263817,State Centroid,0,,,,AS9900143,,100000,,-170.66209
,,,Y,AS,,$0,1,Transient non-community system,,,,Happy Mart (L) - Nuuuli,,09,,N,0,0,,,,,AS9900144,_____________,,,-14.263817,State Centroid,0,,,,AS9900144,,100000,,-170.66209
,,,Y,AS,,$0,1,Transient non-community system,,,,Huang Mart,,09,,N,0,0,,,,,AS9900162,_____________,,,-14.263817,State Centroid,0,,,,AS9900162,,100000,,-170.66209
,,,Y,AS,,$0,1,Transient non-community system,,,,J & B STORE - ILIILI,,09,,N,0,0,,,,,AS9900043,_____________,,,-14.263817,State Centroid,0,,,,110063351466,,100000,,-170.66209
,,,Y,AS,,$0,1,Transient non-community system,,,,J.C.S (Janice Cold Store) - Kokoland,,09,,N,0,0,,,,,AS9900148,_____________,,,-14.263817,State Centroid,0,,,,AS9900148,,100000,,-170.66209
,,,Y,AS,,$0,1,Transient non-community system,,,,Jimmy Mart - Petesa,,09,,N,0,0,,,,,AS9900160,_____________,,,-14.263817,State Centroid,0,,,,AS9900160,,100000,,-170.66209
,,,Y,AS,,$0,1,Transient non-community system,,,,Julia Mart - Mapusaga,,09,,N,0,0,,,,,AS9900165,_____________,,,-14.263817,State Centroid,0,,,,AS9900165,,100000,,-170.66209
,,,Y,AS,,$0,1,Transient non-community system,,,,KF Merchandise Inc ( R ) - Nuuuli,,09,,N,0,0,,,,,AS9900155,_____________,,,-14.263817,State Centroid,0,,,,AS9900155,,100000,,-170.66209
,,,Y,AS,,$0,1,Transient non-community system,,,,KM MART - PETESA,,09,,N,0,0,,,,,AS9900031,_____________,,,-14.263817,State Centroid,0,,,,110063332479,,100000,,-170.66209
,,,Y,AS,,$0,1,Transient non-community system,,,,KRISTOHPHERS STORE RIGHT - TAFUNA,,09,,N,0,1,,,,,AS9900039,____SSSSSS___,,,-14.263817,State Centroid,0,,,,110063335886,,100000,,-170.66209
,,,Y,AS,,$0,1,Transient non-community system,,,,KRISTOPHERS STORE (L) - TAFUNA,,09,,N,0,0,,,,,AS9900102,_____________,,,-14.263817,State Centroid,0,,,,110063335895,,100000,,-170.66209
,,,Y,AS,,$0,1,Transient non-community system,,,,KRISTOPHERS STORE - LEONE,,09,,N,0,0,,,,,AS9900052,_____________,,,-14.263817,State Centroid,0,,,,110063356522,,100000,,-170.66209
,,,Y,AS,,$0,1,Transient non-community system,,,,KS Mart - Tafuna,,09,,N,0,0,,,,,AS9900154,_____________,,,-14.263817,State Centroid,0,,,,AS9900154,,100000,,-170.66209
,,,Y,AS,,$0,1,Transient non-community system,,,,LE FONUEA STORE - NUUULI,,09,,N,0,0,,,,,AS9900085,_____________,,,-14.263817,State Centroid,0,,,,110063335074,,100000,,-170.66209
,,,Y,AS,,$0,1,Transient non-community system,,,,LEONEVILLE - LEONE,,09,,N,0,0,,,,,AS9900064,_____________,,,-14.263817,State Centroid,0,,,,110063339711,,100000,,-170.66209
,,,Y,AS,,$0,1,Transient non-community system,,,,LIN MART - ATUU,,09,,N,0,0,,,,,AS9900092,_____________,,,-14.263817,State Centroid,0,,,,110063332497,,100000,,-170.66209
