FacDerivedStctyFIPS,SDWAFormalActionCount,FacDateLastPenalty,SDWISFlag,FacState,FacDerivedHuc,FacTotalPenalties,Score,SDWASystemTypes,SDWAInspections5yr,FacFIPSCode,FacLastPenaltyAmt,FacName,FacZip,FacEPARegion,FacMajorFlag,NC,FacFormalActionCount,ViolFlag,FacReferencePoint,FacCity,FacImpWaterFlg,FacPenaltyCount,SDWAIDs,SDWA3yrComplQtrsHistory,FacPercentMinority,FacDerivedWBD,FacLat,FacCollectionMethod,CurrVioFlag,FacStdCountyName,SDWAInformalCount,FacDerivedZip,RegistryID,FacStreet,FacAccuracyMeters,FacCounty,FacLong
,,,Y,AZ,,$0,1,Transient non-community system,,,,3 DREAMERS RV PARK LLC,,09,,N,0,1,,,,,AZ0415101,VVVVVVV_____U,,,33.727625,County Centroid,0,,2,,110051216475,,30000,LA PAZ,-114.038793
,,,Y,AZ,,$0,1,Transient non-community system,,04001,,303 DOMESTIC WTR IMPRO DIST,85920,09,,Y,0,1,,ADAMANA,,,AZ0409053,VVVVVVVVVVVVU,,,33.849349,Zip Code Centroid,1,APACHE COUNTY,13,,110017890834,303 DOMESTIC,10000,APACHE,-109.14645
,,,Y,AZ,,$0,1,Transient non-community system,,,,4 SEASONS RV PARK,,09,,N,0,1,,,,,AZ0408172,____VVVVVV__U,,,35.717705,County Centroid,0,,1,,110051053499,,30000,MOHAVE,-113.749689
,,,Y,AZ,,$0,1,Community water system,,04013,,67 AVE PROPERTY OWNERS WT,85001,09,,N,0,1,,PHOENIX,,,AZ0407280,VVVVVV_V__V_U,,,33.453993,Zip Code Centroid,0,MARICOPA COUNTY,4,,110013256859,67TH AVE,10000,MARICOPA,-112.07398
04012,,,Y,AZ,15030106,$0,1,Transient non-community system,,04012,,88 SHADES RV PARK,85346,09,,N,0,0,ENTRANCE POINT OF A FACILITY OR STATION,QUARTZSITE,,,AZ0415435,____________U,10.456,150301060203,33.665268,ADDRESS MATCHING-HOUSE NUMBER,0,LA PAZ COUNTY,1,85346,110039236555,575 W MAIN ST,30,LA PAZ,-114.226188
,,,Y,AZ,,$0,1,Transient non-community system,,,,89 ER TRAILER PARK,,09,,N,0,0,,,,,AZ0413432,____________U,,,34.630044,County Centroid,0,,,,110051122361,,30000,YAVAPAI,-112.573745
,,,Y,AZ,,$0,1,Community water system,,04017,,A PETERSEN WATER CO,85937,09,,N,0,0,,SNOWFLAKE,,,AZ0409032,____________U,,,34.570721,Zip Code Centroid,0,NAVAJO COUNTY,3,,110013103630,PETERSEN,10000,NAVAJO,-109.948961
,,,Y,AZ,,$0,1,Transient non-community system,,,,AA RV CAMPGROUND,,09,,N,0,1,,,,,AZ0420451,______VV__V_U,,,32.128237,County Centroid,0,,2,,110051104728,,30000,PIMA,-111.783018
04025,,,Y,AZ,15060201,$0,1,Community water system,,04025,,ABRA WATER CO,86334,09,,N,0,1,ENTRANCE POINT OF A FACILITY OR STATION,PAULDEN,,,AZ0413001,VVVVV_____V_U,34.526,150602010809,34.91826,ADDRESS MATCHING-HOUSE NUMBER,0,YAVAPAI COUNTY,7,86334,110013110178,ABRA,30,YAVAPAI,-112.46922
,,,Y,AZ,,$0,1,Transient non-community system,,,,AC'S TRUCK STOP,,09,,Y,0,1,,,,,AZ0412314,VVV_VVVVVVVVU,,,31.525904,County Centroid,1,,10,,110051163931,,30000,SANTA CRUZ,-110.84519
,,,Y,AZ,,$0,1,Non-Transient non-community system,,,,ACCELERATED LEARNING CENTER,,09,,N,0,1,,,,,AZ0410197,__________V_U,,,32.128237,County Centroid,0,,,,110051063102,,30000,PIMA,-111.783018
04013,,,Y,AZ,15070102,$0,1,Community water system,,04013,,ADAMAN MUTUAL WATER CO,85340,09,,N,0,1,CENTER OF A FACILITY OR STATION,LITCHFIELD PARK,,,AZ0407001,VVVVVVVVVVVVU,34.634,150701020908,33.53717,ADDRESS MATCHING-HOUSE NUMBER,0,MARICOPA COUNTY,9,85340,110013095015,16251 WEST GLENDALE AVENUE,30,MARICOPA,-112.40934
,,,Y,AZ,,$0,1,Community water system,,04013,,ADJC ADOBE MTN SCHOOL,85003,09,,N,0,1,,PHOENIX,,,AZ0407307,VVVVVVVVVVV_U,,,33.454785,Zip Code Centroid,0,MARICOPA COUNTY,6,,110013097102,HWY 85,10000,MARICOPA,-112.078385
04019,,,Y,AZ,15050301,$0,1,Community water system,,04019,,ADOC-CORRECTION TRAINING,85716,09,,Y,0,1,ENTRANCE POINT OF A FACILITY OR STATION,TUCSON,,,AZ0420557,VVVVVVVVVVVVU,49.831,150503010906,32.22074,ADDRESS MATCHING-HOUSE NUMBER,1,PIMA COUNTY,27,85716,110013115672,151 SOUTH TUCSON BOULEVARD,50,PIMA,-110.93516
