FacDerivedStctyFIPS,SDWAFormalActionCount,FacDateLastPenalty,SDWISFlag,FacState,FacDerivedHuc,FacTotalPenalties,Score,SDWASystemTypes,SDWAInspections5yr,FacFIPSCode,FacLastPenaltyAmt,FacName,FacZip,FacEPARegion,FacMajorFlag,NC,FacFormalActionCount,ViolFlag,FacReferencePoint,FacCity,FacImpWaterFlg,FacPenaltyCount,SDWAIDs,SDWA3yrComplQtrsHistory,FacPercentMinority,FacDerivedWBD,FacLat,FacCollectionMethod,CurrVioFlag,FacStdCountyName,SDWAInformalCount,FacDerivedZip,RegistryID,FacStreet,FacAccuracyMeters,FacCounty,FacLong
,1,,Y,CA,,$0,1,Transient non-community system,,,,1000 TRAILS / SOLEDAD CANYON PRESERVE,,09,,N,1,1,,,,,CA1900045,____VVVVVVVV,,,34.196398,County Centroid,0,,1,,110051079159,,30000,LOS ANGELES,-118.261862
,,,Y,CA,,$0,1,Transient non-community system,,,,11:11,,09,,N,0,1,,,,,CA2800014,VVVVVVV______,,,38.507351,County Centroid,0,,,,110051084205,,30000,NAPA,-122.325995
,,,Y,CA,,$0,1,Non-Transient non-community system,,,,141 SUBURBAN ROAD WATER SUPPLY,,09,,N,0,0,,,,,CA4000725,_____________,,,35.385227,County Centroid,0,,,,110049719257,,30000,SAN LUIS OBISPO,-120.44754
,2,,Y,CA,,$0,1,Transient non-community system,,,,3 BROTHERS TRAVEL PLAZA,,09,,N,2,0,,,,,CA1700725,V____________,,,39.094802,County Centroid,0,,,,110051107681,,30000,LAKE,-122.746757
,,,Y,CA,,$0,1,Transient non-community system,,,,30 MILESTONE TRACT #1,,09,,N,0,0,,,,,CA0901281,_____________,,,38.785532,County Centroid,0,,,,110051123020,,30000,EL DORADO,-120.534398
,1,,Y,CA,,$0,1,Transient non-community system,,,,33RD DISTRICT AGRICULTURAL ASSOCIATION,,09,,N,1,1,,,,,CA3500557,VVVVVVVVV____,,,36.610702,County Centroid,0,,,,110051276043,,30000,SAN BENITO,-121.085296
,,,Y,CA,,$0,1,Transient non-community system,,,,4 STOP DELI-MARKET,,09,,N,0,1,,,,,CA2400300,VVVVVVVVVVVVV,,,37.194806,County Centroid,0,,3,,110063364700,,30000,MERCED,-120.722802
06109,,,Y,CA,18040010,$0,1,Community water system,,06109,,49ER TRAILER RANCH,95310,09,,N,0,0,CENTER OF A FACILITY OR STATION,COLUMBIA,,,CA5500120,_____________,13.573,180400100605,38.04429,ADDRESS MATCHING-HOUSE NUMBER,0,TUOLUMNE COUNTY,,95310,110013177481,23223 ITALIAN BAR RD,30,TUOLUMNE,-120.39849
,,,Y,CA,,$0,1,Community water system,,06099,,4N MOBILE HOME PARK,95361,09,,N,0,0,,KNIGHTS FERRY,,,CA5000082,_____________,,,37.761685,Zip Code Centroid,0,STANISLAUS COUNTY,,,110012897678,TWIN CYPRESS,10000,STANISLAUS,-120.849494
,,,Y,CA,,$0,1,Non-Transient non-community system,,,,5033 PENTECOST,,09,,N,0,0,,,,,CA5000573,_____________,,,37.562384,County Centroid,0,,,,110049675776,,30000,STANISLAUS,-121.002656
,,,Y,CA,,$0,1,Community water system,,,,60TH STREET ASSOC. WATER SYSTEM,,09,,Y,0,1,,,,,CA1502744,VVVVVVVVVVVVV,,,35.346629,County Centroid,1,,,,110047934820,,30000,KERN,-118.729506
,,,Y,CA,,$0,1,Non-Transient non-community system,,,,"6200 FRANKLIN, LLC  (SWS)",,09,,N,0,1,,,,,CA3400358,VVVVVVVVVV___,,,38.450011,County Centroid,0,,,,110051245700,,30000,SACRAMENTO,-121.340441
,,,Y,CA,,$0,1,Transient non-community system,,,,7042 FOLSOM LLC WATER SYSTEM,,09,,Y,0,1,,,,,CA3400204,VVVVVVVVVVVVV,,,38.450011,County Centroid,1,,,,110051214404,,30000,SACRAMENTO,-121.340441
,3,,Y,CA,,$0,1,Non-Transient non-community system,,,,8200 WATER SYSTEM,,09,,Y,3,1,,,,,CA3103294,VVVVVVVVVVVVV,,,39.062032,County Centroid,1,,,,110051211728,,30000,PLACER,-120.722718
,,,Y,CA,,$0,1,Transient non-community system,,,,9-IRON WATER SYSTEM,,09,,N,0,1,,,,,CA2400222,VVVVVVVVVVVVV,,,37.194806,County Centroid,0,,3,,110051142456,,30000,MERCED,-120.722802
06107,3,,Y,CA,18030012,$0,1,Community water system,,06107,,A & A M.H.P.,93257,09,,N,3,1,CENTER OF A FACILITY OR STATION,PORTERVILLE,,,CA5400504,VV______V____,75.421,180300060703,36.03853,ADDRESS MATCHING-HOUSE NUMBER,0,TULARE COUNTY,1,93257,110013175973,1453 S PLANO ST,30,TULARE,-119.0085
,,,Y,CA,,$0,1,Non-Transient non-community system,,,,A & M INDUSTRIES INC,,09,,N,0,0,,,,,CA5000384,_____________,,,37.562384,County Centroid,0,,,,110049762896,,30000,STANISLAUS,-121.002656
,,,Y,CA,,$0,1,Non-Transient non-community system,,,,A SAMBADO & SON 39-321,,09,,N,0,1,,,,,CA3902172,__V__________,,,37.935034,County Centroid,0,,1,,110064360739,,30000,SAN JOAQUIN,-121.272237
,,,Y,CA,,$0,1,Non-Transient non-community system,,,,"A V THOMAS PRODUCE, INC.",,09,,N,0,0,,,,,CA2400232,_____________,,,37.194806,County Centroid,0,,,,110051142535,,30000,MERCED,-120.722802
,,,Y,CA,,$0,1,Transient non-community system,,,,A W WAY - HUMBOLDT CO. PARKS,,09,,N,0,0,,,,,CA1200776,_____________,,,40.706673,County Centroid,0,,,,110051042714,,30000,HUMBOLDT,-123.925818
,,,Y,CA,,$0,1,Community water system,,06029,,A.F.P. MUTUAL WATER COMPANY,93581,09,,N,0,0,,TEHACHAPI,,,CA1500466,_____________,,,35.143306,Zip Code Centroid,0,KERN COUNTY,,,110013130450,P.O. BOX 1384,10000,KERN,-118.451626
,,,Y,CA,,$0,1,Community water system,,06077,,A1 WINSTONS MOBILE HOME PARK,,09,,N,0,0,,,,,CA3900606,_____________,,,37.935034,County Centroid,0,SAN JOAQUIN COUNTY,1,,110013164556,,30000,SAN JOAQUIN,-121.272237
,,,Y,CA,,$0,1,Community water system,,,,AAA KINDNESS CARE HOME,,09,,N,0,0,,,,,CA4200969,_____________,,,34.537378,County Centroid,0,,,,CA4200969,,30000,Santa Barbara,-120.038485
,,,Y,CA,,$0,1,Community water system,,06103,,ABBEY OF NEW CLAIRVAUX W. S.,96092,09,,N,0,0,,VINA,,,CA5200559,_____________,,,39.933286,Zip Code Centroid,0,TEHAMA COUNTY,,,110012902190,PO BOX 80,10000,TEHAMA,-122.054541
06027,1,,Y,CA,18090103,$0,1,Community water system,,06027,,ABERDEEN RESORT,93526,09,,Y,1,1,ENTRANCE POINT OF A FACILITY OR STATION,INDEPENDENCE,,,CA1400020,VVVVVVVVVVVVV,57.143,180901030105,36.886503,ADDRESS MATCHING-HOUSE NUMBER,1,INYO COUNTY,1,93526,110012880739,150 TINEMAHA RD. # 106,50,INYO,-118.245196
06085,,,Y,CA,18050003,$0,1,Community water system,,06085,,ABORN HEIGHTS WATER MUTUAL ASSOCIATION,,09,,N,0,0,ENTRANCE POINT OF A FACILITY OR STATION,,,,CA4300792,_____________,82.33,180500030201,37.321409,ADDRESS MATCHING-HOUSE NUMBER,0,SANTA CLARA COUNTY,,95135,110012895803,,50,SANTA CLARA,-121.754205
06093,2,,Y,CA,18020005,$0,1,Community water system,,06093,,ABRAMS LAKE MOBILE ESTATES,96067,09,,N,2,1,CENTER OF A FACILITY OR STATION,MOUNT SHASTA,,,CA4700542,VVVVVVVVVVVVV,13.148,180200050102,41.33778,ADDRESS MATCHING-HOUSE NUMBER,0,SISKIYOU COUNTY,2,96067,110013171995,2601 N OLD STAGE RD,30,SISKIYOU,-122.35334
,,,Y,CA,,$0,1,Transient non-community system,,,,ACACIA WINERY,,09,,N,0,0,,,,,CA2800811,_____________,,,38.507351,County Centroid,0,,,,110051218491,,30000,NAPA,-122.325995
,,,Y,CA,,$0,1,Community water system,,06077,,ACAMPO WATER SYSTEM,,09,,N,0,0,,,,,CA3901303,_____________,,,37.935034,County Centroid,0,SAN JOAQUIN COUNTY,,,110012894109,,30000,SAN JOAQUIN,-121.272237
,,,Y,CA,,$0,1,Transient non-community system,1,,,ACKERMAN CAMPGROUND,,09,,N,0,0,,,,,CA5301013,_____________,,,40.647724,County Centroid,0,,,,110049693177,,30000,TRINITY,-123.114404
06067,,,Y,CA,18020111,$0,1,Community water system,,06067,,ACORN MOBILE VILLAGE,95815,09,,Y,0,1,CENTER OF A FACILITY OR STATION,SACRAMENTO,,,CA3400352,______VVVVVVV,58.554,180201110202,38.60964,ADDRESS MATCHING-HOUSE NUMBER,1,SACRAMENTO COUNTY,1,95815,110013156333,"2421 CLAY ST, ACRES OF IVY",30,SACRAMENTO,-121.43922
,,,Y,CA,,$0,1,Non-Transient non-community system,,,,ACTON CONSERVATION CAMP #11,,09,,Y,0,1,,,,,CA1900904,VVV_______VVV,,,34.196398,County Centroid,1,,,,110051139353,,30000,LOS ANGELES,-118.261862
,1,,Y,CA,,$0,1,Transient non-community system,,,,ACTON FOUR SQUARE CHURCH,,09,,N,1,1,,,,,CA1900894,VVVVVVVVVVVVV,,,34.196398,County Centroid,0,,5,,110051139273,,30000,LOS ANGELES,-118.261862
,1,,Y,CA,,$0,1,Transient non-community system,,,,ACTON LA NORTH KOA,,09,,Y,1,1,,,,,CA1900092,VVVVVVVVVVVVV,,,34.196398,County Centroid,1,,5,,110051087088,,30000,LOS ANGELES,-118.261862
,,,Y,CA,,$0,1,Transient non-community system,,,,ACTON-AGUA DULCE LDS CHURCH,,09,,N,0,1,,,,,CA1907004,VVVVVVVV_____,,,34.196398,County Centroid,0,,,,110051164627,,30000,LOS ANGELES,-118.261862
06005,1,,Y,CA,18040012,$0,1,Community water system,,06005,,ACWA BUCKHORN PLANT,95642,09,,Y,1,1,CENTER OF A FACILITY OR STATION,JACKSON,,,CA0310012,VVVVVVVVVVVVV,16.39,180400120701,38.354,ADDRESS MATCHING-HOUSE NUMBER,1,AMADOR COUNTY,,95642,110013116840,500 ARGONAUT LANE,30,AMADOR,-120.79179
06005,,,Y,CA,18040012,$0,1,Community water system,,06005,,ACWA SUTTER CREEK,95642,09,,N,0,0,CENTER OF A FACILITY OR STATION,JACKSON,,,CA0310003,_____________,16.39,180400120701,38.354,ADDRESS MATCHING-HOUSE NUMBER,0,AMADOR COUNTY,,95642,110013116494,500 ARGONAUT LANE,30,AMADOR,-120.79179
,,,Y,CA,,$0,1,Transient non-community system,,,,ADAM'S MARKET,,09,,N,0,0,,,,,CA1000650,_____________,,,36.761006,County Centroid,0,,,,CA1000650,,30000,Fresno,-119.655019
,2,,Y,CA,,$0,1,Non-Transient non-community system,,,,ADESA OF SACRAMENTO,,09,,N,2,1,,,,,CA3400429,VVVVVVVVVVVVV,,,38.450011,County Centroid,0,,1,,110049532298,,30000,SACRAMENTO,-121.340441
,1,,Y,CA,,$0,1,Non-Transient non-community system,,,,ADM RICE INC.,,09,,Y,1,1,,,,,CA0605004,VVVVVVVVVVVVV,,,39.177739,County Centroid,1,,1,,110051126624,,30000,COLUSA,-122.237563
,,,Y,CA,,$0,1,Non-Transient non-community system,,,,ADOBE CHRISTIAN CHURCH,,09,,N,0,0,,,,,CA4901214,_____________,,,38.532574,County Centroid,0,,,,110049651630,,30000,SONOMA,-122.945194
,,,Y,CA,,$0,1,Non-Transient non-community system,,,,AERA ENERGY LLC WS,,09,,N,0,0,,,,,CA2701187,_____________,,,36.240107,County Centroid,0,,5,,110051161577,,30000,MONTEREY,-121.315573
06029,,,Y,CA,18030012,$0,1,Non-Transient non-community system,,06029,,AERA ENERGY-LLC (CWS),93224,09,,N,0,1,CENTER OF A FACILITY OR STATION,FELLOWS,,,CA1500495,VVVVVV_______,13.58,180300031504,35.23147,ADDRESS MATCHING-HOUSE NUMBER,0,KERN COUNTY,,93224,110012880285,25401 HIGHWAY 33,30,KERN,-119.57948
06029,3,,Y,CA,18090206,$0,1,Community water system,,06029,,AERIAL ACRES WATER SYSTEM,93524,09,,N,3,1,ENTRANCE POINT OF A FACILITY OR STATION,EDWARDS,,,CA1500405,VVVVVVVVVVVVV,17.925,180902062109,35.090876,ADDRESS MATCHING-HOUSE NUMBER,0,KERN COUNTY,,93523,110013130254,19161 ALMA NORTH,50,KERN,-117.789159
,,,Y,CA,,$0,1,Community water system,,06115,,AERO PINES ASSOCIATION,95919,09,,N,0,0,,BROWNSVILLE,,,CA5800807,_____________,,,39.45159,Zip Code Centroid,0,YUBA COUNTY,,,110013178355,BROWNSVILLE AIRPORT,10000,YUBA,-121.283808
,1,,Y,CA,,$0,1,Non-Transient non-community system,,,,AERONAUTICAL SYSTEMS,,09,,N,1,1,,,,,CA3600797,VVVVVVVVVVVVV,,,34.85722,County Centroid,0,,,,110049802825,,30000,SAN BERNARDINO,-116.181197
,1,,Y,CA,,$0,1,Non-Transient non-community system,,,,AETNA SPRINGS GOLF COURSE,,09,,Y,1,1,,,,,CA2800569,VVVVVVVVVVVVV,,,38.507351,County Centroid,1,,4,,110051269756,,30000,NAPA,-122.325995
06079,,,Y,CA,18060006,$0,1,Community water system,,06079,,AFUERA DE CHORRO WATER COMPANY,,09,,N,0,0,ENTRANCE POINT OF A FACILITY OR STATION,,,,CA4000744,_____________,22.679,180600060504,35.260945,ADDRESS MATCHING-HOUSE NUMBER,0,SAN LUIS OBISPO COUNTY,,93401,110013166279,,50,SAN LUIS OBISPO,-120.630448
,1,,Y,CA,,$0,1,Community water system,,06029,,AGAPE MUTUAL WATER SYSTEM,93312,09,,N,1,0,,BAKERSFIELD,,,CA1500543,_____________,,,35.392335,Zip Code Centroid,0,KERN COUNTY,1,,110013130780,AGAPE MUTUAL WATER,10000,KERN,-119.11897
06061,1,,Y,CA,16050101,$0,1,Community water system,,06061,,AGATE BAY WATER COMPANY,96140,09,,Y,1,1,CENTER OF A FACILITY OR STATION,CARNELIAN BAY,,,CA3110012,VVVVVVVVVVVVV,37.365,160501010101,39.2298,ADDRESS MATCHING-HOUSE NUMBER,1,PLACER COUNTY,,96140,110013153568,5628 VICTORIA RD,30,PLACER,-120.07489
,,,Y,CA,,$0,1,Community water system,,,,AGBAYANI VILLAGE WATER SYSTEM,,09,,N,0,1,,,,,CA1500518,VVVVVVVVV____,,,35.346629,County Centroid,0,,,,110051194505,,30000,KERN,-118.729506
06085,,,Y,CA,18050003,$0,1,Community water system,,06085,,AGNEWS DEVELOPMENTAL CENTER,95134,09,,N,0,0,CENTER OF A FACILITY OR STATION,SAN JOSE,,,CA4310800,,80.791,180500030305,37.40769,THE GEOGRAPHIC COORDINATE DETERMINATION METHOD BASED ON ADDRESS MATCHING,0,SANTA CLARA COUNTY,,95134,110008272822,EAST CAMPUS OF AGNEWS DEV CTR,153,SANTA CLARA,-121.93523
,2,,Y,CA,,$0,1,Non-Transient non-community system,,,,AGRILAND FARMING CO INC,,09,,Y,2,1,,,,,CA2000866,VVVVVVVVVVVVV,,,37.210039,County Centroid,1,,5,,110051148272,,30000,MADERA,-119.749852
,1,,Y,CA,,$0,1,Transient non-community system,,,,AGUA CALIENTE COUNTY PARK,,09,,N,1,1,,,,,CA3700846,VVVVVVVVVVVVV,,,33.023604,County Centroid,0,,,,110050490688,,30000,SAN DIEGO,-116.776117
,,,Y,CA,,$0,1,Transient non-community system,,,,AGUA DULCE WATER SYSTEM,,09,,N,0,1,,,,,CA1900768,VVVVVV_______,,,34.196398,County Centroid,0,,,,110051157181,,30000,LOS ANGELES,-118.261862
,,,Y,CA,,$0,1,Transient non-community system,,,,AGUA DULCE WINERY,,09,,N,0,1,,,,,CA1909646,VVVVVVVVVVVVV,,,34.196398,County Centroid,0,,2,,110051058788,,30000,LOS ANGELES,-118.261862
,,,Y,CA,,$0,1,Transient non-community system,,,,AGUANGA MARKET WATER SYSTEM,,09,,N,0,0,,,,,CA3301141,_____________,,,33.729828,County Centroid,0,,,,110063332371,,30000,RIVERSIDE,-116.002239
06065,,,Y,CA,15030104,$0,1,Transient non-community system,,06065,,AHA-QUIN,92225,09,,N,0,0,,BLYTHE,,,090600193,_____________,62.853,150301040804,33.607974,,0,RIVERSIDE COUNTY,,92225,110022914453,33300 U S HIGHWAY 95,17531,RIVERSIDE,-114.546427
,,,Y,CA,,$0,1,Transient non-community system,,,,AHWAHNEE QUIK MART,,09,,N,0,1,,,,,CA2000537,VVVVVVVVVVVVV,,,37.210039,County Centroid,0,,9,,110051082699,,30000,MADERA,-119.749852
,3,,Y,CA,,$0,1,Community water system,,06039,,AHWAHNEE RESORTS MTN DIST #46,93601,09,,N,3,1,,AHWAHNEE,,,CA2000293,VVVVVSVVVVVV,,,37.35765,Zip Code Centroid,0,MADERA COUNTY,12,,110013140190,HIGHWAY 49,10000,MADERA,-119.760223
,,,Y,CA,,$0,1,Community water system,,,,AIDA AGUIRRE & DIMICIO SAMPAGAN,,09,,Y,0,1,,,,,CA3302079,VVVVVVVVVVVVV,,,33.729828,County Centroid,1,,3,,110013156459,,30000,RIVERSIDE,-116.002239
,2,,Y,CA,,$0,1,Non-Transient non-community system,,,,AIRPORT COMMERCIAL PLAZA,,09,,N,2,1,,,,,CA4500230,_____V_______,,,40.760522,County Centroid,0,,2,,110049505335,,30000,SHASTA,-122.04355
,2,,Y,CA,,$0,1,Non-Transient non-community system,,,,AIRPORT INDUSTRIAL PARK,,09,,N,2,1,,,,,CA4500274,VVVVVVVVV____,,,40.760522,County Centroid,0,,1,,110051273037,,30000,SHASTA,-122.04355
,,,Y,CA,,$0,1,Non-Transient non-community system,,,,AIRPORT PLANET WATER,,09,,N,0,0,,,,,CA4500333,_____________,,,40.760522,County Centroid,0,,,,110049530414,,30000,SHASTA,-122.04355
,2,,Y,CA,,$0,1,Transient non-community system,,,,AIRPORT PROPERTIES,,09,,N,2,1,,,,,CA1700685,VVVVVVVVV____,,,39.094802,County Centroid,0,,,,110051089987,,30000,LAKE,-122.746757
,2,,Y,CA,,$0,1,Transient non-community system,,,,AKAL TRAVEL PLAZA,,09,,N,2,1,,,,,CA5400810,SVVVVVVVVVV__,,,36.230453,County Centroid,0,,2,,110049747887,,30000,TULARE,-118.780542
,1,,Y,CA,,$0,1,Community water system,,06067,,AKIN WATER CO.,95624,09,,N,1,1,,FRANKLIN,,,CA5401038,VVVVVVVVVVV__,,,38.413025,Zip Code Centroid,0,SACRAMENTO COUNTY,,,110013176874,AKIN WATER,10000,SACRAMENTO,-121.3549
,1,,Y,CA,,$0,1,Non-Transient non-community system,,,,AL TAHOE ELEM/STMS (WATER SYS),,09,,N,1,1,,,,,CA0900646,VVVVVVVVVVVVV,,,38.785532,County Centroid,0,,7,,110051136622,,30000,EL DORADO,-120.534398
06001,,,Y,CA,18050004,$0,1,Non-Transient non-community system,,06001,,ALAMEDA COUNTY FAIRGROUNDS,94566,09,,N,0,0,CENTER OF A FACILITY OR STATION,PLEASANTON,,,CA0105020,_____________,38.663,180500040503,37.6594,ADDRESS MATCHING-HOUSE NUMBER,0,ALAMEDA COUNTY,,94566,110013112602,4501 PLEASANTON AVENUE,30,ALAMEDA,-121.88213
06001,,,Y,CA,18050003,$0,1,Community water system,,06001,,ALAMEDA COUNTY WATER DISTRICT,94538,09,,N,0,0,PLANT ENTRANCE (GENERAL),FREMONT,,,CA0110001,_____________,74.902,180500040701,37.506414,ADDRESS MATCHING-HOUSE NUMBER,0,ALAMEDA COUNTY,,94538,110001189632,43885 SO GRIMMER BLVD,150,ALAMEDA,-121.958761
,,,Y,CA,,$0,1,Community water system,,,,ALAMEDA POINT,,09,,N,0,0,,,,,CA0110016,_____________,,,37.648081,County Centroid,0,,,,110048202119,,30000,ALAMEDA,-121.913304
,1,,Y,CA,,$0,1,Transient non-community system,,,,ALBA WS,,09,,N,1,1,,,,,CA2702572,VVVVVVVVVVVVV,,,36.240107,County Centroid,0,,4,,110051061676,,30000,MONTEREY,-121.315573
,,,Y,CA,,$0,1,Non-Transient non-community system,,,,ALBERT EINSTEIN ACADEMY OF LEARNING,,09,,Y,0,1,,,,,CA1900707,VVV_VVVVVVVVV,,,34.196398,County Centroid,1,,1,,110051139059,,30000,LOS ANGELES,-118.261862
,,,Y,CA,,$0,1,Transient non-community system,,,,ALBION FIELD STATION,,09,,N,0,0,,,,,CA2300512,_____________,,,39.432388,County Centroid,0,,,,110051066207,,30000,MENDOCINO,-123.442881
,,,Y,CA,,$0,1,Community water system,,06045,,ALBION MUTUAL WATER COMPANY,95410,09,,N,0,0,,ALBION,,,CA2300502,_____________,,,39.209256,Zip Code Centroid,0,MENDOCINO COUNTY,,,110013143749,ALBION MUTUAL WATER,10000,MENDOCINO,-123.73698
,,,Y,CA,,$0,1,Transient non-community system,,,,ALBION RIVER CAMPGROUND,,09,,N,0,0,,,,,CA2300619,_____________,,,39.432388,County Centroid,0,,,,110051202248,,30000,MENDOCINO,-123.442881
,1,,Y,CA,,$0,1,Transient non-community system,,,,ALBION RIVER INN,,09,,N,1,1,,,,,CA2300811,VV___________,,,39.432388,County Centroid,0,,,,110051051124,,30000,MENDOCINO,-123.442881
06053,,,Y,CA,18060011,$0,1,Community water system,,06053,,ALCO WATER SERVICE,93905,09,,N,0,0,CENTER OF A FACILITY OR STATION,SALINAS,,,CA2710001,_____________,87.504,180600051509,36.67591,ADDRESS MATCHING-HOUSE NUMBER,0,MONTEREY COUNTY,,93905,110012887322,249 WILLIAMS RD,30,MONTEREY,-121.61359
06115,,,Y,CA,18020125,$0,1,Transient non-community system,,06115,,ALCOUFFE COMMUNITY CENTER,95962,09,,N,0,0,CENTER OF A FACILITY OR STATION,OREGON HOUSE,,,CA5800009,_____________,14.612,180201250902,39.36456,ADDRESS MATCHING-HOUSE NUMBER,0,YUBA COUNTY,,95962,110063341879,9185 MARYSVILLE RD,30,YUBA,-121.25381
,,,Y,CA,,$0,1,Non-Transient non-community system,,,,ALDER CONSERVATION CAMP,,09,,N,0,0,,,,,CA0810800,_____________,,,41.749903,County Centroid,0,,,,110051136347,,30000,DEL NORTE,-123.980998
,3,,Y,CA,,$0,1,Transient non-community system,,,,ALDER INN,,09,,N,3,1,,,,,CA0900551,VVVVVVVVVVV__,,,38.785532,County Centroid,0,,5,,110051028785,,30000,EL DORADO,-120.534398
,2,,Y,CA,,$0,1,Transient non-community system,,,,ALDER SPRINGS,,09,,Y,2,1,,,,,CA1000001,VVVVVV____VVV,,,36.761006,County Centroid,1,,2,,110048433726,,30000,FRESNO,-119.655019
,,,Y,CA,,$0,1,Community water system,,06085,,ALDERCROFT HEIGHTS COUNTY WATER DISTRICT,,09,,N,0,0,,,,,CA4300516,_____________,,,37.220777,County Centroid,0,SANTA CLARA COUNTY,,,110013167731,,30000,SANTA CLARA,-121.690622
06023,1,,Y,CA,18010105,$0,1,Community water system,,06023,,ALDERPOINT COUNTY WATER,95511,09,,Y,1,1,ENTRANCE POINT OF A FACILITY OR STATION,ALDERPOINT,,,CA1200501,VVVVVVVVVVVVV,14.876,180101050406,40.17727,ADDRESS MATCHING-BLOCK FACE,1,HUMBOLDT COUNTY,1,95511,110012877244,ALDERPOINT WATER,1000,HUMBOLDT,-123.61126
,,,Y,CA,,$0,1,Community water system,,,,ALEGRIA MWC,,09,,N,0,0,,,,,CA4200731,_____________,,,34.537378,County Centroid,0,,,,110049600017,,30000,SANTA BARBARA,-120.038485
,,,Y,CA,,$0,1,Community water system,,06097,,ALEXANDER VALLEY ACRES WATER COMPANY,95441,09,,N,0,0,,ALEXANDER VALLEY,,,CA4900646,_____________,,,38.701938,Zip Code Centroid,0,SONOMA COUNTY,,,110013171334,ALEXANDER VALLEY ACRES,10000,SONOMA,-122.89624
,,,Y,CA,,$0,1,Transient non-community system,,,,ALEXANDER VALLEY RV PARK & CAMPGROUND,,09,,N,0,0,,,,,CA4901337,_____________,,,38.532574,County Centroid,0,,,,110049776266,,30000,SONOMA,-122.945194
,,,Y,CA,,$0,1,Transient non-community system,,,,ALEXANDER VALLEY STORE & BAR,,09,,N,0,0,,,,,CA4900107,_____________,,,38.532574,County Centroid,0,,,,110051248645,,30000,SONOMA,-122.945194
,,,Y,CA,,$0,1,Non-Transient non-community system,,,,ALEXANDER VALLEY UNION SCHOOL DISTRICT,,09,,N,0,0,,,,,CA4900704,_____________,,,38.532574,County Centroid,0,,,,110049515681,,30000,SONOMA,-122.945194
,,,Y,CA,,$0,1,Transient non-community system,,,,ALHATTI CHRISTIAN MOUNTAIN RES,,09,,N,0,1,,,,,CA3303014,V______VV____,,,33.729828,County Centroid,0,,2,,110051197094,,30000,RIVERSIDE,-116.002239
,5,,Y,CA,,$0,1,Community water system,,,,ALI MUTUAL WATER CO,,09,,Y,5,1,,,,,CA5403144,VVVVVVVVVVVVV,,,36.230453,County Centroid,1,,6,,110051232698,,30000,TULARE,-118.780542
06019,,,Y,CA,18030012,$0,1,Community water system,,06019,,ALICE MANOR,93625,09,,N,0,0,CENTER OF A FACILITY OR STATION,FOWLER,,,CA1000199,_____________,80.616,180300090206,36.63437,ADDRESS MATCHING-HOUSE NUMBER,0,FRESNO COUNTY,,93625,110013123057,8448 EAST ADAMS AVENUE,30,FRESNO,-119.63776
,,,Y,CA,,$0,1,Transient non-community system,,,,ALL OUTDOORS ADVENTURE TRIPS,,09,,N,0,1,,,,,CA0900219,VVVVVVVVVVVVV,,,38.785532,County Centroid,0,,1,,110051115039,,30000,EL DORADO,-120.534398
,,,Y,CA,,$0,1,Transient non-community system,,,,ALL SAINTS CAMPGROUND WS,,09,,N,0,0,,,,,CA2702255,_____________,,,36.240107,County Centroid,0,,1,,110051131887,,30000,MONTEREY,-121.315573
,1,,Y,CA,,$0,1,Transient non-community system,,,,ALL STAR ACADEMY OF DANVILLE,,09,,Y,1,1,,,,,CA0707800,____VVVVVVVVV,,,37.919479,County Centroid,1,,,,110051060409,,30000,CONTRA COSTA,-121.951543
06087,,,Y,CA,18060002,$0,1,Community water system,,06087,,ALLAN LANE WATER ASSOCIATION,,09,,N,0,1,ENTRANCE POINT OF A FACILITY OR STATION,,,,CA4400692,VVVVVVVVVVVVV,35.594,180600020802,37.001853,ADDRESS MATCHING-HOUSE NUMBER,0,SANTA CRUZ COUNTY,,95076,110013169828,,50,SANTA CRUZ,-121.794246
,1,,Y,CA,,$0,1,Community water system,,06091,,ALLEGHANY COUNTY W.D.,95910,09,,N,1,1,,ALLEGHANY,,,CA4600012,VVVVVVVVVVVVV,,,39.487003,Zip Code Centroid,0,SIERRA COUNTY,,,110013170816,P.O. BOX 860,10000,SIERRA,-120.854565
,,,Y,CA,,$0,1,Community water system,,06029,,ALLEN ROAD MUTUAL WATER SYSTEM,93389,09,,N,0,1,,BAKERSFIELD,,,CA1500483,VVVVVVVVV____,,,35.354135,Zip Code Centroid,0,KERN COUNTY,1,,110013130496,P.O. BOX 9094,10000,KERN,-119.06263
06107,9,,Y,CA,18030012,$0,1,Community water system,,06107,,ALLENSWORTH CSD,,09,,Y,9,1,CENTER OF A FACILITY OR STATION,,,,CA5400544,VVVVSVVVVVVVV,97.093,180300050804,35.85032,ADDRESS MATCHING-HOUSE NUMBER,1,TULARE COUNTY,2,93219,110013176179,,30,TULARE,-119.38435
