FacDerivedStctyFIPS,SDWAFormalActionCount,FacDateLastPenalty,SDWISFlag,FacState,FacDerivedHuc,FacTotalPenalties,Score,SDWASystemTypes,SDWAInspections5yr,FacFIPSCode,FacLastPenaltyAmt,FacName,FacZip,FacEPARegion,FacMajorFlag,NC,FacFormalActionCount,ViolFlag,FacReferencePoint,FacCity,FacImpWaterFlg,FacPenaltyCount,SDWAIDs,SDWA3yrComplQtrsHistory,FacPercentMinority,FacDerivedWBD,FacLat,FacCollectionMethod,CurrVioFlag,FacStdCountyName,SDWAInformalCount,FacDerivedZip,RegistryID,FacStreet,FacAccuracyMeters,FacCounty,FacLong
,,,Y,CO,,$0,1,Transient non-community system,,,,11 MILE SRA COYOTE RIDGE,99999,08,,N,0,0,,UNK,,,CO0247124,_____________,,,39.118914,County Centroid,0,,,,110051264993,UNK,30000,PARK,-105.717648
,,,Y,CO,,$0,1,Transient non-community system,,,,11 MILE SRA HOWBERT POINT,9999,08,,N,0,0,,UNK,,,CO0247123,_____________,,,39.118914,County Centroid,0,,,,110051264975,UNK,30000,PARK,-105.717648
,,,Y,CO,,$0,1,Transient non-community system,,,,11 MILE SRA LAZY BOY,99999,08,,N,0,0,,UNK,,,CO0247121,_____________,,,39.118914,County Centroid,0,,,,110051264939,UNK,30000,PARK,-105.717648
,,,Y,CO,,$0,1,Transient non-community system,,,,11 MILE SRA N SHORE PRESSURE,99999,08,,N,0,1,,UNK,,,CO0247106,VSSV_________,,,39.118914,County Centroid,0,,5,,110049587354,UNK,30000,PARK,-105.717648
,,,Y,CO,,$0,1,Transient non-community system,,,,11 MILE SRA ROCKY RIDGE LOOP E,99999,08,,N,0,1,,UNK,,,CO0247111,VVVVVVVV_____,,,39.118914,County Centroid,0,,2,,110049740429,UNK,30000,PARK,-105.717648
,,,Y,CO,,$0,1,Transient non-community system,,,,11 MILE SRA RODGERS MTN,99999,08,,N,0,0,,UNK,,,CO0247120,_____________,,,39.118914,County Centroid,0,,,,110051264911,UNK,30000,PARK,-105.717648
,,,Y,CO,,$0,1,Transient non-community system,,,,11 MILE SRA STOLL MTN,99999,08,,N,0,1,,UNK,,,CO0247117,__VVVVV______,,,39.118914,County Centroid,0,,2,,110049740535,UNK,30000,PARK,-105.717648
,,,Y,CO,,$0,1,Transient non-community system,,,,1859 RESTAURANT AT SEVEN FALLS,,08,,Y,0,1,,,,,CO0221820,______VVVVVVV,,,38.827383,County Centroid,1,,10,,110051259605,,30000,EL PASO,-104.527472
,,,Y,CO,,$0,1,Non-Transient non-community system,,,,285 BUSINESS PARK,99999,08,,N,0,0,,UNK,,,CO0230355,_____________,,,39.58646,County Centroid,0,,,,110049678489,UNK,30000,JEFFERSON,-105.245601
,,,Y,CO,,$0,1,Transient non-community system,,,,4 EAGLE RANCH,99999,08,,Y,0,1,,UNK,,,CO0219100,VVVVVVSSVVVVV,,,39.630638,County Centroid,1,,38,,110051254156,UNK,30000,EAGLE,-106.692944
,,,Y,CO,,$0,1,Community water system,,,,4 WAY RANCH MD 1,99999,08,,N,0,1,,UNK,,,CO0121111,__V__________,,,38.827383,County Centroid,0,,3,,110049801540,UNK,30000,EL PASO,-104.527472
,,,Y,CO,,$0,1,Community water system,,08025,,"96 PIPELINE CO, INC",81063,08,,Y,0,1,,ORDWAY,,,CO0113050,VVV___VVVVVVV,,,38.207608,Zip Code Centroid,1,CROWLEY COUNTY,12,,110013179434,"96 PIPELINE CO, INC",10000,CROWLEY,-103.794452
