FacDerivedStctyFIPS,SDWAFormalActionCount,FacDateLastPenalty,SDWISFlag,FacState,FacDerivedHuc,FacTotalPenalties,SDWAInspections5yr,SDWAIDs,FacLastPenaltyAmt,FacName,FacZip,FacEPARegion,FacDerivedZip,NC,FacFormalActionCount,ViolFlag,FacReferencePoint,FacCity,FacImpWaterFlg,FacPenaltyCount,FacFIPSCode,SDWA3yrComplQtrsHistory,FacDerivedWBD,FacLat,FacCollectionMethod,CurrVioFlag,FacStdCountyName,SDWAInformalCount,RegistryID,FacStreet,FacAccuracyMeters,FacCounty,FacLong
,,,Y,CT,,$0,,CT0970184,,1 DODGINGTOWN ROAD,,01,,N,0,1,,,,,,VV___________,,41.579784,State Centroid,0,,2,110050002849,,100000,FAIRFIELD,-72.746667
,,,Y,CT,,$0,,CT0750104,,1 FERRY ROAD,,01,,N,0,1,,,,,,VVVVVVVVVVV__,,41.579784,State Centroid,0,,11,110063343092,,100000,NEW LONDON,-72.746667
,,,Y,CT,,$0,,CT0769103,,1 ORCHARD PARK INDUSTRIAL AREA,,01,,N,0,0,,,,,,_____________,,41.579784,State Centroid,0,,,110049614057,,100000,NEW HAVEN,-72.746667
,,,Y,CT,,$0,,CT0565073,,1 SALMON BROOK STREET - GRANBY,,01,,Y,0,1,,,,,,VVVVVVVVVVVVV,,41.579784,State Centroid,1,,13,110049695521,,100000,HARTFORD,-72.746667
,2,,Y,CT,,$0,,CT0530294,,10 ROUTE 32 - FRANKLIN,,01,,N,2,0,,,,,,_____________,,41.579784,State Centroid,0,,1,110063343083,,100000,NEW LONDON,-72.746667
,,,Y,CT,,$0,,CT1090154,,1019 NORWICH ROAD,,01,,N,0,1,,,,,,___VV_VVVV___,,41.579784,State Centroid,0,,9,110049843470,,100000,WINDHAM,-72.746667
,,,Y,CT,,$0,,CT1530094,,1030 LITCHFIELD ROAD - WATERTOWN,,01,,Y,0,1,,,,,,SV__VVVVVVVVV,,41.579784,State Centroid,1,,6,110050031069,,100000,LITCHFIELD,-72.746667
,,,Y,CT,,$0,,CT0389134,,1041 NEW HAVEN ROAD - DURHAM,,01,,N,0,0,,,,,,_____________,,41.579784,State Centroid,0,,,110049613600,,100000,MIDDLESEX,-72.746667
,2,,Y,CT,,$0,,CT0610454,,106 BRIDGE ROAD - HADDAM,,01,,Y,2,1,,,,,,VVVVVVVVVVVVV,,41.579784,State Centroid,1,,7,110049741302,,100000,MIDDLESEX,-72.746667
,,,Y,CT,,$0,,CT0530264,,107 ROUTE 32,,01,,N,0,0,,,,,,_____________,,41.579784,State Centroid,0,,2,110049652960,,100000,NEW LONDON,-72.746667
,,,Y,CT,,$0,,CT0691223,,1075 NORTH MAIN STREET - KILLINGLY,,01,,Y,0,1,,,,,,VVVVVVVVVVVVV,,41.579784,State Centroid,1,,5,110049886888,,100000,WINDHAM,-72.746667
,,,Y,CT,,$0,,CT0820044,,108 MAIN STREET,,01,,N,0,0,,,,,,_____________,,41.579784,State Centroid,0,,,110049938617,,100000,MIDDLESEX,-72.746667
