FacDerivedStctyFIPS,SDWAFormalActionCount,FacDateLastPenalty,SDWISFlag,FacState,FacDerivedHuc,FacTotalPenalties,Score,SDWASystemTypes,SDWAInspections5yr,FacFIPSCode,FacLastPenaltyAmt,FacName,FacZip,FacEPARegion,FacMajorFlag,NC,FacFormalActionCount,ViolFlag,FacReferencePoint,FacCity,FacImpWaterFlg,FacPenaltyCount,SDWAIDs,SDWA3yrComplQtrsHistory,FacPercentMinority,FacDerivedWBD,FacLat,FacCollectionMethod,CurrVioFlag,FacStdCountyName,SDWAInformalCount,FacDerivedZip,RegistryID,FacStreet,FacAccuracyMeters,FacCounty,FacLong
,,,Y,DE,,$0,1,Transient non-community system,,,,301 PLAZA,,03,,N,0,0,,,,,DE00A0426,____________U,,,39.575915,County Centroid,0,,,,110049886281,,30000,NEW CASTLE,-75.644132
,,,Y,DE,,$0,1,Transient non-community system,,,,ABBOTTS MILL NATURE CENTER,,03,,N,0,0,,,,,DE0000852,____________U,,,38.677511,County Centroid,0,,,,110049999891,,30000,SUSSEX,-75.335495
,,,Y,DE,,$0,1,Transient non-community system,,,,AKRIDGE SCOUT RESERVATION,,03,,N,0,0,,,,,DE0020102,____________U,,,39.097088,County Centroid,0,,,,DE0020102,,30000,Kent,-75.502982
,,,Y,DE,,$0,1,Non-Transient non-community system,,,,ALLEN HARIM FOODS INC,,03,,Y,0,1,,,,,DE0000298,V___VVVVVVVVU,,,38.677511,County Centroid,1,,4,,110049990195,,30000,SUSSEX,-75.335495
,,,Y,DE,,$0,1,Transient non-community system,,,,"AMERICAN CLASSIC GOLF CLUB, LLC.",,03,,N,0,0,,,,,DE0020093,____________U,,,38.677511,County Centroid,0,,,,DE0020093,,30000,Sussex,-75.335495
,,,Y,DE,,$0,1,Community water system,,,,ANGOLA BEACH / ESTATES,,03,,Y,0,1,,,,,DE0000840,VVVVVVVVVVVVU,,,38.677511,County Centroid,1,,4,,110013191223,,30000,SUSSEX,-75.335495
,,,Y,DE,,$0,1,Community water system,,,,ANGOLA BY THE BAY,,03,,N,0,0,,,,,DE0000248,____________U,,,38.677511,County Centroid,0,,,,110013190590,,30000,SUSSEX,-75.335495
,,,Y,DE,,$0,1,Transient non-community system,1,,,ANGOLA CREST I,,03,,N,0,0,,,,,DE0000804,____________U,,,38.677511,County Centroid,0,,,,110049998295,,30000,SUSSEX,-75.335495
,,,Y,DE,,$0,1,Community water system,,,,ANGOLA CREST II,,03,,Y,0,1,,,,,DE0000999,_______VVVVVU,,,38.677511,County Centroid,1,,5,,110013191401,,30000,SUSSEX,-75.335495
,,,Y,DE,,$0,1,Transient non-community system,,,,ANYO PROPERTIES,,03,,N,0,1,,,,,DE0020037,VV__________U,,,38.677511,County Centroid,0,,3,,110049898553,,30000,SUSSEX,-75.335495
,,,Y,DE,,$0,1,Transient non-community system,,,,ARBYS - LEWES,,03,,N,0,0,,,,,DE00A0350,____________U,,,38.677511,County Centroid,0,,,,110049841061,,30000,SUSSEX,-75.335495
