FacDerivedStctyFIPS,SDWAFormalActionCount,FacDateLastPenalty,SDWISFlag,FacState,FacDerivedHuc,FacTotalPenalties,SDWAInspections5yr,SDWAIDs,FacLastPenaltyAmt,FacName,FacZip,FacEPARegion,FacDerivedZip,NC,FacFormalActionCount,ViolFlag,FacReferencePoint,FacCity,FacImpWaterFlg,FacPenaltyCount,FacFIPSCode,SDWA3yrComplQtrsHistory,FacDerivedWBD,FacLat,FacCollectionMethod,CurrVioFlag,FacStdCountyName,SDWAInformalCount,RegistryID,FacStreet,FacAccuracyMeters,FacCounty,FacLong
,,,Y,FL,,$0,4,FL2104404,,1 QUICKSTOP,,04,,N,0,0,,,,,,____________U,,29.987116,County Centroid,0,,,110053625047,,30000,CLAY,-81.858147
,,,Y,FL,,$0,,FL5114166,,1-75 REST AREA MM 63 NORTHSIDE,,04,,N,0,0,,,,,,____________U,,26.118713,County Centroid,0,,,FL5114166,,30000,Collier,-81.400884
,,,Y,FL,,$0,,FL6424726,,103RD STREET PLAZA,,04,,Y,0,1,,,,,,VVVVVVVVVVVVU,,29.202805,County Centroid,1,,1,110053961281,,30000,MARION,-82.0431
,,,Y,FL,,$0,,FL6588118,,1890 PLAZA,,04,,N,0,0,,,,,,____________U,,27.184386,County Centroid,0,,,110053988155,,30000,SARASOTA,-82.365835
,,,Y,FL,,$0,1,FL4134522,,1ST BAPTIST CHURCH OF HOMESTEAD,,04,,N,0,0,,,,,,____________U,,25.610494,County Centroid,0,,,110053862646,,30000,MIAMI-DADE,-80.499045
,,,Y,FL,,$0,,FL6296021,,1ST SOUTHERN METHODIST CHURCH,,04,,N,0,0,,,,,,____________U,,28.45743,State Centroid,0,,,110053776151,,100000,HILLS,-82.409148
,,,Y,FL,,$0,,FL6274589,,2 MY PLACES BAR (OLD NAME: WHITES SEPTIC,,04,,N,0,0,,,,,,____________U,,28.567911,County Centroid,0,,,110053934659,,30000,HERNANDO,-82.464835
,,,Y,FL,,$0,,FL3494320,,21 PALMS RV RESORT,,04,,N,0,1,,,,,,______VV____U,,28.059027,County Centroid,0,,1,110053784151,,30000,OSCEOLA,-81.139312
,,,Y,FL,,$0,,FL2624175,,221 GAS AND GRILL,,04,,N,0,1,,,,,,____VVV_____U,,30.016943,County Centroid,0,,,110053812111,,30000,TAYLOR,-83.616417
,,,Y,FL,,$0,1,FL2124295,,242 VILLAGE SUBDIVISION,32056,04,,N,0,0,,LAKE CITY,,,12023,____________U,,30.192119,Zip Code Centroid,0,COLUMBIA COUNTY,,110012894396,CR 242 @ SW THOMPKINS LOOP,10000,COLUMBIA,-82.639548
,,,Y,FL,,$0,,FL6284112,,27 TRUCK STOP,,04,,N,0,0,,,,,,____________U,,27.342627,County Centroid,0,,,110053827034,,30000,HIGHLANDS,-81.340921
,,,Y,FL,,$0,1,FL6294879,,301 GRILL/WAGON WHEEL TR PK,,04,,N,0,0,,,,,,____________U,,28.45743,State Centroid,0,,,110053725572,,100000,HILLS,-82.409148
,,,Y,FL,,$0,,FL2041444,,301 QUICKSTOP,,04,,N,0,0,,,,,,____________U,,29.946934,County Centroid,0,,,110053815804,,30000,BRADFORD,-82.166796
,,,Y,FL,,$0,,FL2554500,,4 LAKES CAMPGROUND,,04,,N,0,0,,,,,,____________U,,29.890593,County Centroid,0,,,FL2554500,,30000,St. Johns,-81.383914
,,,Y,FL,,$0,,FL3425154,,40 FATHOM GROTTO,,04,,N,0,0,,,,,,____________U,,29.202805,County Centroid,0,,,110063329250,,30000,MARION,-82.0431
,,,Y,FL,,$0,3,FL6292080,,42ND STREET APARTMENTS,,04,,N,0,0,,,,,,____________U,,28.45743,State Centroid,0,,,110013168393,,100000,HILLS,-82.409148
,,,Y,FL,,$0,,FL6512903,,4B FOOD STORE,,04,,N,0,0,,,,,,____________U,,28.302024,County Centroid,0,,,110053844621,,30000,PASCO,-82.455707
,,,Y,FL,,$0,,FL6296341,,5707 DOWNING STREET,,04,,N,0,0,,,,,,____________U,,28.45743,State Centroid,0,,,110053846816,,100000,HILLS,-82.409148
,,,Y,FL,,$0,,FL3354712,,7-11 #25783/192 S CLERMONT,,04,,N,0,0,,,,,,____________U,,28.764113,County Centroid,0,,,110053787318,,30000,LAKE,-81.712282
,,,Y,FL,,$0,6,FL6296185,,7-11 #33105A,,04,,Y,0,1,,,,,,VVVVVVVVVVVVU,,28.45743,State Centroid,1,,,110053752462,,100000,HILLS,-82.409148
,,,Y,FL,,$0,,FL6274874,,7-11 #35369,,04,,N,0,0,,,,,,____________U,,28.567911,County Centroid,0,,,110053913565,,30000,HERNANDO,-82.464835
,,,Y,FL,,$0,3,FL6292987,,7-ELEVEN STORE #32702,,04,,N,0,1,,,,,,VVVVVVVVVV__U,,28.45743,State Centroid,0,,,110053724010,,100000,HILLS,-82.409148
,,,Y,FL,,$0,,FL4474496,,700A COUNTRY STORE ; DINER,,04,,N,0,0,,,,,,____________U,,27.385592,County Centroid,0,,,110053745612,,30000,OKEECHOBEE,-80.887388
,,,Y,FL,,$0,3,FL5364157,,"714 BURNT STORE RD, LLC-7-ELEVEN STORE",,04,,N,0,0,,,,,,____________U,,26.552134,County Centroid,0,,2,110053639693,,30000,LEE,-81.89225
,,,Y,FL,,$0,,FL4434510,,76 GOLF WORLD,,04,,Y,0,1,,,,,,VVVVVVVVVVVVU,,27.079954,County Centroid,1,,,110053607174,,30000,MARTIN,-80.398211
,,,Y,FL,,$0,,FL3420006,,88 GROCERY STORE,,04,,N,0,0,,,,,,____________U,,29.202805,County Centroid,0,,,110053802382,,30000,MARION,-82.0431
,,,Y,FL,,$0,,FL6292476,,8910 EXECUTIVE CENTER I,,04,,N,0,0,,,,,,____________U,,28.45743,State Centroid,0,,,110053754004,,100000,HILLS,-82.409148
,,,Y,FL,,$0,1,FL6295965,,8910 EXECUTIVE CENTER II,,04,,N,0,0,,,,,,____________U,,28.45743,State Centroid,0,,,110053608002,,100000,HILLS,-82.409148
12057,,,Y,FL,03100206,$0,2,FL6290017,,A & A MHP,33610,04,33610,N,0,0,CENTER OF A FACILITY OR STATION,TAMPA,,,12057,V___________U,031002060301,27.98875,ADDRESS MATCHING-HOUSE NUMBER,0,HILLSBOROUGH COUNTY,,110013169917,11010 CLAY PIT ROAD,30,HILLS,-82.31377
,,,Y,FL,,$0,2,FL6532333,,A ; B RV ; MHP,,04,,N,0,1,,,,,,VVV_________U,,27.953115,County Centroid,0,,3,110053833642,,30000,POLK,-81.692783
,,,Y,FL,,$0,,FL1330752,,A CAMPERS WORLD RV PARK,,04,,N,0,0,,,,,,____________U,,30.424558,County Centroid,0,,,110053724573,,30000,JEFFERSON,-83.890859
,,,Y,FL,,$0,,FL3484384,,A GROWING PLACE CHILD CARE,,04,,N,0,1,,,,,,VVVVV_______U,,28.514435,County Centroid,0,,,110053743311,,30000,ORANGE,-81.323295
,,,Y,FL,,$0,2,FL6294756,,A KID KONNECTION ACADEMY,,04,,N,0,0,,,,,,____________U,,28.45743,State Centroid,0,,,110053889592,,100000,HILLS,-82.409148
,,,Y,FL,,$0,2,FL6292159,,A LITTLE KIDS ACADEMY,,04,,N,0,0,,,,,,____________U,,28.45743,State Centroid,0,,,110053956144,,100000,HILLS,-82.409148
12001,,,Y,FL,03110101,$0,,FL2014167,,A STEP AHEAD ENRICHMENT CENTER,32669,04,32669,N,0,0,CENTER OF A FACILITY OR STATION,NEWBERRY,,,12001,____________U,031101010100,29.65444,ADDRESS MATCHING-HOUSE NUMBER,0,ALACHUA COUNTY,,110053632645,21805 W NEWBERRY RD,30,ALACHUA,-82.5739
