FacDerivedStctyFIPS,SDWAFormalActionCount,FacDateLastPenalty,SDWISFlag,FacState,FacDerivedHuc,FacTotalPenalties,Score,SDWASystemTypes,SDWAInspections5yr,FacFIPSCode,FacLastPenaltyAmt,FacName,FacZip,FacEPARegion,FacMajorFlag,NC,FacFormalActionCount,ViolFlag,FacReferencePoint,FacCity,FacImpWaterFlg,FacPenaltyCount,SDWAIDs,SDWA3yrComplQtrsHistory,FacPercentMinority,FacDerivedWBD,FacLat,FacCollectionMethod,CurrVioFlag,FacStdCountyName,SDWAInformalCount,FacDerivedZip,RegistryID,FacStreet,FacAccuracyMeters,FacCounty,FacLong
,,,Y,GU,,$0,1,Non-Transient non-community system,,,,COCO PALM RESORT,96913,09,,N,0,0,,TAMUNING,,,GU0000017,____________U,,,13.4383,Zip Code Centroid,0,,6,,110053839664,TUMON,10000,GUAM,144.772929
,,,Y,GU,,$0,1,Non-Transient non-community system,,,,COCOS ISLAND WATER SYSTEM,96915,09,,N,0,1,,MERIZO,,,GU0000011,________VV__U,,,13.4383,Zip Code Centroid,0,,,,110053839600,MERIZO,10000,GUAM,144.772929
66010,,06/04/2010,Y,GU,,$0,1,Non-Transient non-community system,,66010,"$2,000",FOREMOST FOODS INC,96913,09,,N,0,0,CENTER OF FACILITY,TAMUNING,,,GU0000012,,0,220100000304,13.501887,INTERPOLATION-PHOTO,0,,,96913,110055500168,490 N MARINE CORPS DR,7,GUAM,144.80179
,,,Y,GU,,$0,1,Non-Transient non-community system,,,,GUAM PLAZA HOTEL,96913,09,,N,0,0,,TUMON,,,GU0000015,____________U,,,13.4383,Zip Code Centroid,0,,,,110064008595,1328 PALE SAN VITORES RD,10000,GUAM,144.772929
,,,Y,GU,,$0,1,Community water system,,,,GWA CENTRAL WATER SYSTEM,,09,,Y,0,1,,,,,GU0000003,SSSSSSSSSSSSU,,,13.4383,County Centroid,1,,28,,110013220497,,30000,GUAM,144.772929
,,,Y,GU,,$0,1,Community water system,,,,GWA NORTHERN WATER SYSTEM,,09,,Y,0,1,,,,,GU0000006,___________VU,,,13.4383,County Centroid,1,,,,110013220512,,30000,GUAM,144.772929
,,,Y,GU,,$0,1,Community water system,,,,GWA SOUTHERN WATER SYSTEM,,09,,Y,0,1,,,,,GU0000001,________VVVSU,,,13.4383,County Centroid,1,,5,,110013119847,,30000,GUAM,144.772929
66010,,11/08/2011,Y,GU,,$0,1,Non-Transient non-community system,,66010,"$7,500",TRANSPORTATION SECURITY AGENCY AT GUAM INTERNATIONAL AIRPORT,96913,09,,N,0,0,,TAMUNING,,,GU0000018,____________U,0,220100000304,13.493144,,0,,,96913,110006365888,355 CHALAN PASAHERU ST,99999999,GUAM,144.805447
,,,Y,GU,,$0,1,Community water system,,,,U.S. NAVY WATER SYSTEM,96637,09,,N,0,1,,AGANA NAVAL AIR STATION,,,GU0000010,VVV_________U,,,13.4383,County Centroid,0,,4,,110013120256,AGANA NAVAL AIR STATION,30000,GUAM,144.772929
66010,,01/17/2001,Y,GU,,$0,1,Community water system,1,66010,$300,US AFB- ANDERSON,96929,09,Y,N,1,1,,YIGO,,,GU0000009,VVVV________U,0,220100000100,13.572916,,0,,2,96929,110022811778,"ANDERSEN AFB, GUAM",17579,GUAM,144.897361
