FacDerivedStctyFIPS,SDWAFormalActionCount,FacDateLastPenalty,SDWISFlag,FacState,FacDerivedHuc,FacTotalPenalties,SDWAInspections5yr,SDWAIDs,FacLastPenaltyAmt,FacName,FacZip,FacEPARegion,FacDerivedZip,NC,FacFormalActionCount,ViolFlag,FacReferencePoint,FacCity,FacImpWaterFlg,FacPenaltyCount,FacFIPSCode,SDWA3yrComplQtrsHistory,FacDerivedWBD,FacLat,FacCollectionMethod,CurrVioFlag,FacStdCountyName,SDWAInformalCount,RegistryID,FacStreet,FacAccuracyMeters,FacCounty,FacLong
,,,Y,HI,,$0,,HI0000337,,ALIAMANU,,09,,N,0,0,,,,,15003,____________U,,21.461364,County Centroid,0,HONOLULU COUNTY,,110013119357,,30000,,-158.201976
,,,Y,HI,,$0,,HI0000432,,ANAHOLA FARM LOTS,96703,09,,N,0,0,,ANAHOLA,,,15007,____________U,,22.144799,Zip Code Centroid,0,KAUAI COUNTY,,110013117411,ANAHOLA FARM LOTS,10000,KAUAI,-159.314994
15003,,,Y,HI,20060000,$0,,HI0000355,,BARBERS POINT NAVAL AIR STATION,96862,09,96822,N,0,0,UNKNOWN,BARBERS POINT,,,15003,____________U,200600000303,21.296188,ADDRESS MATCHING-OTHER,0,HONOLULU COUNTY,,110014030235,NAVAL AIR STATION,183,HONOLULU,-157.813873
,,,Y,HI,,$0,,HI0000331,,BWS HONOLULU-WINDWARD-PEARL HARBOR,96801,09,,N,0,0,,HONOLULU,,,15003,____________U,,21.306495,Zip Code Centroid,0,HONOLULU COUNTY,,110013119115,BWS HONOLULU,10000,HONOLULU,-157.860379
,,,Y,HI,,$0,,HI0000365,,BWS KAHUKU,96731,09,,N,0,0,,KAHUKU,,,15003,____________U,,21.67814,Zip Code Centroid,0,HONOLULU COUNTY,,110013119767,BWS KAHUKU,10000,HONOLULU,-157.953609
,,,Y,HI,,$0,,HI0000367,,BWS MILILANI,96789,09,,N,0,0,,MILILANI,,,15003,____________U,,21.462983,Zip Code Centroid,0,HONOLULU COUNTY,,110013119794,BWS MILILANI,10000,HONOLULU,-158.002144
,,,Y,HI,,$0,,HI0000333,,BWS WAHIAWA,96786,09,,N,0,0,,WAHIAWA,,,15003,____________U,,21.498732,Zip Code Centroid,0,HONOLULU COUNTY,,110013119160,BWS WAHIAWA,10000,HONOLULU,-158.033673
,,,Y,HI,,$0,,HI0000332,,BWS WAIALUA,96791,09,,N,0,0,,WAIALUA,,,15003,____________U,,21.57091,Zip Code Centroid,0,HONOLULU COUNTY,,110013119133,BWS WAIALUA,10000,HONOLULU,-158.121674
,,,Y,HI,,$0,,HI0000366,,BWS WAILEE-SUNSET BEACH,96712,09,,N,0,0,,WAIALEE,,,15003,____________U,,21.651832,Zip Code Centroid,0,HONOLULU COUNTY,,110013220816,BWS WAILEE,10000,HONOLULU,-158.050753
,,,Y,HI,,$0,,HI0000335,,BWS WAIPAHU-EWA-WAIANAE,96797,09,,N,0,0,,WAIPAHU,,,15003,____________U,,21.399638,Zip Code Centroid,0,HONOLULU COUNTY,,110013119286,BWS WAIPAHU,10000,HONOLULU,-158.012661
,,,Y,HI,,$0,,HI0000334,,BWS WAIPIO HEIGHTS,96786,09,,N,0,0,,WAIPIO,,,15001,____________U,,21.498732,Zip Code Centroid,0,HAWAII COUNTY,,110013119197,BWS WAIPIO HEIGHTS,10000,HONOLULU,-158.033673
,,,Y,HI,,$0,,HI0000354,,CAMP STOVER,96854,09,,N,0,0,,WHEELER AIR FORCE BASE,,,,____________U,,21.31997,Zip Code Centroid,0,,,110013220772,WHEELER ARMY AIR FIELD,10000,HONOLULU,-158.06603
,,,Y,HI,,$0,,HI0000258,,CONSOLIDATED BASEYARDS,,09,,N,0,0,,,,,,____________U,,19.809767,State Centroid,0,,,110053998876,,100000,,-155.506103
15003,,,Y,HI,20060000,$0,,HI0000303,,DEL MONTE FRESH PRODUCE (HI),96786,09,96817,N,0,1,CENTER OF A FACILITY OR STATION,WAHIAWA,,,15003,VVVVVVV_____U,200600000302,21.32137,ADDRESS MATCHING-HOUSE NUMBER,0,HONOLULU COUNTY,6,110020736079,1308 HART STREET,30,HONOLULU,-157.87799
,,,Y,HI,,$0,,HI0000338,,DILLINGHAM,96791,09,,N,0,0,,MOKULEIA,,,15003,____________U,,21.57091,Zip Code Centroid,0,HONOLULU COUNTY,2,110013119384,DILLINGHAM ARMY BASE,10000,HONOLULU,-158.121674
,,,Y,HI,,$0,,HI0000326,,DILLINGHAM RANCH,96791,09,,N,0,0,,MOKULEIA,,,15003,____________U,,21.57091,Zip Code Centroid,0,HONOLULU COUNTY,,110013119017,DILLINGHAM ARMY BASE,10000,HONOLULU,-158.121674
,,,Y,HI,,$0,,HI0000401,,DW ANAHOLA,96703,09,,N,0,0,,ANAHOLA,,,15007,____________U,,22.144799,Zip Code Centroid,0,KAUAI COUNTY,,110013116751,KUHIO HIGHWAY,10000,KAUAI,-159.314994
,,,Y,HI,,$0,,HI0000402,,DW ANINI,96754,09,,N,0,0,,KILAUEA,,,15007,____________U,,22.203554,Zip Code Centroid,0,KAUAI COUNTY,,110013220834,KILAUEA ROAD,10000,KAUAI,-159.371746
,,,Y,HI,,$0,,HI0000415,,DW HAENA-WAINIHA,96714,09,,N,0,0,,HANALEI,,,15007,____________U,,22.203054,Zip Code Centroid,0,KAUAI COUNTY,,110013220898,DW HAENA-WAINIHA,10000,KAUAI,-159.496084
15007,,,Y,HI,20070000,$0,,HI0000403,,DW HANALEI,96714,09,96714,N,0,0,ENTRANCE POINT OF A FACILITY OR STATION,HANALEI,,,15007,____________U,200700000103,22.20266,ADDRESS MATCHING-HOUSE NUMBER,0,KAUAI COUNTY,,110013116779,KUHIO HIGHWAY,30,KAUAI,-159.49745
,,,Y,HI,,$0,,HI0000404,,DW HANAPEPE-ELEELE,96716,09,,N,0,0,,HANAPEPE,,,15007,____________U,,21.910643,Zip Code Centroid,0,KAUAI COUNTY,,110013116797,DW HANAPEPE-ELEELE,10000,KAUAI,-159.587963
,,,Y,HI,,$0,,HI0000434,,DW KALAHEO,96741,09,,N,0,0,,KALAHEO,,,15007,____________U,,21.923259,Zip Code Centroid,0,KAUAI COUNTY,,110013117466,DW KALAHEO,10000,KAUAI,-159.521765
,,,Y,HI,,$0,,HI0000406,,DW KEKAHA,96752,09,,N,0,0,,KEKAHA,,,15007,____________U,,21.970418,Zip Code Centroid,0,KAUAI COUNTY,2,110013116831,DW KEKAHA,10000,KAUAI,-159.712999
,,,Y,HI,,$0,,HI0000407,,DW KILAUEA,96754,09,,N,0,0,,KALIHIWAI,,,15007,____________U,,22.203554,Zip Code Centroid,0,KAUAI COUNTY,,110013220852,DW KILAUEA,10000,KAUAI,-159.371746
,,,Y,HI,,$0,,HI0000161,,DWS HAINA,96727,09,,N,0,0,,HONOKAA,,,15001,____________U,,20.064837,Zip Code Centroid,0,HAWAII COUNTY,,110013121237,DWS HAINA,10000,HAWAII,-155.488764
,,,Y,HI,,$0,,HI0000154,,DWS HAKALAU-WAILEA,96710,09,,N,0,0,,HAKALAU,,,15001,____________U,,19.898523,Zip Code Centroid,0,HAWAII COUNTY,,110013121157,DWS HAKALAU-WAILEA,10000,HAWAII,-155.129507
,,,Y,HI,,$0,,HI0000217,,DWS HANA,96713,09,,N,0,0,,HANA,,,15009,____________U,,20.785448,Zip Code Centroid,0,MAUI COUNTY,,110013118358,DWS HANA,10000,MAUI,-156.031869
,,,Y,HI,,$0,,HI0000101,,DWS HILO,96720,09,,N,0,0,,HILO,,,15001,____________U,,19.712686,Zip Code Centroid,0,HAWAII COUNTY,,110013220530,DWS HILO,10000,HAWAII,-155.096853
,,,Y,HI,,$0,,HI0000218,,DWS HONOKOHAU,96725,09,,N,0,0,,HONOKOHAU,,,15001,____________U,,19.649872,Zip Code Centroid,0,HAWAII COUNTY,,110013118385,DWS HONOKOHAU,10000,HAWAII,-155.942615
,,,Y,HI,,$0,,HI0000105,,DWS HONOMU,96728,09,,N,0,0,,HONOMU,,,15001,____________U,,19.872538,Zip Code Centroid,0,HAWAII COUNTY,,110013120345,DWS HONOMU,10000,HAWAII,-155.112109
,,,Y,HI,,$0,,HI0000235,,DWS KALAE,96729,09,,N,0,0,,KALAE,,,15009,____________U,,21.170588,Zip Code Centroid,0,MAUI COUNTY,,110013118624,DWS KALAE,10000,MAUI,-157.067834
,,,Y,HI,,$0,,HI0000110,,DWS KALAPANA,96778,09,,N,0,0,,KALAPANA,,,15001,____________U,,19.508504,Zip Code Centroid,0,HAWAII COUNTY,,110013120513,DWS KALAPANA,10000,HAWAII,-154.932135
,,,Y,HI,,$0,,HI0000234,,DWS KAUNAKAKAI,96748,09,,N,0,0,,KAUNAKAKAI,,,15009,____________U,,21.072336,Zip Code Centroid,0,MAUI COUNTY,,110013220736,DWS KAUNAKAKAI,10000,MAUI,-156.954089
