FacDerivedStctyFIPS,SDWAFormalActionCount,FacDateLastPenalty,SDWISFlag,FacState,FacDerivedHuc,FacTotalPenalties,Score,SDWASystemTypes,SDWAInspections5yr,FacFIPSCode,FacLastPenaltyAmt,FacName,FacZip,FacEPARegion,FacMajorFlag,NC,FacFormalActionCount,ViolFlag,FacReferencePoint,FacCity,FacImpWaterFlg,FacPenaltyCount,SDWAIDs,SDWA3yrComplQtrsHistory,FacPercentMinority,FacDerivedWBD,FacLat,FacCollectionMethod,CurrVioFlag,FacStdCountyName,SDWAInformalCount,FacDerivedZip,RegistryID,FacStreet,FacAccuracyMeters,FacCounty,FacLong
,,,Y,IA,,$0,1,Transient non-community system,4,,,2ND PLEASANT VIEW SUBDIVISION,,07,,Y,0,1,,,,,IA9909305,_VVVVVVVVVVVU,,,42.733007,County Centroid,1,,51,,110054067521,,30000,WRIGHT,-93.734735
,,,Y,IA,,$0,1,Transient non-community system,,,,61 DRIVE-IN THEATRE,,07,,N,0,1,,,,,IA2328801,_____V___V__U,,,41.898073,County Centroid,0,,13,,110053837522,,30000,CLINTON,-90.534243
,,,Y,IA,,$0,1,Non-Transient non-community system,,,,ABSOLUTE ENERGY LLC,,07,,N,0,0,,,,,IA6649801,____________U,,,43.348564,County Centroid,0,,3,,110053824028,,30000,MITCHELL,-92.784466
19061,,,Y,IA,07060005,$0,1,Community water system,,19061,,ACE MOBILE HOME PARK,52003,07,,N,0,0,CENTER OF A FACILITY OR STATION,DUBUQUE,,,IA3100629,____________U,8.818,070600050102,42.48352,ADDRESS MATCHING-HOUSE NUMBER,0,DUBUQUE COUNTY,,52003,110013108537,701 CEDAR CROSS ROAD,30,DUBUQUE,-90.71608
,,,Y,IA,,$0,1,Transient non-community system,3,,,ACKLEY CREEK PARK,,07,,N,0,0,,,,,IA3420499,____________U,,,43.052741,County Centroid,0,,12,,110054015267,,30000,FLOYD,-92.787367
19083,,,Y,IA,07080205,$0,1,Community water system,,19083,,ACKLEY MUNICIPAL WATER WORKS,50601,07,,N,0,1,ENTRANCE POINT OF A FACILITY OR STATION,ACKLEY,,,IA4201001,VVVVVVVVVV__U,8.91,070802050101,42.554967,ADDRESS MATCHING-HOUSE NUMBER,0,HARDIN COUNTY,2,50601,110013105923,208 STATE STREET,50,HARDIN,-93.051709
,,,Y,IA,,$0,1,Transient non-community system,3,,,ACORN PARK GOLF & COUNTRY CLUB,,07,,N,0,0,,,,,IA6673201,____________U,,,43.348564,County Centroid,0,,,,110053836051,,30000,MITCHELL,-92.784466
19001,,,Y,IA,07100008,$0,1,Community water system,,19001,,ADAIR MUNICIPAL WATER SUPPLY,50002,07,,N,0,0,CENTER OF A FACILITY OR STATION,ADAIR,,,IA0105002,____________U,2.121,071000080602,41.50061,ADDRESS MATCHING-HOUSE NUMBER,0,ADAIR COUNTY,,50002,110013220932,320 AUDUBON STREET,30,ADAIR,-94.64218
19077,,,Y,IA,07100008,$0,1,Non-Transient non-community system,,19077,,ADAIR-CASEY COMMUNITY SCHOOL,50002,07,,Y,0,1,CENTER OF A FACILITY OR STATION,ADAIR,,,IA0105509,____________U,2.113,071000080602,41.52004,ADDRESS MATCHING-HOUSE NUMBER,1,GUTHRIE COUNTY,1,50002,110036278051,3384 INDIGO AVE,30,ADAIR,-94.58589
19049,,,Y,IA,07100006,$0,1,Community water system,,19049,,ADEL MUNICIPAL WATER WORKS,50003,07,,N,0,0,ENTRANCE POINT OF A FACILITY OR STATION,ADEL,,,IA2503003,____________U,3.586,071000061505,41.619279,ADDRESS MATCHING-HOUSE NUMBER,0,DALLAS COUNTY,,50003,110013109563,308 NORTH 5TH STREET,50,DALLAS,-94.013881
19155,,,Y,IA,10230006,$0,1,Transient non-community system,,19155,,AEROPLANE INN,51542,07,,Y,0,1,CENTER OF A FACILITY OR STATION,HONEY CREEK,,,IA7822795 IA7836201,VVVVVVVVVVVVU,2.507,102300060503,41.43264,ADDRESS MATCHING-HOUSE NUMBER,1,POTTAWATTAMIE COUNTY,9,51542,110053997528,28935 OLD LINCOLN HWY,30,POTTAWATTAMIE,-95.86185
,,,Y,IA,,$0,1,Non-Transient non-community system,,,,AG PROCESSING - REFINERY,,07,,N,0,0,,,,,IA9774003,____________U,,,42.39322,County Centroid,0,,,,IA9774003,,30000,Woodbury,-96.053296
,,,Y,IA,,$0,1,Non-Transient non-community system,,,,AG PROCESSING INC - ALGONA,,07,,N,0,0,,,,,IA5502101,V___________U,,,43.212478,County Centroid,0,,3,,110053846344,,30000,KOSSUTH,-94.213983
