FacDerivedStctyFIPS,SDWAFormalActionCount,FacDateLastPenalty,SDWISFlag,FacState,FacDerivedHuc,FacTotalPenalties,Score,SDWASystemTypes,SDWAInspections5yr,FacFIPSCode,FacLastPenaltyAmt,FacName,FacZip,FacEPARegion,FacMajorFlag,NC,FacFormalActionCount,ViolFlag,FacReferencePoint,FacCity,FacImpWaterFlg,FacPenaltyCount,SDWAIDs,SDWA3yrComplQtrsHistory,FacPercentMinority,FacDerivedWBD,FacLat,FacCollectionMethod,CurrVioFlag,FacStdCountyName,SDWAInformalCount,FacDerivedZip,RegistryID,FacStreet,FacAccuracyMeters,FacCounty,FacLong
,,,Y,ID,,$0,1,Transient non-community system,,,,"11 LABELLE 3 RIGBY 2,3",,10,,N,0,0,,,,,ID7260074,____________U,,,43.796965,County Centroid,0,,,,110053952941,,30000,JEFFERSON,-112.318588
,,,Y,ID,,$0,1,Transient non-community system,,,,2 SISTERS COUNTRY STORE,,10,,N,0,1,,,,,ID4430094,VVVVVVVVVVVVU,,,44.771532,County Centroid,0,,2,,110054036823,,30000,VALLEY,-115.637875
,,,Y,ID,,$0,1,Transient non-community system,,,,3 GS CONVENIENCE STORE,,10,,Y,0,1,,,,,ID6060091,VVVVVVVVVVVSU,,,43.216357,County Centroid,1,,,,110051318891,,30000,BINGHAM,-112.399206
,,,Y,ID,,$0,1,Transient non-community system,,,,44 QUICK STOP,,10,,N,0,0,,,,,ID3140216,____________U,,,43.623051,County Centroid,0,,,,110051353147,,30000,CANYON,-116.708527
,,,Y,ID,,$0,1,Transient non-community system,,,,7 RIVERS LIVESTOCK COMMISSION,,10,,N,0,1,,,,,ID3230055,VVVVVVSVV___U,,,44.061473,County Centroid,0,,4,,110054058238,,30000,GEM,-116.398784
,,,Y,ID,,$0,1,Transient non-community system,,,,7N RANCH,,10,,N,0,1,,,,,ID7260059,VV__________U,,,43.796965,County Centroid,0,,,,110053952790,,30000,JEFFERSON,-112.318588
16011,,,Y,ID,17040206,$0,1,Non-Transient non-community system,,16011,,A W JOHNSON ELEMENTARY SCHOOL,83236,10,,N,0,1,ENTRANCE POINT OF A FACILITY OR STATION,FIRTH,,,ID6060017,___VV_______U,14.481,170402060304,43.301752,ADDRESS MATCHING-HOUSE NUMBER,0,BINGHAM COUNTY,4,83236,110027111729,735 N 600 E,50,BINGHAM,-112.178342
16011,,,Y,ID,17040206,$0,1,Community water system,,16011,,ABERDEEN CITY WATER,83210,10,,Y,0,1,FACILITY CENTROID,ABERDEEN,,,ID6060001,__VVVVVVVVVVU,50.539,170402060704,42.94482,INTERPOLATION-PHOTO,1,BINGHAM COUNTY,2,83210,110067150264,N 2ND E,379,BINGHAM,-112.836054
,,,Y,ID,,$0,1,Non-Transient non-community system,,,,ACEQUIA SCHOOL,,10,,Y,0,1,,,,,ID5340037,VVVSSVVVVVVVU,,,42.856937,County Centroid,1,,3,,110054019110,,30000,MINIDOKA,-113.64001
,,,Y,ID,,$0,1,Transient non-community system,,,,ACME WATER WORKS,,10,,N,0,0,,,,,ID1090254,____________U,,,48.312512,County Centroid,0,,,,110054066372,,30000,BONNER,-116.59694
16029,,,Y,ID,17040207,$0,1,Non-Transient non-community system,,16029,,AGRIUM DBA NU WEST INC - DRY VALLEY MINE,83276,10,,N,0,0,STORAGE TANK,SODA SPRINGS,Y,,ID6150040,,0,170402070206,42.747806,,0,CARIBOU COUNTY,2,83276,110020139991,2275 DRY VALLEY RD,17481,CARIBOU,-111.328319
16035,,,Y,ID,17060308,$0,1,Community water system,,16035,,AHSAHKA WATER AND SEWER DISTRICT WELL,83520,10,,Y,0,1,FACILITY CENTROID,AHSAHKA,,,ID2180001,VVVVVVVVVVSVU,8.692,170603080804,46.505427,INTERPOLATION-PHOTO,1,CLEARWATER COUNTY,30,83520,110013077981,CAVENDISH HWY,178,CLEARWATER,-116.323964
,,,Y,ID,,$0,1,Transient non-community system,,,,ALACCA BIBLE CAMP,,10,,Y,0,1,,,,,ID2250001,VVVVVVVVVVVVU,,,45.849237,County Centroid,1,,8,,110051358794,,30000,IDAHO,-115.467376
,,,Y,ID,,$0,1,Non-Transient non-community system,,,,ALBENI FALLS BLDG SUPPLY INC,,10,,Y,0,1,,,,,ID1090225,VVVVVVVVVVVVU,,,48.312512,County Centroid,1,,,,110054016747,,30000,BONNER,-116.59694
16017,,,Y,ID,17010216,$0,1,Non-Transient non-community system,,16017,,ALBENI FALLS DAM USACE,83822,10,,Y,0,1,,OLDTOWN,Y,,ID1090025,VVVVVVVVVVVVU,7.71,170102160103,48.1804,,1,BONNER COUNTY,6,83822,110006361123,2376 US-2,17511,BONNER,-116.9987
16031,,,Y,ID,17040209,$0,1,Community water system,,16031,,ALBION CITY WATER,83311,10,,Y,0,1,FACILITY CENTROID,ALBION,,,ID5160001,VVVVVVVVVVVVU,5.882,170402090601,42.412617,INTERPOLATION-PHOTO,1,CASSIA COUNTY,16,83311,110013065734,200 E NORTH ST,383,CASSIA,-113.577647
16017,,,Y,ID,17010214,$0,1,Community water system,,16017,,ALGOMA ADDITION SUBDIVISION WELL,83860,10,,Y,0,1,FACILITY CENTROID,SAGLE,,,ID1090001,VVVVVVVVVVVVU,4.44,170102140301,48.197395,INTERPOLATION-PHOTO,1,BONNER COUNTY,1,83860,110013085375,NORMAN WAY,173,BONNER,-116.568088
,,,Y,ID,,$0,1,Transient non-community system,,,,ALL AMERICAN MARKET,,10,,Y,0,1,,,,,ID6060093,VVVVVVVSVVVVU,,,43.216357,County Centroid,1,,3,,110051318926,,30000,BINGHAM,-112.399206
,,,Y,ID,,$0,1,Transient non-community system,,,,ALL SEASONS LAKE OWNERS ASSN,,10,,Y,0,1,,,,,ID1280269,VVVVVVVVVVVVU,,,47.677113,County Centroid,1,,4,,110054060305,,30000,KOOTENAI,-116.694918
,,,Y,ID,,$0,1,Transient non-community system,,,,ALLENDALE PRODUCE,,10,,N,0,1,,,,,ID3140212,SVVVVVVV____U,,,43.623051,County Centroid,0,,4,,110051353101,,30000,CANYON,-116.708527
,,,Y,ID,,$0,1,Transient non-community system,,,,ALMO CREEK OUTPOST,,10,,Y,0,1,,,,,ID5160077,VVSVVVVVVVVVU,,,42.288635,County Centroid,1,,19,,110051332857,,30000,CASSIA,-113.605498
,,,Y,ID,,$0,1,Transient non-community system,,,,ALMO ELEMENTARY SCHOOL,,10,,N,0,1,,,,,ID5160002,__VVVVVVVVVVU,,,42.288635,County Centroid,0,,5,,110054025568,,30000,CASSIA,-113.605498
16055,,,Y,ID,17010305,$0,1,Community water system,,16055,,ALPINE MEADOWS WATER AND SEWER DIST WELL,83858,10,,N,0,0,FACILITY CENTROID,RATHDRUM,,,ID1280002,____________U,5.963,170103050304,47.831452,INTERPOLATION-PHOTO,0,KOOTENAI COUNTY,,83858,110013081208,W GARWOOD RD,174,KOOTENAI,-116.799535
,,,Y,ID,,$0,1,Transient non-community system,,,,ALPINE STORE,,10,,Y,0,1,,,,,ID3020029,VVVVVVVVVVVVU,,,44.884583,County Centroid,1,,13,,110053973811,,30000,ADAMS,-116.431873
,,,Y,ID,,$0,1,Non-Transient non-community system,,,,ALZAR SCHOOL INC,,10,,N,0,0,,,,,ID4430111,____________U,,,44.771532,County Centroid,0,,,,110064360864,,30000,VALLEY,-115.637875
,,,Y,ID,,$0,1,Transient non-community system,,,,AMBER INN II,,10,,N,0,1,,,,,ID5270002,VVVVVV______U,,,42.691172,County Centroid,0,,2,,110054042166,,30000,JEROME,-114.263009
,,,Y,ID,,$0,1,Transient non-community system,,,,AMBER INN MOTEL,,10,,Y,0,1,,,,,ID5240001,VVSSSVVVVVSVU,,,42.973185,County Centroid,1,,16,,110054037859,,30000,GOODING,-114.82142
16077,,,Y,ID,17040206,$0,1,Community water system,,16077,,AMERICAN FALLS CITY WATER FACILITY,83211,10,,Y,0,1,FACILITY CENTROID,AMERICAN FALLS,,,ID6390001,VVVVVVVVVVVVU,40.503,170402061009,42.779462,INTERPOLATION-PHOTO,1,POWER COUNTY,4,83211,110013062407,MOONLIGHT LN,190,POWER,-112.843511
,,,Y,ID,,$0,1,Non-Transient non-community system,,,,AMERICAN HERITAGE CHARTER SCHOOL,,10,,N,0,0,,,,,ID7100219,____________U,,,43.395171,County Centroid,0,,,,110063373736,,30000,BONNEVILLE,-111.621878
,,,Y,ID,,$0,1,Transient non-community system,,,,AMERICAN MOTEL,,10,,Y,0,1,,,,,ID6390004,VVVVVVVVVVVVU,,,42.694126,County Centroid,1,,6,,110054051333,,30000,POWER,-112.844407
,,,Y,ID,,$0,1,Non-Transient non-community system,,,,AMERICOLD,,10,,N,0,1,,,,,ID5160087,VSVSSSSSV___U,,,42.288635,County Centroid,0,,9,,110063330051,,30000,CASSIA,-113.605498
,,,Y,ID,,$0,1,Transient non-community system,,,,AMITY LOCUST GROVE LDS CHURCH,,10,,Y,0,1,,,,,ID4010262,VVVVVVVVVVVVU,,,43.447861,County Centroid,1,,21,,110063373371,,30000,ADA,-116.244456
,,,Y,ID,,$0,1,Transient non-community system,,,,AMMON 10-13 WARD LDS CHURCH,,10,,N,0,1,,,,,ID7100198,__________V_U,,,43.395171,County Centroid,0,,3,,110051336032,,30000,BONNEVILLE,-111.621878
16019,,,Y,ID,17040201,$0,1,Community water system,,16019,,AMMON CITY WATER,83406,10,,Y,0,1,FACILITY CENTROID,AMMON,,,ID7100004,VVVVVVVVVVVVU,14.405,170402070503,43.475926,INTERPOLATION-PHOTO,1,BONNEVILLE COUNTY,4,83406,110013062639,WILLIAMS ST,188,BONNEVILLE,-111.973845
,,,Y,ID,,$0,1,Transient non-community system,,,,ANCHOR BAPTIST CHURCH,,10,,Y,0,1,,,,,ID4010248,VVVVVVVVVVVVU,,,43.447861,County Centroid,1,,2,,110054035209,,30000,ADA,-116.244456
,,,Y,ID,,$0,1,Non-Transient non-community system,,,,ANDERSEN MANUFACTURING INC,,10,,Y,0,1,,,,,ID7100125,VVVVVVVVVVVVU,,,43.395171,County Centroid,1,,,,110053937905,,30000,BONNEVILLE,-111.621878
,,,Y,ID,,$0,1,Transient non-community system,,,,ANDERSON CAMP,,10,,N,0,1,,,,,ID5270003,VVVVVVVVVVVVU,,,42.691172,County Centroid,0,,9,,110054042175,,30000,JEROME,-114.263009
16001,,,Y,ID,17050114,$0,1,Community water system,,16001,,ANDERSON CIRCLE WATER CORPORATION,83705,10,,Y,0,1,FACILITY CENTROID,BOISE,,,ID4010005,VVVVVVVVVVVVU,15.245,170501140403,43.5813,INTERPOLATION-PHOTO,1,ADA COUNTY,11,83705,110013073360,W SALEM ST,375,ADA,-116.200874
,,,Y,ID,,$0,1,Transient non-community system,,,,ANGLERS LODGE,,10,,Y,0,1,,,,,ID7220130,VVVVVVVVVVVVU,,,44.218091,County Centroid,1,,8,,110053993041,,30000,FREMONT,-111.484429
,,,Y,ID,,$0,1,Transient non-community system,,,,ANGUS REST AND U SERVE,,10,,N,0,1,,,,,ID7100006,VVVVVVVVVVV_U,,,43.395171,County Centroid,0,,2,,110051319033,,30000,BONNEVILLE,-111.621878
16037,,,Y,ID,17040218,$0,1,Community water system,,16037,,ANTELOPE CREEK LIVING CENTER WELL,83255,10,,N,0,1,FACILITY CENTROID,LOST RIVER,,,ID7190001,VVVVV____VV_U,6.114,170402180608,43.814287,INTERPOLATION-PHOTO,0,CUSTER COUNTY,2,83251,110013213575,W 3700 N,18687,CUSTER,-113.427803
16027,,,Y,ID,17050114,$0,1,Community water system,,16027,,APACHE HEIGHTS SUBDIVISION 2 WELL,83686,10,,N,0,0,FACILITY CENTROID,NAMPA,,,ID3140005,____________U,22.768,170501140507,43.530571,INTERPOLATION-PHOTO,0,CANYON COUNTY,,83686,110013077133,APACHE DR,188,CANYON,-116.543189
16057,,,Y,ID,17060108,$0,1,Community water system,,16057,,APEX LIVING COMMUNITY,83843,10,,Y,0,1,FACILITY CENTROID,MOSCOW,,,ID2290024,VVVVVVVVSVVVU,11.543,170601080201,46.716338,INTERPOLATION-PHOTO,1,LATAH COUNTY,22,83843,110013075938,MOUNTAIN VIEW TRAILER CT,355,LATAH,-116.96502
,,,Y,ID,,$0,1,Transient non-community system,,,,APOSTOLIC HOUSE OF PRAYER,,10,,Y,0,1,,,,,ID5340039,VVVVVVVVVVVVU,,,42.856937,County Centroid,1,,11,,110063346035,,30000,MINIDOKA,-113.64001
,,,Y,ID,,$0,1,Non-Transient non-community system,,,,APPALOOSA HORSE CLUB,,10,,Y,0,1,,,,,ID2290054,VVVVVVVVVVVVU,,,46.81892,County Centroid,1,,2,,110053943961,,30000,LATAH,-116.730974
,,,Y,ID,,$0,1,Non-Transient non-community system,,,,APPLETON PRODUCE FRESH PACK PLANT,,10,,N,0,0,,,,,ID3440027,____________U,,,44.448213,County Centroid,0,,,,110054066121,,30000,WASHINGTON,-116.79783
,,,Y,ID,,$0,1,Transient non-community system,,,,AQUA DRILLING WATER SYSTEM,,10,,Y,0,1,,,,,ID1280233,VVVVVVVVVVVVU,,,47.677113,County Centroid,1,,4,,110054069100,,30000,KOOTENAI,-116.694918
,,,Y,ID,,$0,1,Transient non-community system,,,,ARBON LDS CHURCH,,10,,N,0,0,,,,,ID6390038,____________U,,,42.694126,County Centroid,0,,,,110063339935,,30000,POWER,-112.844407
,,,Y,ID,,$0,1,Transient non-community system,,,,ARCHER LDS MTGHS,,10,,N,0,0,,,,,ID7330003,____________U,,,43.789709,County Centroid,0,,,,110053928595,,30000,MADISON,-111.65655
16023,,,Y,ID,17040218,$0,1,Community water system,,16023,,ARCO CITY WATER,83213,10,,Y,0,1,FACILITY CENTROID,ARCO,,,ID6120001,VVVVVVVVVVVVU,5.147,170402180803,43.634967,INTERPOLATION-PHOTO,1,BUTTE COUNTY,8,83213,110013061417,N WATER ST,187,BUTTE,-113.303627
,,,Y,ID,,$0,1,Transient non-community system,,,,ARDYS BAKERY,,10,,Y,0,1,,,,,ID1090248,VVVVVVVVVVVVU,,,48.312512,County Centroid,1,,2,,110054066345,,30000,BONNER,-116.59694
16005,,,Y,ID,17040208,$0,1,Community water system,,16005,,ARIMO CITY WATER,83214,10,,Y,0,1,FACILITY CENTROID,ARIMO,,,ID6030002,VVVVVVVVVVVVU,7.708,170402080401,42.558198,INTERPOLATION-PHOTO,1,BANNOCK COUNTY,2,83214,110013213094,EAST ST,191,BANNOCK,-112.165156
16055,,,Y,ID,17010303,$0,1,Community water system,,16055,,ARROW POINT PARK WELLS,83833,10,,Y,0,1,FACILITY CENTROID,HARRISON,,,ID1280252,VVVVVVVVVVVVU,5.477,170103030406,47.626258,INTERPOLATION-PHOTO,1,KOOTENAI COUNTY,2,83833,110054016943,S ARROW POINT DR,349,KOOTENAI,-116.769369
16001,,,Y,ID,17050114,$0,1,Community water system,,16001,,ARROWROCK RANCH SUBDIVISION,83634,10,,N,0,1,FACILITY CENTROID,KUNA,,,ID4010247,VVVVVVVVVVVVU,6.064,170501140505,43.455723,INTERPOLATION-PHOTO,0,ADA COUNTY,3,83634,110054035192,W KUNA MORA RD,188,ADA,-116.329443
,,,Y,ID,,$0,1,Non-Transient non-community system,,,,ARTCO,,10,,N,0,0,,,,,ID7330055,____________U,,,43.789709,County Centroid,0,,,,110054036459,,30000,MADISON,-111.65655
16005,,08/14/2013,Y,ID,17040208,$0,1,Non-Transient non-community system,,16005,"$398,279",ASH GROVE CEMENT,83245,10,,N,0,1,CENTER OF A FACILITY OR STATION,INKOM,Y,,ID6030022,,5.398,170402080503,42.79098,INTERPOLATION-MAP,0,BANNOCK COUNTY,,83245,110000468342,230 CEMENT RD,100,BANNOCK,-112.25082
16055,,,Y,ID,17010305,$0,1,Community water system,,16055,,ASHLEY ESTATES WATER ASSOCIATION WELL,83858,10,,Y,0,1,FACILITY CENTROID,RATHDRUM,,,ID1280273,VVVVVVVVVVVVU,5.92,170103050304,47.846544,INTERPOLATION-PHOTO,1,KOOTENAI COUNTY,6,83858,110013080600,N AMBER CT,174,KOOTENAI,-116.803038
16043,,,Y,ID,17040202,$0,1,Community water system,,16043,,ASHTON CITY WATER,83420,10,,Y,0,1,FACILITY CENTROID,ASHTON,,,ID7220004,VVVVVVVVVVVVU,17.227,170402020701,44.070999,INTERPOLATION-PHOTO,1,FREMONT COUNTY,,83420,110013213593,S 10TH ST,372,FREMONT,-111.441214
,,,Y,ID,,$0,1,Transient non-community system,,,,ASHTON LDS CHURCH,,10,,N,0,1,,,,,ID7220109,VV__________U,,,44.218091,County Centroid,0,,,,110054014847,,30000,FREMONT,-111.484429
