FacDerivedStctyFIPS,SDWAFormalActionCount,FacDateLastPenalty,SDWISFlag,FacState,FacDerivedHuc,FacTotalPenalties,Score,SDWASystemTypes,SDWAInspections5yr,FacFIPSCode,FacLastPenaltyAmt,FacName,FacZip,FacEPARegion,FacMajorFlag,NC,FacFormalActionCount,ViolFlag,FacReferencePoint,FacCity,FacImpWaterFlg,FacPenaltyCount,SDWAIDs,SDWA3yrComplQtrsHistory,FacPercentMinority,FacDerivedWBD,FacLat,FacCollectionMethod,CurrVioFlag,FacStdCountyName,SDWAInformalCount,FacDerivedZip,RegistryID,FacStreet,FacAccuracyMeters,FacCounty,FacLong
,,,Y,IL,,$0,1,Transient non-community system,,,,161 STORE IT,,05,,N,0,0,,,,,IL3161588,____________U,,,38.606423,County Centroid,0,,,,IL3161588,,30000,Clinton,-89.423136
,,,Y,IL,,$0,1,Transient non-community system,,,,1ST CHURCH OF THE NAZARENE,,05,,N,0,0,,,,,IL3119859,____________U,,,41.894294,County Centroid,0,,,,110051612199,,30000,COOK,-87.645455
,,,Y,IL,,$0,1,Non-Transient non-community system,,,,1ST CHURCH OF THE OPEN BIBLE,,05,,N,0,0,,,,,IL3051250,____________U,,,42.349726,County Centroid,0,,,,110051495798,,30000,STEPHENSON,-89.665994
,,,Y,IL,,$0,1,Non-Transient non-community system,,,,2 RIVERS HEAD START DAY CARE,,05,,N,0,0,,,,,IL3068866,____________U,,,41.939594,County Centroid,0,,,,110051350060,,30000,KANE,-88.42804
,,,Y,IL,,$0,1,Transient non-community system,,,,2022 FOODMART INC,,05,,N,0,0,,,,,IL3130872,____________U,,,42.324298,County Centroid,0,,,,110051612135,,30000,MCHENRY,-88.452245
,,,Y,IL,,$0,1,Transient non-community system,,,,24 7 ICE PONTIAC,,05,,N,0,0,,,,,IL3158071,____________U,,,40.894376,County Centroid,0,,,,110063340843,,30000,LIVINGSTON,-88.552852
,,,Y,IL,,$0,1,Transient non-community system,,,,31 NORTH,,05,,N,0,0,,,,,IL3062505,____________U,,,42.324298,County Centroid,0,,,,110051546671,,30000,MCHENRY,-88.452245
17161,,09/28/2004,Y,IL,07080101,$0,1,Non-Transient non-community system,,17161,"$27,500",3M SPECIALTY FILM & MEDIA PRODUCTS,61242,05,Y,N,1,1,,CORDOVA,,,IL3049031,____________U,4.168,070801010402,41.755,,0,ROCK ISLAND COUNTY,,61242,110013886875,22614 ROUTE 84 N,17444,ROCK ISLAND,-90.284167
,,,Y,IL,,$0,1,Transient non-community system,,,,4 RIVERS ENVIRONMENTAL CENTER,,05,,N,0,0,,,,,IL3152579,____________U,,,41.448474,County Centroid,0,,,,110051872425,,30000,WILL,-87.978456
,,,Y,IL,,$0,1,Transient non-community system,,,,4H CAMP SHAW WAW NAS SEE,,05,,Y,0,1,,,,,IL3033605,____VVVVVVVVU,,,41.139494,County Centroid,1,,,,110051497581,,30000,KANKAKEE,-87.861125
,,,Y,IL,,$0,1,Transient non-community system,,,,5 STAR LEARNING RANCH,,05,,N,0,0,,,,,IL3153213,____________U,,,41.939594,County Centroid,0,,,,110051800645,,30000,KANE,-88.42804
