FacDerivedStctyFIPS,SDWAFormalActionCount,FacDateLastPenalty,SDWISFlag,FacState,FacDerivedHuc,FacTotalPenalties,SDWAInspections5yr,SDWAIDs,FacLastPenaltyAmt,FacName,FacZip,FacEPARegion,FacDerivedZip,NC,FacFormalActionCount,ViolFlag,FacReferencePoint,FacCity,FacImpWaterFlg,FacPenaltyCount,FacFIPSCode,SDWA3yrComplQtrsHistory,FacDerivedWBD,FacLat,FacCollectionMethod,CurrVioFlag,FacStdCountyName,SDWAInformalCount,RegistryID,FacStreet,FacAccuracyMeters,FacCounty,FacLong
,,,Y,IN,,$0,,IN2370124,,1ST BAPTIST CHURCH OF DEMOTTE,,05,,Y,0,1,,,,,,VVVVV_____VVU,,41.017688,County Centroid,1,,8,110051704232,,30000,JASPER,-87.118814
,,,Y,IN,,$0,,IN2760845,,200 EXPRESS,,05,,Y,0,1,,,,,,__VVVVVVVVVVU,,41.643437,County Centroid,1,,5,110051832497,,30000,STEUBEN,-85.002467
,,,Y,IN,,$0,,IN2201011,,20TH CENTURY RESTAURANT,,05,,Y,0,1,,,,,,VVVVV__VV_VVU,,41.600693,County Centroid,1,,11,110051806239,,30000,ELKHART,-85.863986
,,,Y,IN,,$0,1,IN2080012,,29-MARAMART,,05,,N,0,1,,,,,,_______V____U,,40.58498,County Centroid,0,,2,110051635085,,30000,CARROLL,-86.565141
,,,Y,IN,,$0,,IN2520856,,"31 MARA-MART, INC.",,05,,N,0,0,,,,,,____________U,,40.772881,County Centroid,0,,,110051881923,,30000,MIAMI,-86.044259
18089,,,Y,IN,07120001,$0,,IN5245050,,41 RANCH MHP,46303,05,46303,N,0,1,CENTER OF A FACILITY OR STATION,CEDAR LAKE,,,18089,V__VVV______U,071200011308,41.39015,ADDRESS MATCHING-HOUSE NUMBER,0,LAKE COUNTY,4,110012016656,11405 W 126TH AVE,30,LAKE,-87.47474
,,,Y,IN,,$0,,IN2640060,,49ER DRIVE IN THEATRE,,05,,N,0,0,,,,,,____________U,,41.509922,County Centroid,0,,,IN2640060,,30000,Porter,-87.071308
,,,Y,IN,,$0,,IN2440021,,5 & 20 COUNTRY RESTAURANT,,05,,N,0,0,,,,,,____________U,,41.642468,County Centroid,0,,,110051749060,,30000,LAGRANGE,-85.426302
,,,Y,IN,,$0,,IN2200816,,6 & 15 CONVENIENCE STORE INC.,,05,,N,0,0,,,,,,____________U,,41.600693,County Centroid,0,,,110051698775,,30000,ELKHART,-85.863986
,,,Y,IN,,$0,,IN2760115,,6 AUTUMNS RESTAURANT,,05,,N,0,1,,,,,,______VVVVVVU,,41.643437,County Centroid,0,,6,IN2760115,,30000,Steuben,-85.002467
,,,Y,IN,,$0,,IN2760995,,"75 FREMONT, LLC",,05,,Y,0,1,,,,,,________VVVVU,,41.643437,County Centroid,1,,,110051822328,,30000,STEUBEN,-85.002467
,,,Y,IN,,$0,,IN2710063,,933 MARATHON,,05,,N,0,1,,,,,,______VVVV__U,,41.617699,County Centroid,0,,4,110051578226,,30000,ST. JOSEPH,-86.288159
,,,Y,IN,,$0,,IN2460011,,A & A SHEET METAL PRODUCTS,,05,,Y,0,1,,,,,,______VVVVVVU,,41.549011,County Centroid,1,,3,110051842100,,30000,LAPORTE,-86.744729
,,,Y,IN,,$0,,IN2840909,,A.A. FEDERAL CREDIT UNION,,05,,N,0,0,,,,,,____________U,,39.429143,County Centroid,0,,,110051564044,,30000,VIGO,-87.390375
,,,Y,IN,,$0,,IN2650812,,A.B. BROWN STATION - VECTREN,,05,,N,0,0,,,,,,____________U,,38.027614,County Centroid,0,,,110051634399,,30000,POSEY,-87.868653
18115,,,Y,IN,05090203,$0,,IN5258001,,ABERDEEN PATE WATER CO INC,47001,05,47001,N,0,1,ENTRANCE POINT OF A FACILITY OR STATION,AURORA,,,18115,VV__________U,050902030803,38.960628,ADDRESS MATCHING-HOUSE NUMBER,0,OHIO COUNTY,1,110011979680,7158 SALEM RIDGE,50,OHIO,-84.953038
,,,Y,IN,,$0,,IN2490039,,"ABF FREIGHT SYSTEM, INC.",,05,,Y,0,1,,,,,,___V_______VU,,39.903026,State Centroid,1,,32,110051833343,,100000,MARION,-86.28395
