FacDerivedStctyFIPS,SDWAFormalActionCount,FacDateLastPenalty,SDWISFlag,FacState,FacDerivedHuc,FacTotalPenalties,Score,SDWASystemTypes,SDWAInspections5yr,FacFIPSCode,FacLastPenaltyAmt,FacName,FacZip,FacEPARegion,FacMajorFlag,NC,FacFormalActionCount,ViolFlag,FacReferencePoint,FacCity,FacImpWaterFlg,FacPenaltyCount,SDWAIDs,SDWA3yrComplQtrsHistory,FacPercentMinority,FacDerivedWBD,FacLat,FacCollectionMethod,CurrVioFlag,FacStdCountyName,SDWAInformalCount,FacDerivedZip,RegistryID,FacStreet,FacAccuracyMeters,FacCounty,FacLong
,,,Y,KS,,$0,1,Community water system,,,,"ABBYVILLE, CITY OF",,07,,N,0,1,,ABBYVILLE,,,KS2015512,_______V_V__U,,,37.970343,Place Name Centroid,0,,6,,110012937634,,20000,RENO,-98.204011
,,,Y,KS,,$0,1,Community water system,,,,"ABILENE, CITY OF",,07,,Y,0,1,,ABILENE,,,KS2004112,VV_________VU,,,38.923902,Place Name Centroid,1,,9,,110013031986,,20000,DICKINSON,-97.224139
,,,Y,KS,,$0,1,Community water system,,,,"ADMIRE, CITY OF",,07,,N,0,1,,ADMIRE,,,KS2011103,__V_________U,,,38.640931,Place Name Centroid,0,,4,,110012948178,,20000,LYON,-96.102057
,,,Y,KS,,$0,1,Community water system,,,,"AGENDA, CITY OF",,07,,Y,0,1,,AGENDA,,,KS2015705,_V__VVVVVVVVU,,,39.707239,Place Name Centroid,1,,17,,110012938214,,20000,REPUBLIC,-97.43222
,,,Y,KS,,$0,1,Community water system,,,,"AGRA, CITY OF",,07,,Y,0,1,,AGRA,,,KS2014707,___V______VVU,,,39.76145,Place Name Centroid,1,,7,,110012936136,,20000,PHILLIPS,-99.119623
,,,Y,KS,,$0,1,Non-Transient non-community system,,,,AIR PRODUCTS AND CHEMICALS,,07,,N,0,0,,,,,KS2117314,____________U,,,37.683807,County Centroid,0,,,,110051702859,,30000,SEDGWICK,-97.459451
,,,Y,KS,,$0,1,Community water system,,,,"ALBERT, CITY OF",,07,,Y,0,1,,ALBERT,,,KS2000914,__V________VU,,,38.453971,Place Name Centroid,1,,2,,110012962838,,20000,BARTON,-99.011052
,,,Y,KS,,$0,1,Community water system,,,,"ALEXANDER, CITY OF",,07,,N,0,0,,ALEXANDER,,,KS2016503,____________U,,,38.469287,Place Name Centroid,0,,7,,110012935342,,20000,RUSH,-99.55297
,,,Y,KS,,$0,1,Transient non-community system,1,,,ALL SEASONS RV PARK INC,,07,,N,0,1,,,,,KS2117326,______V_____U,,,37.683807,County Centroid,0,,3,,110051676799,,30000,SEDGWICK,-97.459451
,,,Y,KS,,$0,1,Community water system,,,,ALLEN CO RWD 10,,07,,N,0,1,,CHANUTE,,,KS2000109,VVVVV_______U,,,37.669527,Place Name Centroid,0,,8,,110012965087,,20000,ALLEN,-95.463566
,,,Y,KS,,$0,1,Community water system,,,,ALLEN CO RWD 12,,07,,N,0,1,,MORAN,,,KS2000117,___VVV___V__U,,,37.916503,Place Name Centroid,0,,5,,110012965238,,20000,ALLEN,-95.171381
,,,Y,KS,,$0,1,Community water system,,,,ALLEN CO RWD 13,,07,,N,0,1,,CHANUTE,,,KS2000118,_V__________U,,,37.669527,Place Name Centroid,0,,6,,110012965265,,20000,ALLEN,-95.463566
,,,Y,KS,,$0,1,Community water system,,,,ALLEN CO RWD 15,,07,,N,0,0,,IOLA,,,KS2000121,____________U,,,37.927427,Place Name Centroid,0,,,,110012965363,,20000,ALLEN,-95.400669
,,,Y,KS,,$0,1,Community water system,,,,ALLEN CO RWD 16,,07,,Y,0,1,,MORAN,,,KS2000122,VVVVVV_____VU,,,37.916503,Place Name Centroid,1,,15,,110012965461,,20000,ALLEN,-95.171381
,,,Y,KS,,$0,1,Community water system,,,,ALLEN CO RWD 4,,07,,N,0,0,,IOLA,,,KS2000112,____________U,,,37.927427,Place Name Centroid,0,,,,110012965194,,20000,ALLEN,-95.400669
,,,Y,KS,,$0,1,Community water system,,,,ALLEN CO RWD 6,,07,,N,0,0,,IOLA,,,KS2000107,____________U,,,37.927427,Place Name Centroid,0,,,,110012965005,,20000,ALLEN,-95.400669
,,,Y,KS,,$0,1,Community water system,,,,ALLEN CO RWD 8,,07,,N,0,1,,MORAN,,,KS2000110,VVVVVVVV____U,,,37.916503,Place Name Centroid,0,,12,,110013034652,,20000,ALLEN,-95.171381
,,,Y,KS,,$0,1,Community water system,,,,"ALLEN, CITY OF",,07,,N,0,0,,ALLEN,,,KS2011102,____________U,,,38.655126,Place Name Centroid,0,,,,110012948150,,20000,LYON,-96.169679
,,,Y,KS,,$0,1,Community water system,,20197,,"ALMA, CITY OF",66401,07,,Y,0,1,,ALMA,,,KS2019701,_______VVVVVU,,,39.013165,Zip Code Centroid,1,WABAUNSEE COUNTY,14,,110008344489,W OF WATER TOWER,10000,WABAUNSEE,-96.295194
,,,Y,KS,,$0,1,Community water system,,,,"ALMENA, CITY OF",,07,,Y,0,1,,ALMENA,,,KS2013701,VVVVVVVVVVVVU,,,39.891298,Place Name Centroid,1,,9,,110012939071,,20000,NORTON,-99.709704
,,,Y,KS,,$0,1,Community water system,,20197,,ALTA VISTA CITY OF,66834,07,,Y,0,1,,ALTA VISTA,,,KS2019702,_______VVVVVU,,,38.865034,Zip Code Centroid,1,WABAUNSEE COUNTY,,,110017583275,PO BOX 44,10000,WABAUNSEE,-96.487179
,,,Y,KS,,$0,1,Community water system,,,,"ALTAMONT, CITY OF",,07,,N,0,0,,ALTAMONT,,,KS2009901,____________U,,,37.185384,Place Name Centroid,0,,,,110012950654,,20000,LABETTE,-95.29181
,,,Y,KS,,$0,1,Community water system,,,,"ALTON, CITY OF",,07,,N,0,0,,ALTON,,,KS2014102,____________U,,,39.467722,Place Name Centroid,0,,1,,110013027786,,20000,OSBORNE,-98.948619
20205,,,Y,KS,11070101,$0,1,Community water system,,20205,,"ALTOONA, CITY OF",66710,07,,Y,0,1,,ALTOONA,,,KS2020508,VVVVVVVVVVVVU,6.868,110701010501,37.51074,,1,,12,66710,110017583328,,17470,WILSON,-95.66346
,,,Y,KS,,$0,1,Community water system,1,,,"ANDALE, CITY OF",,07,,N,0,0,,ANDALE,,,KS2017342,____________U,,,37.791502,Place Name Centroid,0,,,,110012933166,,20000,SEDGWICK,-97.627507
,,,Y,KS,,$0,1,Community water system,,,,ANDERSON CO RWD 1,,07,,N,0,0,,GARNETT,,,KS2000302,____________U,,,38.285873,Place Name Centroid,0,,,,110012965568,,20000,ANDERSON,-95.241231
20107,,,Y,KS,10290102,$0,1,Community water system,,20107,,ANDERSON CO RWD 1C,66056,07,,N,0,1,CENTER OF A FACILITY OR STATION,MOUND CITY,,,KS2000311,VVVVVVVVVVV_U,3.382,102901020305,38.18967,ADDRESS MATCHING-HOUSE NUMBER,0,LINN COUNTY,5,66056,110012965764,9567 WEST 1150 ROAD,30,ANDERSON,-94.91892
,,,Y,KS,,$0,1,Community water system,,,,ANDERSON CO RWD 4,,07,,Y,0,1,,WESTPHALIA,,,KS2000303,___________VU,,,38.181985,Place Name Centroid,1,,,,110012965602,,20000,ANDERSON,-95.490983
,,,Y,KS,,$0,1,Community water system,,,,ANDERSON CO RWD 5,,07,,N,0,0,,COLONY,,,KS2000306,____________U,,,38.072887,Place Name Centroid,0,,12,,110012965675,,20000,ANDERSON,-95.361145
,,,Y,KS,,$0,1,Transient non-community system,,,,ANGELS BIKINI AND LINGERIE CLUB,,07,,Y,0,1,,,,,KS2117355,___V_______VU,,,37.683807,County Centroid,1,,3,,110063336634,,30000,SEDGWICK,-97.459451
,,,Y,KS,,$0,1,Community water system,,,,"ANTHONY, CITY OF",,07,,Y,0,1,,ANTHONY,,,KS2007707,VVVVVVVVVVVVU,,,37.157265,Place Name Centroid,1,,1,,110012951939,,20000,HARPER,-98.040523
20037,,,Y,KS,10290104,$0,1,Community water system,,20037,,"ARCADIA, CITY OF",66711,07,,Y,0,1,,ARCADIA,,,KS2003711,__________VVU,6.371,102901040205,37.62605,,1,CRAWFORD COUNTY,5,66711,110017591710,PO BOX 8,17470,CRAWFORD,-94.62027
,1,,Y,KS,,$0,1,Community water system,,,,"ARGONIA, CITY OF",,07,,Y,1,1,,ARGONIA,,,KS2019116,VVVVVVVV_VVVU,,,37.267844,Place Name Centroid,1,,63,,110012930481,,20000,SUMNER,-97.763263
,,,Y,KS,,$0,1,Transient non-community system,,,,ARKALON PARK,,07,,Y,0,1,,,,,KS2117509,___________VU,,,37.180585,County Centroid,1,,2,,110051750440,,30000,SEWARD,-100.854741
,,,Y,KS,,$0,1,Community water system,,,,"ARKANSAS CITY, CITY OF",,07,,N,0,1,,ARKANSAS CITY,,,KS2003509,V_S_________U,,,37.072499,Place Name Centroid,0,,3,,110012958424,,20000,COWLEY,-97.038436
,,,Y,KS,,$0,1,Community water system,,,,"ARLINGTON, CITY OF",,07,,N,0,0,,ARLINGTON,,,KS2015511,____________U,,,37.896086,Place Name Centroid,0,,,,110012937581,,20000,RENO,-98.176967
,,,Y,KS,,$0,1,Community water system,,,,"ARMA, CITY OF",,07,,N,0,0,,ARMA,,,KS2003713,____________U,,,37.542775,Place Name Centroid,0,,,,110012959414,,20000,CRAWFORD,-94.701807
,,,Y,KS,,$0,1,Community water system,,,,ARNOLD WATERWORKS INC,,07,,Y,0,1,,ARNOLD,,,KS2013506,VVVVVVVVVVVVU,,,38.638603,Post Office Name Centroid,1,,31,,110012939035,,20000,NESS,-100.046945
,,,Y,KS,,$0,1,Community water system,,,,"ASHLAND, CITY OF",,07,,N,0,0,,ASHLAND,,,KS2002502,____________U,,,37.18675,Place Name Centroid,0,,,,110013035713,,20000,CLARK,-99.769695
,,,Y,KS,,$0,1,Community water system,,,,"ASSARIA, CITY OF",,07,,Y,0,1,,ASSARIA,,,KS2016902,V______VVVVVU,,,38.68018,Place Name Centroid,1,,3,,110012931480,,20000,SALINE,-97.6042
,,,Y,KS,,$0,1,Community water system,,,,ATCHISON CO RWD 1,,07,,N,0,1,,ATCHISON,,,KS2000503,VVVVV_______U,,,39.563648,Place Name Centroid,0,,3,,110012965906,,20000,ATCHISON,-95.136595
,,,Y,KS,,$0,1,Community water system,,,,ATCHISON CO RWD 3,,07,,Y,0,1,,ATCHISON,,,KS2000504,VVVVVV_VVVVVU,,,39.563648,Place Name Centroid,1,,35,,110012965924,,20000,ATCHISON,-95.136595
,,,Y,KS,,$0,1,Community water system,2,,,ATCHISON CO RWD 5C,,07,,Y,0,1,,LANCASTER,,,KS2000511,VVVVV______VU,,,39.571256,Place Name Centroid,1,,5,,110022974735,,20000,ATCHISON,-95.303709
,,,Y,KS,,$0,1,Community water system,,,,ATCHISON CO RWD 6,,07,,N,0,1,,ATCHISON,,,KS2000510,V_V_________U,,,39.563648,Place Name Centroid,0,,40,,110012966120,,20000,ATCHISON,-95.136595
,,,Y,KS,,$0,1,Community water system,,,,"ATCHISON, CITY OF",,07,,N,0,1,,ATCHISON,,,KS2000506,SSV____VVVVVU,,,39.563648,Place Name Centroid,0,,18,,110012965988,,20000,ATCHISON,-95.136595
,,,Y,KS,,$0,1,Community water system,,,,"ATTICA, CITY OF",,07,,Y,0,1,,ATTICA,,,KS2007703,________VVVVU,,,37.242781,Place Name Centroid,1,,,,110012951822,,20000,HARPER,-98.227589
,,,Y,KS,,$0,1,Community water system,,,,"ATWOOD, CITY OF",,07,,N,0,0,,ATWOOD,,,KS2015301,____________U,,,39.8099,Place Name Centroid,0,,2,,110012937126,,20000,RAWLINS,-101.041893
,,,Y,KS,,$0,1,Community water system,1,,,"AUGUSTA, CITY OF",,07,,N,0,1,,AUGUSTA,,,KS2001503,VVVVV_______U,,,37.698016,Place Name Centroid,0,,,,110012963463,,20000,BUTLER,-96.97316
,,,Y,KS,,$0,1,Community water system,,,,"AURORA, CITY OF",,07,,N,0,0,,AURORA,,,KS2002906,____________U,,,39.451922,Place Name Centroid,0,,1,,110012962302,,20000,CLOUD,-97.529879
,,,Y,KS,,$0,1,Community water system,,,,"AXTELL, CITY OF",,07,,N,0,0,,AXTELL,,,KS2011711,____________U,,,39.871259,Place Name Centroid,0,,,,110012945153,,20000,MARSHALL,-96.256896
,,,Y,KS,,$0,1,Transient non-community system,,,,B J`S 66,,07,,N,0,0,,,,,KS2106127,____________U,,,39.002155,County Centroid,0,,,,110051618273,,30000,GEARY,-96.768038
,,,Y,KS,,$0,1,Community water system,,,,"BALDWIN CITY, CITY OF",,07,,Y,0,1,,,,,KS2004510,_______VVVVVU,,,38.896573,County Centroid,1,,5,,110012956033,,30000,DOUGLAS,-95.290529
,,,Y,KS,,$0,1,Community water system,,,,BARBER CO RWD 1,,07,,N,0,0,,MEDICINE LODGE,,,KS2000701,____________U,,,37.285114,Place Name Centroid,0,,,,110012966264,,20000,BARBER,-98.581304
,,,Y,KS,,$0,1,Community water system,,,,BARBER CO RWD 2,,07,,N,0,0,,KIOWA,,,KS2000704,____________U,,,37.01769,Place Name Centroid,0,,3,,110012966406,,20000,BARBER,-98.484663
,,,Y,KS,,$0,1,Community water system,,,,BARBER CO RWD 3,,07,,N,0,0,,LAKE CITY,,,KS2000709,____________U,,,37.354673,Post Office Name Centroid,0,,,,110012962534,,20000,BARBER,-98.823648
