FacDerivedStctyFIPS,SDWAFormalActionCount,FacDateLastPenalty,SDWISFlag,FacState,FacDerivedHuc,FacTotalPenalties,Score,SDWASystemTypes,SDWAInspections5yr,FacFIPSCode,FacLastPenaltyAmt,FacName,FacZip,FacEPARegion,FacMajorFlag,NC,FacFormalActionCount,ViolFlag,FacReferencePoint,FacCity,FacImpWaterFlg,FacPenaltyCount,SDWAIDs,SDWA3yrComplQtrsHistory,FacPercentMinority,FacDerivedWBD,FacLat,FacCollectionMethod,CurrVioFlag,FacStdCountyName,SDWAInformalCount,FacDerivedZip,RegistryID,FacStreet,FacAccuracyMeters,FacCounty,FacLong
21141,,,Y,KY,05130206,$0,1,Community water system,,21141,,ADAIRVILLE WATER WORKS,42202,04,,N,0,1,CENTER OF A FACILITY OR STATION,ADAIRVILLE,,,KY0710001,VV__________U,15.176,051302060202,36.66808,ADDRESS MATCHING-HOUSE NUMBER,0,LOGAN COUNTY,4,42202,110012914365,110 N. MAIN STREET,30,LOGAN,-86.85227
21053,1,,Y,KY,05130103,$0,1,Community water system,,21053,,ALBANY WTP #1,42602,04,,Y,1,1,CENTER OF A FACILITY OR STATION,ALBANY,,,KY0270003,SVVVVVVVVSSSU,2.959,051301030603,36.76891,ADDRESS MATCHING-HOUSE NUMBER,1,CLINTON COUNTY,42,42602,110020611970,76 FALLS RD,30,CLINTON,-85.13506
,,,Y,KY,,$0,1,Community water system,,,,ALLEN COUNTY WATER DISTRICT,,04,,N,0,1,,,,,KY0020956,VSSV________U,,,36.75077,County Centroid,0,,12,,110012928948,,30000,ALLEN,-86.192458
21111,,02/20/2019,Y,KY,05140101,"$166,875",1,Transient non-community system,,21111,"$135,375",AMERICAN SYNTHETIC RUBBER CO,40216,04,Y,Y,4,1,CENTER OF A FACILITY OR STATION,LOUISVILLE,,4,KY0562411,,59.073,051401010903,38.209317,ADDRESS MATCHING-HOUSE NUMBER,1,JEFFERSON COUNTY,,40216,110000378546,4500 CAMPGROUND ROAD,30,JEFFERSON,-85.847511
,,,Y,KY,,$0,1,Non-Transient non-community system,,,,ARLIE BOGG ELEMENTARY SCHOOL,,04,,N,0,1,,,,,KY0672292,VVVVV_______U,,,37.118503,County Centroid,0,,1,,110051961631,,30000,LETCHER,-82.861175
,,,Y,KY,,$0,1,Community water system,,,,ARLINGHAUS PROPERTY,,04,,N,0,1,,,,,KY0080928,VVVVV___VV__U,,,38.974595,County Centroid,0,,6,,110012925406,,30000,BOONE,-84.731444
,,,Y,KY,,$0,1,Community water system,,,,ARLINGTON WATER DEPARTMENT,,04,,N,0,0,,,,,KY0200009,____________U,,,36.857726,County Centroid,0,,3,,110012923211,,30000,CARLISLE,-88.975757
,1,,Y,KY,,$0,1,Community water system,,,,ASHLAND WATER WORKS,,04,,Y,1,1,,,,,KY0100011,SVVSSSSV_VVVU,,,38.360004,County Centroid,1,,73,,110012925521,,30000,BOYD,-82.681406
,,,Y,KY,,$0,1,Community water system,,,,AUGUSTA REGIONAL WTP,,04,,Y,0,1,,,,,KY0120013,VV____VVVVVVU,,,38.678523,County Centroid,1,,2,,110012925834,,30000,BRACKEN,-84.100355
,,,Y,KY,,$0,1,Community water system,,,,BARBOURVILLE WATER & ELECTRIC,,04,,N,0,1,,,,,KY0610016,VVVVVSVVVV__U,,,36.887476,County Centroid,0,,31,,110013025010,,30000,KNOX,-83.85563
,,,Y,KY,,$0,1,Community water system,,,,BARDSTOWN MUNICIPAL WATER DEPT,,04,,Y,0,1,,,,,KY0900017,VVV___VVVVVVU,,,37.803188,County Centroid,1,,9,,110012912820,,30000,NELSON,-85.465955
,,,Y,KY,,$0,1,Community water system,,,,BARDWELL CITY UTILITIES,,04,,N,0,0,,,,,KY0200018,____________U,,,36.857726,County Centroid,0,,,,110013027081,,30000,CARLISLE,-88.975757
,,,Y,KY,,$0,1,Community water system,,,,BARKLEY LAKE WATER DISTRICT,,04,,N,0,1,,,,,KY1110019,VVVVVVVVVVVVU,,,36.807681,County Centroid,0,,6,,110012911929,,30000,TRIGG,-87.858652
,,,Y,KY,,$0,1,Community water system,,,,BARLOW WATER SYSTEM,,04,,N,0,1,,,,,KY0040020,VVVVVVVVVV__U,,,37.05112,County Centroid,0,,5,,110012924924,,30000,BALLARD,-89.009178
,,,Y,KY,,$0,1,Community water system,,,,BATH COUNTY WATER DISTRICT,,04,,N,0,1,,,,,KY0060022,_____VV_____U,,,38.152249,County Centroid,0,,3,,110012925068,,30000,BATH,-83.737641
21193,,09/19/2018,Y,KY,05100201,"$160,000",1,Community water system,,21193,"$40,000",BDCC HOLDING COMPANY INC - BEECH FORK PLANT,41763,04,,N,4,1,ENTRANCE POINT OF A FACILITY OR STATION,SLEMP,,4,KY0970829,,1.746,051002010303,37.065956,ADDRESS MATCHING-HOUSE NUMBER,0,PERRY COUNTY,,41763,110040871866,48 BEECH FORK RD,99999999,PERRY,-83.119386
,,,Y,KY,,$0,1,Community water system,,,,BEATTYVILLE WATER WORKS,,04,,N,0,1,,,,,KY0650024,VVVVVVVV____U,,,37.605383,County Centroid,0,,32,,110013025136,,30000,LEE,-83.718497
,,,Y,KY,,$0,1,Community water system,,,,BEAVER DAM MUNICIPAL WATER & SEWER,,04,,N,0,0,,,,,KY0920025,____________U,,,37.477859,County Centroid,0,,1,,110012913142,,30000,OHIO,-86.844871
,,,Y,KY,,$0,1,Community water system,,,,BEECH FORK WATER COMMISSION,,04,,N,0,1,,,,,KY0990281,_____VV_____U,,,37.810379,County Centroid,0,,2,,110012910403,,30000,POWELL,-83.826985
,,,Y,KY,,$0,1,Community water system,,,,BEECH GROVE WATER SYSTEM,,04,,N,0,1,,,,,KY0750529,VVVV_VV_V_V_U,,,37.530575,County Centroid,0,,15,,110012915729,,30000,MCLEAN,-87.262931
21013,,,Y,KY,05130101,$0,1,Community water system,,21013,,BELL CO FORESTRY CAMP,40977,04,,Y,0,1,POINT WHERE SUBSTANCE IS RELEASED,PINEVILLE,,,KY0070729,___________VU,8.374,051301010205,36.670264,UNKNOWN,1,BELL COUNTY,3,40977,110007037009,ROUTE 2,35900,BELL,-83.854352
