FacDerivedStctyFIPS,SDWAFormalActionCount,FacDateLastPenalty,SDWISFlag,FacState,FacDerivedHuc,FacTotalPenalties,Score,SDWASystemTypes,SDWAInspections5yr,FacFIPSCode,FacLastPenaltyAmt,FacName,FacZip,FacEPARegion,FacMajorFlag,NC,FacFormalActionCount,ViolFlag,FacReferencePoint,FacCity,FacImpWaterFlg,FacPenaltyCount,SDWAIDs,SDWA3yrComplQtrsHistory,FacPercentMinority,FacDerivedWBD,FacLat,FacCollectionMethod,CurrVioFlag,FacStdCountyName,SDWAInformalCount,FacDerivedZip,RegistryID,FacStreet,FacAccuracyMeters,FacCounty,FacLong
,1,,Y,LA,,$0,1,Community water system,,,,29 PALMS TRAILER PARK,,06,,Y,1,1,,,,,LA1117023,VVVVSVSVVVVVV,,,30.852144,County Centroid,1,,74,,110020595934,,30000,WASHINGTON,-90.046253
,,,Y,LA,,$0,1,Transient non-community system,,,,450 QUICK STOP,,06,,N,0,0,,,,,LA2117125,_____________,,,30.857771,State Centroid,0,,,,110051908879,,100000,WASHINGTON,-91.803273
,,,Y,LA,,$0,1,Transient non-community system,,,,61700 HWY 434  BUILDING,,06,,N,0,0,,,,,LA2103482,_____________,,,30.857771,State Centroid,0,,,,110051927091,,100000,ST. TAMMANY,-91.803273
,,,Y,LA,,$0,1,Transient non-community system,,,,A & G ENON QUICK SHOP LLC,,06,,N,0,0,,,,,LA2117093,_____________,,,30.857771,State Centroid,0,,,,110051759058,,100000,WASHINGTON,-91.803273
,,,Y,LA,,$0,1,Non-Transient non-community system,,,,A CHILDS WORLD DAY CARE & LEARNING CENTR,,06,,N,0,1,,,,,LA2005266,____________V,,,30.857771,State Centroid,0,,4,,110051876699,,100000,ASCENSION,-91.803273
,,,Y,LA,,$0,1,Non-Transient non-community system,,,,A TO Z DAYCARE CENTER,,06,,N,0,0,,,,,LA2103320,_____________,,,30.857771,State Centroid,0,,,,110051885803,,100000,ST. TAMMANY,-91.803273
22113,,09/01/2009,Y,LA,08080103,$0,1,Community water system,,22113,$960,ABBEVILLE WATER TREATMENT PLANT,70510,06,,Y,1,1,PLANT ENTRANCE (GENERAL),ABBEVILLE,,,LA1113001,_VSVSSSSVV___,41.614,080801030201,29.982416,ADDRESS MATCHING-HOUSE NUMBER,1,VERMILION PARISH,13,70510,110000566325,615 VETERANS MEMORIAL HIGHWAY,30,VERMILION,-92.127266
,,,Y,LA,,$0,1,Transient non-community system,,,,ABITA PETRO PLUS,,06,,Y,0,1,,,,,LA2103531,__________VVV,,,30.410022,County Centroid,1,,2,,LA2103531,,30000,St. Tammany Parish,-89.951962
,,,Y,LA,,$0,1,Transient non-community system,,,,ABITA RV PARK,,06,,Y,0,1,,,,,LA2103512,VVVVVVVVVVVVV,,,30.857771,State Centroid,1,,6,,110064359448,,100000,ST. TAMMANY,-91.803273
,,,Y,LA,,$0,1,Transient non-community system,,,,ABITA SPRINGS GOLF CLUB W S,,06,,N,0,1,,,,,LA2103294,VV___________,,,30.857771,State Centroid,0,,,,110051951483,,100000,ST. TAMMANY,-91.803273
,,,Y,LA,,$0,1,Community water system,,,,ABITA SPRINGS WATER SYSTEM,,06,,Y,0,1,,,,,LA1103002,___VVVVVVVVVV,,,30.857771,State Centroid,1,,7,,110012874407,,100000,ST. TAMMANY,-91.803273
22001,,07/09/2003,Y,LA,08080201,$0,1,Non-Transient non-community system,,22001,"$5,638",ACADIA POWER STATION,70535,06,Y,Y,0,1,PROCESS UNIT AREA CENTROID,EUNICE,Y,,LA2001064,,3.534,080802010305,30.429528,CLASSICAL SURVEYING TECHNIQUES,1,ACADIA PARISH,,70535,110012534766,30385 CROWLEY EUNICE HWY,25,ACADIA,-92.412028
,,,Y,LA,,$0,1,Transient non-community system,1,,,ACADIAN HEALTH SERVICE,,06,,N,0,0,,,,,LA2055094,_____________,,,30.857771,State Centroid,0,,,,110063348300,,100000,LAFAYETTE,-91.803273
,,,Y,LA,,$0,1,Transient non-community system,,,,ACADIANA GYMNASTICS WATER SYSTEM,,06,,Y,0,1,,,,,LA2055095,_____VVVSSSSV,,,30.206507,County Centroid,1,,3,,LA2055095,,30000,Lafayette Parish,-92.06417
