FacDerivedStctyFIPS,SDWAFormalActionCount,FacDateLastPenalty,SDWISFlag,FacState,FacDerivedHuc,FacTotalPenalties,Score,SDWASystemTypes,SDWAInspections5yr,FacFIPSCode,FacLastPenaltyAmt,FacName,FacZip,FacEPARegion,FacMajorFlag,NC,FacFormalActionCount,ViolFlag,FacReferencePoint,FacCity,FacImpWaterFlg,FacPenaltyCount,SDWAIDs,SDWA3yrComplQtrsHistory,FacPercentMinority,FacDerivedWBD,FacLat,FacCollectionMethod,CurrVioFlag,FacStdCountyName,SDWAInformalCount,FacDerivedZip,RegistryID,FacStreet,FacAccuracyMeters,FacCounty,FacLong
,1,,Y,MA,,$0,1,Transient non-community system,,,,10 THRU 16 HASTINGS STREET,01756,01,,N,1,0,,MENDON,,,MA2179009,_____________,,,42.103133,Zip Code Centroid,0,,,,110051943206,,10000,WORCESTER,-71.54663
,,,Y,MA,,$0,1,Transient non-community system,,,,10.0 ACADEMY / GYMNASTICS,01775,01,,N,0,0,,STOW,,,MA2286027,_____________,,,42.429737,Zip Code Centroid,0,,,,110051943288,,10000,MIDDLESEX,-71.512231
,,,Y,MA,,$0,1,Community water system,,,,122 MAIN STREET,01339,01,,N,0,0,,CHARLEMONT,,,MA1053033,_____________,,,42.647744,Zip Code Centroid,0,,1,,110047770890,,10000,FRANKLIN,-72.866334
,,,Y,MA,,$0,1,Non-Transient non-community system,,,,1300 MASS AVE,01719,01,,N,0,0,,BOXBOROUGH,,,MA2037020,_____________,,,42.489481,Zip Code Centroid,0,,,,110051925949,,10000,MIDDLESEX,-71.516988
,,,Y,MA,,$0,1,Non-Transient non-community system,,,,155 SWANSON RD   SYNQOR,01719,01,,N,0,1,,BOXBOROUGH,,,MA2037024,________VVV__,,,42.489481,Zip Code Centroid,0,,3,,110051953285,,10000,MIDDLESEX,-71.516988
,1,,Y,MA,,$0,1,Non-Transient non-community system,,,,159 SWANSON RD    SETRA SYSTEMS INC,01719,01,,N,1,1,,BOXBOROUGH,,,MA2037018,__VV_________,,,42.489481,Zip Code Centroid,0,,,,110051925921,,10000,MIDDLESEX,-71.516988
,,,Y,MA,,$0,1,Transient non-community system,,,,1896 HOUSE BROOKSIDE,01267,01,,N,0,0,,WILLIAMSTOWN,,,MA1341012,_____________,,,42.656896,Zip Code Centroid,0,,,,110051950581,,10000,BERKSHIRE,-73.221604
,,,Y,MA,,$0,1,Transient non-community system,,,,1896 HOUSE PONDSIDE,01267,01,,N,0,0,,WILLIAMSTOWN,,,MA1341011,_____________,,,42.656896,Zip Code Centroid,0,,,,110051950572,,10000,BERKSHIRE,-73.221604
,3,,Y,MA,,$0,1,Transient non-community system,,,,1896 HOUSE RESTAURANT,01267,01,,Y,3,1,,WILLIAMSTOWN,,,MA1341024,VVVVVVVVVVVVV,,,42.656896,Zip Code Centroid,1,,,,110051956683,,10000,BERKSHIRE,-73.221604
,1,,Y,MA,,$0,1,Non-Transient non-community system,,,,2 ALLEN ST PROFESSIONAL BLDG,01036,01,,N,1,1,,HAMPDEN,,,MA1120022,___________VV,,,42.062905,Zip Code Centroid,0,,,,110051941609,,10000,HAMPDEN,-72.421057
,,,Y,MA,,$0,1,Non-Transient non-community system,,,,28 HASTINGS ST CORP,01756,01,,Y,0,1,,MENDON,,,MA2179002,V__________VV,,,42.103133,Zip Code Centroid,1,,1,,110051943135,,10000,WORCESTER,-71.54663
,,,Y,MA,,$0,1,Non-Transient non-community system,,,,330 CODMAN HILL ROAD,01719,01,,N,0,0,,BOXBOROUGH,,,MA2037023,_____________,,,42.489481,Zip Code Centroid,0,,,,110051953276,,10000,MIDDLESEX,-71.516988
,2,,Y,MA,,$0,1,Community water system,,,,400 DUNSTABLE ROAD (PINE KNOLL),01879,01,,Y,2,1,,TYNGSBORO,,,MA3301027,VVVVVVVVVVVVV,,,42.658965,Zip Code Centroid,1,,,,110047912960,,10000,MIDDLESEX,-71.418644
,,,Y,MA,,$0,1,Transient non-community system,,,,45 AND 49 UXBRIDGE ROAD,01756,01,,N,0,0,,MENDON,,,MA2179006,_____________,,,42.103133,Zip Code Centroid,0,,2,,110051943171,,10000,WORCESTER,-71.54663
