FacDerivedStctyFIPS,SDWAFormalActionCount,FacDateLastPenalty,SDWISFlag,FacState,FacDerivedHuc,FacTotalPenalties,Score,SDWASystemTypes,SDWAInspections5yr,FacFIPSCode,FacLastPenaltyAmt,FacName,FacZip,FacEPARegion,FacMajorFlag,NC,FacFormalActionCount,ViolFlag,FacReferencePoint,FacCity,FacImpWaterFlg,FacPenaltyCount,SDWAIDs,SDWA3yrComplQtrsHistory,FacPercentMinority,FacDerivedWBD,FacLat,FacCollectionMethod,CurrVioFlag,FacStdCountyName,SDWAInformalCount,FacDerivedZip,RegistryID,FacStreet,FacAccuracyMeters,FacCounty,FacLong
,,,Y,MD,,$0,1,Non-Transient non-community system,,,,2002 BETHEL ROAD (AKA TELEMECANIQUE),21158,03,,N,0,0,,WESTMINSTER,,,MD1060073,____________U,,,39.641977,Zip Code Centroid,0,,,,110052609753,,10000,CARROLL,-77.02751
,,,Y,MD,,$0,1,Transient non-community system,,,,301 BP,20613,03,,N,0,1,,,,,MD1161122,___VV_VV____U,,,38.695807,Zip Code Centroid,0,,7,,110052604197,,10000,PRINCE GEORGE'S,-76.864341
,,,Y,MD,,$0,1,Transient non-community system,,,,4 HOOPPOLE SOUTH,21550,03,,N,0,0,,,,,MD1111079,____________U,,,39.394711,Zip Code Centroid,0,,,,110052631559,,10000,GARRETT,-79.406058
,,,Y,MD,,$0,1,Transient non-community system,,,,4-H PARK,21617,03,,N,0,0,,,,,MD1171207,____________U,,,39.055109,Zip Code Centroid,0,,,,110051928535,,10000,QUEEN ANNE'S,-76.086035
,,,Y,MD,,$0,1,Transient non-community system,,,,4-H PARK MAIN WELL,21629,03,,N,0,0,,,,,MD1051030,____________U,,,38.823026,Zip Code Centroid,0,,1,,110052635920,,10000,CAROLINE,-75.836327
,,,Y,MD,,$0,1,Transient non-community system,,,,413 MINI MART,,03,,N,0,0,,,,,MD1191105,____________U,,,38.946658,State Centroid,0,,,,110052559539,,100000,,-76.674494
24037,,,Y,MD,02060006,$0,1,Transient non-community system,,24017,,7 ELEVEN   21067,20622,03,,N,0,0,,CHARLOTTE HALL,,,MD1181156,____________U,20.627,020600060601,38.494722,,0,CHARLES COUNTY,,20622,110022390063,RTE 5 NEAR GOLDEN BEACH RD,17465,ST. MARY S,-76.776111
24035,,,Y,MD,02060002,$0,1,Transient non-community system,,24035,,7 ELEVEN CHESTER-17867,21619,03,,N,0,0,ENTRANCE POINT OF A FACILITY OR STATION,CHESTER,,,MD1171001,____________U,10.272,020600020411,38.97409,ADDRESS MATCHING-HOUSE NUMBER,0,QUEEN ANNE'S COUNTY,,21619,110049246865,101 DOMINION ROAD,50,QUEEN ANNE'S,-76.28046
24035,,,Y,MD,02060002,$0,1,Transient non-community system,,24035,,7- ELEVEN # 34278,21658,03,,N,0,0,CENTER OF A FACILITY OR STATION,QUEENSTOWN,,,MD1171243,____________U,14.341,020600020602,38.95609,ADDRESS MATCHING-HOUSE NUMBER,0,QUEEN ANNE'S COUNTY,,21658,110051952794,212 GRANGE HALL RD,30,QUEEN ANNE'S,-76.07555
,,,Y,MD,,$0,1,Transient non-community system,,,,7- ELEVEN - (GASMART OF FREDERICK),20878,03,,N,0,0,,,,,MD1101236,____________U,,,39.112016,Zip Code Centroid,0,,,,110052651395,,10000,FREDERICK,-77.241972
