FacDerivedStctyFIPS,SDWAFormalActionCount,FacDateLastPenalty,SDWISFlag,FacState,FacDerivedHuc,FacTotalPenalties,Score,SDWASystemTypes,SDWAInspections5yr,FacFIPSCode,FacLastPenaltyAmt,FacName,FacZip,FacEPARegion,FacMajorFlag,NC,FacFormalActionCount,ViolFlag,FacReferencePoint,FacCity,FacImpWaterFlg,FacPenaltyCount,SDWAIDs,SDWA3yrComplQtrsHistory,FacPercentMinority,FacDerivedWBD,FacLat,FacCollectionMethod,CurrVioFlag,FacStdCountyName,SDWAInformalCount,FacDerivedZip,RegistryID,FacStreet,FacAccuracyMeters,FacCounty,FacLong
,,,Y,ME,,$0,1,Transient non-community system,,,,1-7-10  BOWLING & ENTERTAINMENT CENTER,,01,,Y,0,1,,,,,ME0094451,_____VVVVVVVV,,,44.417012,County Centroid,1,,28,,110049246393,,30000,KENNEBEC,-69.765764
,,,Y,ME,,$0,1,Transient non-community system,,,,10TH MOUNTAIN SKI CENTER,,01,,N,0,1,,,,,ME0094739,_____VV______,,,46.727057,County Centroid,0,,6,,110052688418,,30000,AROOSTOOK,-68.64941
,,,Y,ME,,$0,1,Transient non-community system,,,,15 MILE STREAM LODGE & OUTFITTERS,,01,,Y,0,1,,,,,ME0004596,V_VVVVVVVVVVV,,,45.507482,County Centroid,1,,17,,110051948247,,30000,SOMERSET,-69.97604
,,,Y,ME,,$0,1,Transient non-community system,,,,1ST BAPTIST CHURCH OF WALDOBORO,,01,,N,0,0,,,,,ME0094746,_____________,,,43.994265,County Centroid,0,,9,,110052688677,,30000,LINCOLN,-69.514029
,,,Y,ME,,$0,1,Transient non-community system,,,,66 STEAK AND SEAFOOD,,01,,Y,0,1,,,,,ME0011610,VVVVVVVVVVVVV,,,44.564906,County Centroid,1,,3,,110052617192,,30000,HANCOCK,-68.370703
,,,Y,ME,,$0,1,Transient non-community system,,,,A LEARNING TREE CHILDCARE,,01,,Y,0,1,,,,,ME0094770,VVVVVVVVVVVVV,,,43.808348,County Centroid,1,,8,,110063332102,,30000,CUMBERLAND,-70.330375
23003,,,Y,ME,01010004,$0,1,Community water system,,23003,,A PLACE FOR ALL SEASONS,04736,01,,N,0,0,CENTER OF A FACILITY OR STATION,CARIBOU,,,ME0092373,_____________,5.992,010100041009,46.81675,ADDRESS MATCHING-HOUSE NUMBER,0,AROOSTOOK COUNTY,,04736,110020595532,49 MAIN ST,30,AROOSTOOK,-67.99858
,,,Y,ME,,$0,1,Transient non-community system,,,,A PLACE TO EAT,,01,,N,0,0,,,,,ME0019196,V____________,,,46.727057,County Centroid,0,,25,,110052565176,,30000,AROOSTOOK,-68.64941
,,,Y,ME,,$0,1,Transient non-community system,,,,A2M ENERGY GROUP,,01,,N,0,0,,,,,ME0018522,_____________,,,43.808348,County Centroid,0,,1,,110051914924,,30000,CUMBERLAND,-70.330375
,,,Y,ME,,$0,1,Transient non-community system,,,,ABELS LOBSTER POUND,,01,,N,0,1,,,,,ME0004938,__VVVVVVVVV__,,,44.564906,County Centroid,0,,7,,110052498515,,30000,HANCOCK,-68.370703
,,,Y,ME,,$0,1,Transient non-community system,,,,ABNAKI CAMPING CENTER,,01,,Y,0,1,,,,,ME0004681,____VVVVVVVVV,,,45.507482,County Centroid,1,,4,,110051967172,,30000,SOMERSET,-69.97604
,,,Y,ME,,$0,1,Transient non-community system,,,,ABOL BRIDGE CAMPGROUND,,01,,Y,0,1,,,,,ME0003408,VVVVVVVVVVVVV,,,45.917678,County Centroid,1,,28,,110052623149,,30000,PISCATAQUIS,-69.104548
