FacDerivedStctyFIPS,SDWAFormalActionCount,FacDateLastPenalty,SDWISFlag,FacState,FacDerivedHuc,FacTotalPenalties,Score,SDWASystemTypes,SDWAInspections5yr,FacFIPSCode,FacLastPenaltyAmt,FacName,FacZip,FacEPARegion,FacMajorFlag,NC,FacFormalActionCount,ViolFlag,FacReferencePoint,FacCity,FacImpWaterFlg,FacPenaltyCount,SDWAIDs,SDWA3yrComplQtrsHistory,FacPercentMinority,FacDerivedWBD,FacLat,FacCollectionMethod,CurrVioFlag,FacStdCountyName,SDWAInformalCount,FacDerivedZip,RegistryID,FacStreet,FacAccuracyMeters,FacCounty,FacLong
,,,Y,MI,,$0,1,Transient non-community system,,,,#5 HILLS TEE BOYNE HIGHLANDS,49740,05,,N,0,1,,HARBOR SPRINGS,,,MI2420373,VV__________U,,,45.464346,Zip Code Centroid,0,,,,110049263578,,10000,EMMET,-84.991462
,,,Y,MI,,$0,1,Transient non-community system,,,,#5 ROSS TEE BOYNE HIGHLANDS,49740,05,,N,0,1,,HARBOR SPRINGS,,,MI2420374,_VV_________U,,,45.464346,Zip Code Centroid,0,,2,,110049263596,,10000,EMMET,-84.991462
,,,Y,MI,,$0,1,Transient non-community system,,,,10TH TEE ROSS COURSE SNACKBAR,49740,05,,N,0,1,,HARBOR SPRINGS,,,MI2420242,_VV_________U,,,45.464346,Zip Code Centroid,0,,2,,110049299512,,10000,EMMET,-84.991462
,,,Y,MI,,$0,1,Non-Transient non-community system,,,,115 TRUCK STOP,49068,05,,N,0,0,,MARSHALL,,,MI1320305,____________U,,,42.297422,Zip Code Centroid,0,,,,110051928991,,10000,CALHOUN,-84.944033
,,,Y,MI,,$0,1,Transient non-community system,,,,12 CORNERS VINEYARDS,49022,05,,N,0,0,,BENTON HARBOR,,,MI1120720,____________U,,,42.129129,Zip Code Centroid,0,,,,110063330925,,10000,BERRIEN,-86.402862
,,,Y,MI,,$0,1,Non-Transient non-community system,,,,12TH STREET MARTIN BUILDING,49070,05,,N,0,1,,MARTIN,,,MI0320572,VVVVV_______U,,,42.537674,Zip Code Centroid,0,,2,,110052716129,,10000,ALLEGAN,-85.62016
,,,Y,MI,,$0,1,Transient non-community system,,,,1449 S MILFORD ROAD PLAZA LLC,48357,05,,N,0,0,,HIGHLAND,,,MI6321807,____________U,,,42.653259,Zip Code Centroid,0,,,,110052229940,,10000,OAKLAND,-83.649471
,,,Y,MI,,$0,1,Non-Transient non-community system,,,,15 OAK SQUARE MALL,48462,05,,N,0,0,,ORTONVILLE,,,MI6321986,____________U,,,42.888844,Zip Code Centroid,0,,,,110049417715,,10000,OAKLAND,-83.371704
,,,Y,MI,,$0,1,Transient non-community system,,,,1ST & MAIN PARTY STORE,48720,05,,N,0,0,,BAY PORT,,,MI3220262,____________U,,,43.840322,Zip Code Centroid,0,,,,110049236126,,10000,HURON,-83.370584
,,,Y,MI,,$0,1,Non-Transient non-community system,,,,1ST BAPTIST CHURCH,48811,05,,N,0,0,,CARSON CITY,,,MI5920357,____________U,,,43.147515,Zip Code Centroid,0,,8,,110049430022,,10000,MONTCALM,-84.806947
,,,Y,MI,,$0,1,Non-Transient non-community system,,,,20TH CENTURY BUILDING COMPANY,48189,05,,N,0,0,,WHITMORE LAKE,,,MI4720440,____________U,,,42.45217,Zip Code Centroid,0,,,,110049270258,,10000,LIVINGSTON,-83.799432
,,,Y,MI,,$0,1,Non-Transient non-community system,,,,20TH CENTURY BUILDING COMPANY,48189,05,,N,0,0,,WHITMORE LAKE,,,MI4720781,____________U,,,42.45217,Zip Code Centroid,0,,,,110049435045,,10000,LIVINGSTON,-83.799432
,,,Y,MI,,$0,1,Non-Transient non-community system,,,,20TH CENTURY BUILDING COMPANY,48189,05,,N,0,0,,WHITMORE LAKE,,,MI4720575,____________U,,,42.45217,Zip Code Centroid,0,,,,110049341468,,10000,LIVINGSTON,-83.799432
,,,Y,MI,,$0,1,Non-Transient non-community system,,,,20TH CENTURY BUILDING COMPANY,48189,05,,N,0,0,,WHITMORE LAKE,,,MI4720465,____________U,,,42.45217,Zip Code Centroid,0,,,,110052717627,,10000,LIVINGSTON,-83.799432
,,,Y,MI,,$0,1,Transient non-community system,,,,211 BAR AND GRILL,49765,05,,N,0,1,,ONAWAY,,,MI7120027,_______VV___U,,,45.352734,Zip Code Centroid,0,,8,,110049399101,,10000,PRESQUE ISLE,-84.229588
,,,Y,MI,,$0,1,Transient non-community system,,,,211 OUTPOST COUNTRY STORE,49765,05,,Y,0,1,,ONAWAY,,,MI7120182,_______VVVVVU,,,45.352734,Zip Code Centroid,1,,7,,110049482608,,10000,PRESQUE ISLE,-84.229588
,,,Y,MI,,$0,1,Transient non-community system,,,,3-D PIZZA,48891,05,,N,0,0,,VESTABURG,,,MI5920546,____________U,,,43.452832,Zip Code Centroid,0,,,,110052202273,,10000,MONTCALM,-84.92581
,,,Y,MI,,$0,1,Transient non-community system,,,,3224 BUILDING ASSOCIATION,48723,05,,N,0,0,,,,,MI7920440,____________U,,,43.488053,Zip Code Centroid,0,,,,110049401599,,10000,TUSCOLA,-83.369477
,,,Y,MI,,$0,1,Transient non-community system,,,,"3522 S. LAPEER RD., LLC",48455,05,,N,0,1,,,,,MI4421806,_________VV_U,,,42.947955,Zip Code Centroid,0,,2,,110049517554,,10000,LAPEER,-83.349206
,,,Y,MI,,$0,1,Transient non-community system,,,,3rd Base Party Store,49080,05,,N,0,0,,,,,MI0320691,____________U,,,42.405566,Zip Code Centroid,0,,,,MI0320691,,10000,Allegan,-85.615033
,,,Y,MI,,$0,1,Transient non-community system,,,,4 B'S CAMPGROUND,49421,05,,N,0,0,,HESPERIA,,,MI6420291,____________U,,,43.556769,Zip Code Centroid,0,,,,110052064172,,10000,OCEANA,-86.079342
,,,Y,MI,,$0,1,Transient non-community system,,,,4 CORNER'S GRILL,49665,05,,Y,0,1,,,,,MI6720149,__VV_VVVVVVVU,,,44.176628,Zip Code Centroid,1,,7,,110052248386,,10000,OSCEOLA,-85.082443
,,,Y,MI,,$0,1,Transient non-community system,,,,4 N ORTONVILLE RD,48462,05,,N,0,0,,,,,MI6322936,____________U,,,42.888844,Zip Code Centroid,0,,,,MI6322936,,10000,Oakland,-83.371704
,,,Y,MI,,$0,1,Transient non-community system,,,,4 SQUARE SPORTSMAN CLUB,48032,05,,N,0,0,,JEDDO,,,MI7420271,____________U,,,43.174971,Zip Code Centroid,0,,,,110049403686,,10000,ST. CLAIR,-82.604551
,,,Y,MI,,$0,1,Transient non-community system,,,,4-H CAMPGROUND,48858,05,,N,0,1,,MOUNT PLEASANT,,,MI3720176,______VVVV__U,,,43.619325,Zip Code Centroid,0,,6,,110049408280,,10000,ISABELLA,-84.787666
,,,Y,MI,,$0,1,Transient non-community system,,,,4-H FAIRGROUND,48838,05,,Y,0,1,,GREENVILLE,,,MI5920657,____VVVVVVVVU,,,43.177998,Zip Code Centroid,1,,2,,110052098966,,10000,MONTCALM,-85.254904
