FacDerivedStctyFIPS,SDWAFormalActionCount,FacDateLastPenalty,SDWISFlag,FacState,FacDerivedHuc,FacTotalPenalties,Score,SDWASystemTypes,SDWAInspections5yr,FacFIPSCode,FacLastPenaltyAmt,FacName,FacZip,FacEPARegion,FacMajorFlag,NC,FacFormalActionCount,ViolFlag,FacReferencePoint,FacCity,FacImpWaterFlg,FacPenaltyCount,SDWAIDs,SDWA3yrComplQtrsHistory,FacPercentMinority,FacDerivedWBD,FacLat,FacCollectionMethod,CurrVioFlag,FacStdCountyName,SDWAInformalCount,FacDerivedZip,RegistryID,FacStreet,FacAccuracyMeters,FacCounty,FacLong
,,,Y,MN,,$0,1,Transient non-community system,,,, Y  MART,,05,,N,0,0,,,,,MN5110536,____________U,,,46.951427,County Centroid,0,,,,110049456986,,30000,CASS,-94.333773
,,,Y,MN,,$0,1,Transient non-community system,,,,10-50 CLUB,,05,,N,0,0,,,,,MN5271081,____________U,,,45.006064,County Centroid,0,,,,110052387671,,30000,HENNEPIN,-93.475185
,,,Y,MN,,$0,1,Transient non-community system,,,,113 BAIT AND TACKLE,,05,,N,0,0,,,,,MN5440005,____________U,,,47.325842,County Centroid,0,,,,110052271974,,30000,MAHNOMEN,-95.810703
,,,Y,MN,,$0,1,Community water system,,,,12 HI MOBILE HOME PARK,,05,,N,0,0,,,,,MN1860017,____________U,,,45.175091,County Centroid,0,,3,,110013071987,,30000,WRIGHT,-93.966397
,,,Y,MN,,$0,1,Transient non-community system,,,,14 Lakes Craft Brewing Co.,,05,,N,0,0,,,,,MN5181081,____________U,,,46.491114,County Centroid,0,,,,MN5181081,,30000,Crow Wing,-94.071213
,,,Y,MN,,$0,1,Transient non-community system,,,,1975 FILLING STATION & RESTAURANT,,05,,N,0,0,,,,,MN5410023,____________U,,,44.408238,County Centroid,0,,5,,110052311921,,30000,LINCOLN,-96.272032
,,,Y,MN,,$0,1,Transient non-community system,,,,2 WEST EXPRESS,,05,,N,0,0,,,,,MN5040734,____________U,,,47.878825,County Centroid,0,,,,110050507395,,30000,BELTRAMI,-94.986698
,,,Y,MN,,$0,1,Transient non-community system,,,,20 RIFLE & PISTOL CLUB,,05,,N,0,0,,,,,MN5740241,____________U,,,44.015261,County Centroid,0,,,,110052405152,,30000,STEELE,-93.220453
,,,Y,MN,,$0,1,Transient non-community system,,,,210 BAR AND GRILL,,05,,N,0,0,,,,,MN5840016,____________U,,,46.362335,County Centroid,0,,,,110052382417,,30000,WILKIN,-96.476657
,,,Y,MN,,$0,1,Transient non-community system,,,,21ST CENTURY BANK,,05,,N,0,0,,,,,MN5020197,____________U,,,45.27411,County Centroid,0,,,,110052116606,,30000,ANOKA,-93.242723
,,,Y,MN,,$0,1,Transient non-community system,,,,29 PINES GOLF COURSE,,05,,N,0,0,,,,,MN5090170,____________U,,,46.603818,County Centroid,0,,,,110052254840,,30000,CARLTON,-92.671044
,,,Y,MN,,$0,1,Transient non-community system,,,,37 Acres RV and Campground,,05,,N,0,0,,,,,MN5490384,____________U,,,46.020484,County Centroid,0,,,,MN5490384,,30000,Morrison,-94.266619
,,,Y,MN,,$0,1,Transient non-community system,,,,"38 OUTPOST, INC.",,05,,N,0,0,,,,,MN5310874,____________U,,,47.490843,County Centroid,0,,,,110052341514,,30000,ITASCA,-93.613128
27163,,06/16/2010,Y,MN,07010206,$0,1,Non-Transient non-community system,,27163,"$8,611",3M COTTAGE GROVE,55016,05,Y,N,1,1,ADMINISTRATIVE BUILDING,COTTAGE GROVE,,,MN5190404 MN5190405 MN5190406 MN5190407 MN5820104 MN5820415,___VV_______U,13.361,070102060902,44.789444,INTERPOLATION-PHOTO,0,WASHINGTON COUNTY,3,55016,110000423667,10746 INNOVATION RD,99999999,WASHINGTON,-92.908333
,,,Y,MN,,$0,1,Transient non-community system,,,,"3M TARTAN PARK, GOLF COURSE",,05,,N,0,0,,,,,MN5820442,____________U,,,45.037929,County Centroid,0,,5,,110052406990,,30000,WASHINGTON,-92.890117
