FacDerivedStctyFIPS,SDWAFormalActionCount,FacDateLastPenalty,SDWISFlag,FacState,FacDerivedHuc,FacTotalPenalties,Score,SDWASystemTypes,SDWAInspections5yr,FacFIPSCode,FacLastPenaltyAmt,FacName,FacZip,FacEPARegion,FacMajorFlag,NC,FacFormalActionCount,ViolFlag,FacReferencePoint,FacCity,FacImpWaterFlg,FacPenaltyCount,SDWAIDs,SDWA3yrComplQtrsHistory,FacPercentMinority,FacDerivedWBD,FacLat,FacCollectionMethod,CurrVioFlag,FacStdCountyName,SDWAInformalCount,FacDerivedZip,RegistryID,FacStreet,FacAccuracyMeters,FacCounty,FacLong
,,,Y,MO,,$0,1,Community water system,,,,10-4 WATER SYSTEM,,07,,N,0,1,,,,,MO5031436,VVVVVVSSVVV_U,,,38.420807,County Centroid,0,,22,,110020595774,,30000,MORGAN,-92.874835
,,,Y,MO,,$0,1,Transient non-community system,,,,11 WEST CONDOMINIUM,,07,,N,0,0,,,,,MO3238020,____________U,,,38.031995,County Centroid,0,,,,110050736165,,30000,CAMDEN,-92.765138
29186,,,Y,MO,07140101,$0,1,Community water system,,29186,,154 HOME OWNER ASSOCIATION,,07,,N,0,0,ENTRANCE POINT OF A FACILITY OR STATION,,,,MO4010701,____________U,2.086,071401010907,37.937032,ADDRESS MATCHING-HOUSE NUMBER,0,,,63670,110013051053,,50,STE. GENEVIEVE,-90.22552
,,,Y,MO,,$0,1,Transient non-community system,,,,17 EAGLE STOP,,07,,N,0,1,,,,,MO3292542,VVVVVVVVSVV_U,,,38.506847,County Centroid,0,,22,,110053027489,,30000,COLE,-92.271404
,,,Y,MO,,$0,1,Transient non-community system,,,,21 EXPRESS,,07,,Y,0,1,,,,,MO4292490,____VVVVVVVVU,,,37.62596,County Centroid,1,,9,,110050758970,,30000,IRON,-90.699627
29019,,01/29/1987,Y,MO,10300102,$0,1,Non-Transient non-community system,,29019,"$8,500",3M COMPANY,65202,07,Y,N,0,1,ENTRANCE POINT OF A FACILITY OR STATION,COLUMBIA,,,MO3181514,,26.811,103001020706,39.01002,GPS CARRIER PHASE STATIC RELATIVE POSITION,0,BOONE COUNTY,,65202,110000444145,5400 PARIS RD,17397,BOONE,-92.2706
,,,Y,MO,,$0,1,Non-Transient non-community system,,,,3V CORPORATION,,07,,N,0,1,,,,,MO5231809,VV________VVU,,,37.106135,County Centroid,0,,21,,110050682132,,30000,LAWRENCE,-93.833262
,,,Y,MO,,$0,1,Community water system,,,,5 81 MOTEL & CAMPGROUND,,07,,Y,0,1,,,,,MO3190771,VV______VVVVU,,,38.031995,County Centroid,1,,3,,110047520795,,30000,CAMDEN,-92.765138
,,,Y,MO,,$0,1,Transient non-community system,,,,66 DRIVE IN THEATRE,,07,,N,0,0,,,,,MO5283199,____________U,,,37.200865,County Centroid,0,,,,MO5283199,,30000,Jasper,-94.338869
,,,Y,MO,,$0,1,Transient non-community system,,,,7 EXPRESS,,07,,N,0,0,,,,,MO5292984,____________U,,,38.031995,County Centroid,0,,6,,110052898619,,30000,CAMDEN,-92.765138
