FacDerivedStctyFIPS,SDWAFormalActionCount,FacDateLastPenalty,SDWISFlag,FacState,FacDerivedHuc,FacTotalPenalties,Score,SDWASystemTypes,SDWAInspections5yr,FacFIPSCode,FacLastPenaltyAmt,FacName,FacZip,FacEPARegion,FacMajorFlag,NC,FacFormalActionCount,ViolFlag,FacReferencePoint,FacCity,FacImpWaterFlg,FacPenaltyCount,SDWAIDs,SDWA3yrComplQtrsHistory,FacPercentMinority,FacDerivedWBD,FacLat,FacCollectionMethod,CurrVioFlag,FacStdCountyName,SDWAInformalCount,FacDerivedZip,RegistryID,FacStreet,FacAccuracyMeters,FacCounty,FacLong
,,,Y,MP,,$0,1,Community water system,,,,3K ICE AND WATER COMPANY,96950,09,,N,0,0,,SAIPAN,,,MP0000176,____________U,,,15.186892,Zip Code Centroid,0,,1,,110046977385,SAN JOSE VILLAGE,10000,NORTHERN MARIANA ISLANDS,145.754437
,,,Y,MP,,$0,1,Community water system,,,,99 CENTS SUPERMART WATER,,09,,Y,0,1,,,,,MP0000215,VVVVVVVVVVVVU,,,14.936783,State Centroid,1,,1,,110063343378,,100000,SAIPAN,145.60102
,,,Y,MP,,$0,1,Non-Transient non-community system,,,,AMERICAN MEMORIAL PARK,96950,09,,N,0,0,,SAIPAN,,,MP0000172,____________U,,,15.186892,Zip Code Centroid,0,,,,110052800304,GARAPAN,10000,NORTHERN MARIANA ISLANDS,145.754437
,,,Y,MP,,$0,1,Community water system,,48215,,ANAKS CONDOMINIUM,96950,09,,N,0,0,,SAIPAN,,,MP0000043,____________U,,,15.186892,Zip Code Centroid,0,HIDALGO COUNTY,,,110013025289,PUERTO RICO,10000,NORTHERN MARIANA ISLANDS,145.754437
,,,Y,MP,,$0,1,Community water system,,41001,,ANGEL HOUSE ENT INC,96950,09,,Y,0,1,,SAIPAN,,,MP0000039,SSSSVVVVVVVVU,,,15.186892,Zip Code Centroid,1,BAKER COUNTY,3,,110046964638,CHINA TOWN,10000,NORTHERN MARIANA ISLANDS,145.754437
,,,Y,MP,,$0,1,Non-Transient non-community system,,,,AQUA RESORT HOTEL,96950,09,,N,0,0,,SAIPAN,,,MP0000073,____________U,,,15.186892,Zip Code Centroid,0,,,,110050571895,ACHUGAO,10000,NORTHERN MARIANA ISLANDS,145.754437
,,,Y,MP,,$0,1,Community water system,,12101,,AQUA SAIPAN WATER COMPANY,96950,09,,Y,0,1,,SAIPAN,,,MP0000177,VVVVVVVVVVVVU,,,15.186892,Zip Code Centroid,1,PASCO COUNTY,,,110046977704,SAN ANTONIO,10000,NORTHERN MARIANA ISLANDS,145.754437
,,03/21/2007,Y,MP,,$0,1,Non-Transient non-community system,,,"$8,000",COMMONWEALTH HEALTH CENTER,96950,09,,N,0,1,,SAIPAN,,,MP0000171,SSVVV_______U,,,15.186892,Zip Code Centroid,0,,,,110015753601,MIDDLE ROAD (GARAPAN),10000,NORTHERN MARIANA ISLANDS,145.754437
69010,,,Y,MP,,$0,1,Community water system,,69010,,COMMONWEALTH UTILITIES CORP (CUC),96952,09,,N,0,1,CENTER OF FACILITY,TINIAN,,,MP0000002,VVVV________U,0,,14.97377,ADDRESS MATCHING-OTHER,0,,,96952,110055500202,SAN JOSE VILLAGE,9999,NORTHERN MARIANA ISLANDS,145.614689
,,,Y,MP,,$0,1,Community water system,,,,COMMONWEALTH UTILITIES CORPORATION,96950,09,,Y,0,1,,SAIPAN,,,MP0000001,VVVVVVVVVVVVU,,,15.186892,Zip Code Centroid,1,,,,110028206616,JOETEN DANDAN BLDG (MAIN OFFICE) - PO BOX 510220,10000,NORTHERN MARIANA ISLANDS,145.754437
,,,Y,MP,,$0,1,Non-Transient non-community system,,,,CORAL OCEAN POINT,96950,09,,Y,0,1,,SAIPAN,,,MP0000010,VVVVVVVVVVVVU,,,15.186892,Zip Code Centroid,1,,2,,110050581679,KOBLERVILLE,10000,NORTHERN MARIANA ISLANDS,145.754437
69010,,,Y,MP,,$0,1,Community water system,,69010,,CUC ROTA POWER PLANT,96951,09,,N,1,1,CENTER OF FACILITY,ROTA,,,MP0000003,VVVVV_______U,0,,14.13985,INTERPOLATION-PHOTO,0,,,96951,110055500195,ROTA POWER PLANT,7,NORTHERN MARIANA ISLANDS,145.144936
