FacDerivedStctyFIPS,SDWAFormalActionCount,FacDateLastPenalty,SDWISFlag,FacState,FacDerivedHuc,FacTotalPenalties,Score,SDWASystemTypes,SDWAInspections5yr,FacFIPSCode,FacLastPenaltyAmt,FacName,FacZip,FacEPARegion,FacMajorFlag,NC,FacFormalActionCount,ViolFlag,FacReferencePoint,FacCity,FacImpWaterFlg,FacPenaltyCount,SDWAIDs,SDWA3yrComplQtrsHistory,FacPercentMinority,FacDerivedWBD,FacLat,FacCollectionMethod,CurrVioFlag,FacStdCountyName,SDWAInformalCount,FacDerivedZip,RegistryID,FacStreet,FacAccuracyMeters,FacCounty,FacLong
,,,Y,MS,,$0,1,Community water system,,,,51-55 WATER ASSOCIATION,,04,,N,0,0,,,,,MS0490001,____________U,,,33.500714,County Centroid,0,,,,110012994484,,30000,MONTGOMERY,-89.639625
,,,Y,MS,,$0,1,Transient non-community system,,,,53 QUICK STOP,,04,,N,0,0,,,,,MS0240280,____________U,,,30.416536,County Centroid,0,,,,MS0240280,,30000,Harrison,-89.083376
,,,Y,MS,,$0,1,Non-Transient non-community system,,,,A PLACE TO GROW,,04,,N,0,0,,,,,MS0240226,____________U,,,30.416536,County Centroid,0,,,,110052878935,,30000,HARRISON,-89.083376
,,,Y,MS,,$0,1,Community water system,,28071,,ABBEVILLE WATER ASSOCIATION WATER SYS,38601,04,,N,0,1,,ABBEVILLE,,,MS0360001,VV__________U,,,34.481669,Zip Code Centroid,0,LAFAYETTE COUNTY,5,,110010708797,PO BOX 5,10000,LAFAYETTE,-89.461218
,,,Y,MS,,$0,1,Community water system,,,,ACL WATER ASSOCIATION #1,,04,,N,0,0,,,,,MS0610001,____________U,,,32.262057,County Centroid,0,,,,110012985573,,30000,RANKIN,-89.946552
,,,Y,MS,,$0,1,Community water system,,,,ACL WATER ASSOCIATION #2,,04,,N,0,0,,,,,MS0610041,____________U,,,32.262057,County Centroid,0,,,,110012943681,,30000,RANKIN,-89.946552
,,,Y,MS,,$0,1,Community water system,1,28051,,ACONA WATER ASSOCIATION,39095,04,,N,0,0,,LEXINGTON,,,MS0260001 MS0260002,____________U,,,33.073891,Zip Code Centroid,0,HOLMES COUNTY,3,,110013009378,11850 ROSEBANK MT OLIVE RD,10000,HOLMES,-90.054254
,,,Y,MS,,$0,1,Community water system,,,,ADAMS CO W/A #2-SOUTH,,04,,N,0,0,,,,,MS0010009,____________U,,,31.486218,County Centroid,0,,,,110013023423,,30000,ADAMS,-91.351781
,,,Y,MS,,$0,1,Community water system,,,,ADAMS CO W/A #4-KAISER LAKE,,04,,N,0,0,,,,,MS0010015,____________U,,,31.486218,County Centroid,0,,,,110013023619,,30000,ADAMS,-91.351781
,,,Y,MS,,$0,1,Community water system,,,,ADATON W/A #1-JOSEY CREEK,,04,,Y,0,1,,,,,MS0530001,____VVVVVVVVU,,,33.422313,County Centroid,1,,7,,110012946045,,30000,OKTIBBEHA,-88.876151
,,,Y,MS,,$0,1,Community water system,,,,AIRBASE TRAILER PARK,,04,,N,0,0,,,,,MS0440013,____________U,,,33.471424,County Centroid,0,,,,110012995651,,30000,LOWNDES,-88.439723
28021,,,Y,MS,08060204,$0,1,Community water system,,28021,,ALCORN STATE UNIVERSITY,39096,04,,Y,0,1,,LORMAN,,,MS0110013,VVVVVVVVVVVVU,97.657,080601000301,31.876417,GPS CODE (PSEUDO RANGE) STANDARD POSITION (SA OFF),1,CLAIBORNE COUNTY,4,39096,110026832621,1000 ASU DRIVE,33,JEFFERSON,-91.146667
,,,Y,MS,,$0,1,Community water system,,,,ALCORN W/A #1-INDIAN SPRINGS,,04,,N,0,0,,,,,MS0020006,____________U,,,34.886648,County Centroid,0,,,,110012955873,,30000,ALCORN,-88.581014
,,,Y,MS,,$0,1,Community water system,,,,ALCORN W/A #2-BIGGERSVILLE,,04,,N,0,0,,,,,MS0020001,____________U,,,34.886648,County Centroid,0,,,,110013023682,,30000,ALCORN,-88.581014
,,,Y,MS,,$0,1,Community water system,,,,ALEXANDER MOBILE HOME PK & APT,,04,,N,0,0,,,,,MS0420020,____________U,,,33.54979,County Centroid,0,,,,110012999023,,30000,LEFLORE,-90.294934
,,,Y,MS,,$0,1,Community water system,,,,ALGOMA WATER ASSOCIATION #1,,04,,N,0,0,,,,,MS0580001,____________U,,,34.227081,County Centroid,0,,,,110012988026,,30000,PONTOTOC,-89.037239
,,,Y,MS,,$0,1,Community water system,,28145,,ALPINE WATER ASSOCIATION,38652,04,,N,0,0,,NEW ALBANY,,,MS0730001,____________U,,,34.484121,Zip Code Centroid,0,UNION COUNTY,,,110012980471,PO BOX 782,10000,UNION,-89.013089
,,,Y,MS,,$0,1,Non-Transient non-community system,,,,AMERICA'S CATCH CATFISH PLANT,,04,,N,0,0,,,,,MS0420043,____________U,,,33.54979,County Centroid,0,,,,110050569363,,30000,LEFLORE,-90.294934
28083,,09/21/2010,Y,MS,08030207,$0,1,Community water system,,28083,"$5,500",AMERICAS CATCH,38941,04,,Y,0,1,CENTER OF FACILITY,ITTA BENA,Y,,MS0420045,____________U,91.216,080302070800,33.538333,INTERPOLATION-PHOTO,1,LEFLORE COUNTY,2,38941,110044471871,SUNFLOWER ROAD RT 1,25,LEFLORE,-90.395833
,,,Y,MS,,$0,1,Community water system,,,,ANCHOR WATER ASSOCIATION,,04,,N,0,1,,,,,MS0360002,VV__________U,,,34.349298,County Centroid,0,,12,,110013002794,,30000,LAFAYETTE,-89.485903
,,,Y,MS,,$0,1,Community water system,,,,APPLE VALLEY TRAILER PARK,,04,,N,0,0,,,,,MS0240203,____________U,,,30.416536,County Centroid,0,,,,110012949845,,30000,HARRISON,-89.083376
,,,Y,MS,,$0,1,Transient non-community system,,,,ARKABUTLA LAKE,,04,,N,0,0,,,,,MS0690040,____________U,,,34.649553,County Centroid,0,,,,110052867493,,30000,TATE,-89.943105
,,,Y,MS,,$0,1,Transient non-community system,,,,ARKABUTLA NORTH CAMPGROUND,,04,,N,0,0,,,,,MS0170036,____________U,,,34.874266,County Centroid,0,,,,110053005902,,30000,DESOTO,-89.99324
,,,Y,MS,,$0,1,Community water system,,,,ARKABUTLA WATER ASSOCIATION,,04,,N,0,0,,,,,MS0690001,____________U,,,34.649553,County Centroid,0,,,,110012982558,,30000,TATE,-89.943105
,,,Y,MS,,$0,1,Community water system,,,,ARLINGTON W/A,,04,,N,0,1,,,,,MS0560006,__V___V_____U,,,31.169307,County Centroid,0,,2,,110012987223,,30000,PERRY,-88.988755
,,,Y,MS,,$0,1,Community water system,,,,ARLINGTON W/A-HINTONVILLE,,04,,Y,0,1,,,,,MS0560014,VVVVVVVVVVVVU,,,31.169307,County Centroid,1,,10,,110012987330,,30000,PERRY,-88.988755
,,,Y,MS,,$0,1,Community water system,,,,ARNOLD LINE WATER ASSOCIATION,,04,,N,0,0,,,,,MS0370001,____________U,,,31.197135,County Centroid,0,,,,110013000019,,30000,LAMAR,-89.514952
,,,Y,MS,,$0,1,Transient non-community system,,,,ASKEW LANDING CAMPGROUND,,04,,N,0,0,,,,,MS0250102,____________U,,,32.267924,County Centroid,0,,,,MS0250102,,30000,Hinds,-90.4659
,,,Y,MS,,$0,1,Community water system,,28107,,ASL WATER ASSOCIATION,38665,04,,N,0,1,,SARAH,,,MS0540001,______VV____U,,,34.536161,Zip Code Centroid,0,PANOLA COUNTY,3,,110012989784,7538 HWY 3,10000,PANOLA,-90.133017
,,,Y,MS,,$0,1,Community water system,,,,"ATLANTA WATER SYSTEM, INC.",,04,,N,0,1,,,,,MS0090001,VVVVVVVVVV__U,,,33.921654,County Centroid,0,,3,,110013019107,,30000,CHICKASAW,-88.945808
,,,Y,MS,,$0,1,Transient non-community system,,,,ATWOOD WATER PARK,,04,,N,0,0,,,,,MS0390014,____________U,,,31.550009,County Centroid,0,,,,110050607651,,30000,LAWRENCE,-90.10753
,,,Y,MS,,$0,1,Community water system,,,,BACK ACRES,,04,,N,0,0,,,,,MS0690009,____________U,,,34.649553,County Centroid,0,,,,110012944957,,30000,TATE,-89.943105
,,,Y,MS,,$0,1,Non-Transient non-community system,,,,BARGE FOREST PRODUCTS,,04,,N,0,0,,,,,MS0520026,____________U,,,33.10627,County Centroid,0,,,,110052910720,,30000,NOXUBEE,-88.565787
,,,Y,MS,,$0,1,Community water system,,,,BARRONTOWN W/A,,04,,N,0,0,,,,,MS0180001,____________U,,,31.18858,County Centroid,0,,,,110013012104,,30000,FORREST,-89.259447
,,,Y,MS,,$0,1,Non-Transient non-community system,,,,BAXTER HEALTHCARE CORP,,04,,N,0,0,,,,,MS0060035,____________U,,,33.799278,County Centroid,0,,,,110052862540,,30000,BOLIVAR,-90.884476
,,,Y,MS,,$0,1,Non-Transient non-community system,,,,BAYOU BERNARD INDUSTRIAL PARK,,04,,N,0,0,,,,,MS0240046,____________U,,,30.416536,County Centroid,0,,,,110052768509,,30000,HARRISON,-89.083376
,,,Y,MS,,$0,1,Community water system,,,,BCM WATER ASSOCIATION,,04,,N,0,0,,,,,MS0470106,____________U,,,34.76619,County Centroid,0,,,,110012993886,,30000,MARSHALL,-89.504231
,,,Y,MS,,$0,1,Community water system,,,,BEAR CREEK W/A -EAST,,04,,N,0,0,,,,,MS0450002,____________U,,,32.63437,County Centroid,0,,,,110012996197,,30000,MADISON,-90.03416
,,,Y,MS,,$0,1,Community water system,,,,BEAR CREEK W/A-WEST,,04,,N,0,0,,,,,MS0450021,____________U,,,32.63437,County Centroid,0,,,,110012996810,,30000,MADISON,-90.03416
,,,Y,MS,,$0,1,Community water system,,,,BEAT III W/A #1-SAND HILL,,04,,N,0,0,,,,,MS0210001,____________U,,,31.212846,County Centroid,0,,,,110012953982,,30000,GREENE,-88.634811
,,,Y,MS,,$0,1,Community water system,,,,BEAT III W/A #3-JONATHAN,,04,,N,0,0,,,,,MS0210011,____________U,,,31.212846,County Centroid,0,,,,110013013416,,30000,GREENE,-88.634811
,,,Y,MS,,$0,1,Community water system,,,,BEAVER MEADOW WATER ASSN.,,04,,N,0,0,,,,,MS0310004,____________U,,,32.016989,County Centroid,0,,,,110013004319,,30000,JASPER,-89.11943
,,,Y,MS,,$0,1,Community water system,,28061,,BEAVERDAM W/A-NORTH,39366,04,,N,0,0,,VOSSBURG,,,MS0310003,____________U,,,31.935939,Zip Code Centroid,0,JASPER COUNTY,,,110013004168,P O BOX 286,10000,JASPER,-88.838701
,,,Y,MS,,$0,1,Community water system,,28033,,BELMONT WATER ASSOCIATION WATER SYS,38632,04,,N,0,0,,HERNANDO,,,MS0170001,____________U,,,34.801183,Zip Code Centroid,0,DESOTO COUNTY,,,110010642929,PO BOX 156,10000,DE SOTO,-89.953312
,,,Y,MS,,$0,1,Community water system,,,,BETHLEHEM WATER ASSOCIATION,,04,,N,0,0,,,,,MS0730024,____________U,,,34.489101,County Centroid,0,,,,110012980765,,30000,UNION,-89.0023
28101,,,Y,MS,03170001,$0,1,Community water system,,28101,,BEULAH HUBBARD WATER ASSN,39337,04,,N,0,0,ENTRANCE POINT OF A FACILITY OR STATION,LITTLE ROCK,,,MS0510001,____________U,6.095,031700010102,32.524707,ADDRESS MATCHING-HOUSE NUMBER,0,NEWTON COUNTY,,39337,110012991441,5285 HWY 494,50,NEWTON,-89.029246
28039,,,Y,MS,03170006,$0,1,Community water system,,28039,,BEXLEY WATER ASSOCIATION,39452,04,,N,0,0,ENTRANCE POINT OF A FACILITY OR STATION,LUCEDALE,,,MS0200003,____________U,10.973,031700060103,30.946287,ADDRESS MATCHING-HOUSE NUMBER,0,GEORGE COUNTY,,39452,110013013050,1196 HWY 198 W,50,GEORGE,-88.637233
,,,Y,MS,,$0,1,Transient non-community system,,,,BIG BILOXI RECREATION AREA,,04,,N,0,0,,,,,MS0240122,____________U,,,30.416536,County Centroid,0,,,,110053006073,,30000,HARRISON,-89.083376
,,,Y,MS,,$0,1,Community water system,,,,BIG BLACK W/A-CAMDEN,,04,,N,0,0,,,,,MS0450004,____________U,,,32.63437,County Centroid,0,,,,110012946759,,30000,MADISON,-90.03416
,,,Y,MS,,$0,1,Community water system,,,,BIG BLACK WATER ASSOCIATION,,04,,N,0,1,,,,,MS0450003,VVVV________U,,,32.63437,County Centroid,0,,,,110012996240,,30000,MADISON,-90.03416
,,,Y,MS,,$0,1,Community water system,,,,BIG CREEK WATER ASSOCIATION,,04,,N,0,0,,,,,MS0070002,____________U,,,33.936634,County Centroid,0,,,,110013022095,,30000,CALHOUN,-89.337114
,,,Y,MS,,$0,1,Community water system,,,,BIG FIELD WATER ASSOCIATION,,04,,N,0,0,,,,,MS0600002,____________U,,,34.25264,County Centroid,0,,,,110012989221,,30000,QUITMAN,-90.290525
,,,Y,MS,,$0,1,Community water system,,,,BIG V WATER ASSOCIATION,,04,,N,0,0,,,,,MS0590002,____________U,,,34.620866,County Centroid,0,,,,110021062623,,30000,PRENTISS,-88.52224
28133,,,Y,MS,08030207,$0,1,Community water system,,28133,,BIG YEAGER WATER ASSOCIATION,38737,04,,N,0,0,CENTER OF A FACILITY OR STATION,DREW,,,MS0670001,____________U,76.821,080302070400,33.82827,ADDRESS MATCHING-HOUSE NUMBER,0,SUNFLOWER COUNTY,,38737,110012981176,198 LOMBARDY RD,30,SUNFLOWER,-90.56308
